jid,formula,spg,dim,norb,nk,group,band,rank,W_band,W_group_max,W_span,d_iso,M_trg,lam,nphi,unif,Emid,M_manifold_diag,lam_manifold_diag,Tc_R1.00,binds_R1.00,cap_R1.00,U_R1.00,Tc_R0.85,binds_R0.85,cap_R0.85,U_R0.85,Tc_R0.55,binds_R0.55,cap_R0.55,U_R0.55,efermi,group_Emin,group_Emax,ef_inside,filling,band_Emin,band_Emax,ef_status,lamM
JVASP-949,O,12,3,48,24,46-47,46,2,0.12588151948238036,0.12588151948237858,0.12620893958698254,0.10259137283607167,0.9998957499869889,0.0901931945705528,11.561622383210194,0.08296894216868028,10.513106662136693,1.5083121606324061,0.05516245061882878,13.422190900084622,amp,iso,0.051295686418035835,13.422190900084622,amp,iso,0.051295686418035835,13.422190900084622,amp,iso,0.051295686418035835,-0.3855,10.434497171705294,10.560706111292276,False,0.0,10.434497171705294,10.560378691187672,fail_ef_outside,0.09018379192884532
JVASP-949,O,12,3,48,24,46-47,47,2,0.12464726332475884,0.12588151948237858,0.12620893958698254,0.10259137283607167,0.9997999599019043,0.09031926225495739,11.546890827256618,0.08604681215424052,10.51449820443711,1.5083121606324061,0.05516245061882878,13.44095178924557,amp,iso,0.051295686418035835,13.44095178924557,amp,iso,0.051295686418035835,13.44095178924557,amp,iso,0.051295686418035835,-0.3855,10.434497171705294,10.560706111292276,False,0.0,10.43605884796753,10.560706111292276,fail_ef_outside,0.09030119478087598
JVASP-2817,K4IrO4,12,3,84,16,25-26,25,2,0.2217045064393215,0.22170450643931294,0.7565783353762104,0.0781593675894181,0.7249269020574729,0.09472733989128855,10.558150829340667,0.13743079801241154,0.6410492010580484,1.3324783552158173,0.04231141340158791,10.739774899520398,amp,iso,0.03907968379470905,10.739774899520398,amp,iso,0.03907968379470905,10.739774899520398,amp,iso,0.03907968379470905,1.8502,0.5384656820026771,1.2950440173788875,False,1.0,0.5384656820026771,0.76017018844199,fail_ef_outside,0.06867039704753708
JVASP-2817,K4IrO4,12,3,84,16,25-26,26,2,0.10077754714456888,0.22170450643931294,0.7565783353762104,0.0781593675894181,0.6081831731020036,0.055284224596562154,18.23367713030411,0.14214458321869855,1.2406503765859145,1.3324783552158173,0.04231141340158791,6.26788557921079,amp,iso,0.03907968379470905,6.26788557921079,amp,iso,0.03907968379470905,6.26788557921079,amp,iso,0.03907968379470905,1.8502,0.5384656820026771,1.2950440173788875,False,1.0,1.1942664702343186,1.2950440173788875,fail_ef_outside,0.03362293513762101
JVASP-2817,K4IrO4,12,3,84,16,26-27,26,2,0.10077754714456888,0.11890891964577222,0.2978458343797592,0.09172228443342445,0.6081831731020036,0.055284224596562154,18.23367713030411,0.14214458321869855,1.2406503765859145,1.1203981741347087,0.054822558386018454,7.3555454915216965,amp,iso,0.045861142216712225,7.3555454915216965,amp,iso,0.045861142216712225,7.3555454915216965,amp,iso,0.045861142216712225,1.8502,1.1942664702343186,1.4921123046140778,False,1.0,1.1942664702343186,1.2950440173788875,fail_ef_outside,0.03362293513762101
JVASP-2817,K4IrO4,12,3,84,16,26-27,27,2,0.11890891964577266,0.11890891964577222,0.2978458343797592,0.09172228443342445,0.6069415979814163,0.055515479206421275,18.074983768977997,0.1293848230138711,1.4208001147388276,1.1203981741347087,0.054822558386018454,7.386313831230828,amp,iso,0.045861142216712225,7.386313831230828,amp,iso,0.045861142216712225,7.386313831230828,amp,iso,0.045861142216712225,1.8502,1.1942664702343186,1.4921123046140778,False,1.0,1.3732033849683056,1.4921123046140778,fail_ef_outside,0.03369465366224942
JVASP-2817,K4IrO4,12,3,84,16,27-28,27,2,0.11890891964577266,0.23260219645206748,0.44323340053126414,0.0781593675894181,0.6069415979814163,0.055515479206421275,18.074983768977997,0.1293848230138711,1.4208001147388276,1.1565014322454314,0.051355461701347346,6.294104223766983,amp,iso,0.03907968379470905,6.294104223766983,amp,iso,0.03907968379470905,6.294104223766983,amp,iso,0.03907968379470905,1.8502,1.3732033849683056,1.8164367854995698,False,1.0,1.3732033849683056,1.4921123046140778,fail_ef_outside,0.03369465366224942
JVASP-2817,K4IrO4,12,3,84,16,27-28,28,2,0.23260219645206592,0.23260219645206748,0.44323340053126414,0.0781593675894181,0.5720624118586557,0.07302491324446808,13.717873132705451,0.1856509166594416,1.7347062297859783,1.1565014322454314,0.051355461701347346,8.27924790459272,amp,iso,0.03907968379470905,8.27924790459272,amp,iso,0.03907968379470905,8.27924790459272,amp,iso,0.03907968379470905,1.8502,1.3732033849683056,1.8164367854995698,False,1.0,1.5838345890475023,1.8164367854995698,fail_ef_outside,0.0417748079963995
JVASP-2817,K4IrO4,12,3,84,16,28-29,28,2,0.23260219645206592,0.23260219645206748,0.7261768677108975,0.09172228443342445,0.5720624118586557,0.07302491324446808,13.717873132705451,0.1856509166594416,1.7347062297859783,1.1232262703850977,0.04556382463187496,9.715937508464433,amp,iso,0.045861142216712225,9.715937508464433,amp,iso,0.045861142216712225,9.715937508464433,amp,iso,0.045861142216712225,1.8502,1.5838345890475023,2.3100114567584,True,1.0,1.5838345890475023,1.8164367854995698,fail_filling,0.0417748079963995
JVASP-2817,K4IrO4,12,3,84,16,28-29,29,2,0.13757762069719437,0.23260219645206748,0.7261768677108975,0.09172228443342445,0.5540174019915403,0.05971964814952282,16.790069122896362,0.15106877677081348,2.238253662168526,1.1232262703850977,0.04556382463187496,7.9456769432341945,amp,iso,0.045861142216712225,7.9456769432341945,amp,iso,0.045861142216712225,7.9456769432341945,amp,iso,0.045861142216712225,1.8502,1.5838345890475023,2.3100114567584,True,0.0,2.172433836061191,2.3100114567584,fail_filling,0.033085724315647526
