jid,formula,spg,dim,norb,nk,group,band,rank,W_band,W_group_max,W_span,d_iso,M_trg,lam,nphi,unif,Emid,M_manifold_diag,lam_manifold_diag,Tc_R1.00,binds_R1.00,cap_R1.00,U_R1.00,Tc_R0.85,binds_R0.85,cap_R0.85,U_R0.85,Tc_R0.55,binds_R0.55,cap_R0.55,U_R0.55
JVASP-36512,Ca3Bi2,221,3,52,24,2-3,2,2,0.06495109041801772,0.07000867832746405,0.07029866810434449,0.8904030486832708,2.6687080134936783,0.494087698944749,2.0383939371115773,0.5348482397392696,-6.613281599286112,0.04136056103660874,0.4828025219103215,638.159854968068,amp,iso,0.4452015243416354,638.159854968068,amp,iso,0.4452015243416354,258.0152304377671,amp,adiab,0.18
JVASP-36473,Ba3SbN,221,3,50,24,0-1,0,2,0.3455506369385608,0.3455506369385599,0.3458381544092557,5.510423823253287,2.265409173105787,0.4919275463331383,2.0520417151593144,0.5625272413525317,-4.73120801536307,0.05382752255901517,0.4671702278245422,2140.726560232635,amp,phys,1.5,713.575520077545,amp,adiab,0.5,256.8871872279162,amp,adiab,0.18
JVASP-36473,Ba3SbN,221,3,50,24,0-1,1,2,0.345497732829549,0.3455506369385599,0.3458381544092557,5.510423823253287,2.26541111081579,0.4888955896321789,2.0626093005799824,0.55861797267563,-4.730785499942409,0.05382752255901517,0.4671702278245422,2127.5323606241755,amp,phys,1.5,709.1774535413919,amp,adiab,0.5,255.30388327490107,amp,adiab,0.18
JVASP-36464,Ca3P2,221,3,52,24,2-3,3,2,0.14772856318142136,0.14772856318141425,0.14827471837747108,0.587038002491262,2.8510164959954007,0.4733838730134081,2.1308722900807764,0.5178495702158205,-5.476610957562168,0.08744734262073789,0.46291652887895707,403.10526966881787,amp,iso,0.293519001245631,403.10526966881787,amp,iso,0.293519001245631,247.2035821615049,amp,adiab,0.18
JVASP-36464,Ca3P2,221,3,52,24,2-3,2,2,0.12937943455356926,0.14772856318141425,0.14827471837747108,0.587038002491262,2.850766083748242,0.4731725511813686,2.1322798904575655,0.5179529243642852,-5.480236050753639,0.08744734262073789,0.46291652887895707,402.925320690943,amp,iso,0.293519001245631,402.925320690943,amp,iso,0.293519001245631,247.0932287742284,amp,adiab,0.18
JVASP-35414,ZnPd5Se,123,3,86,16,0-1,0,2,0.44673185746314203,0.4467318574631305,0.44715998688022207,6.5475425078226115,0.38495901349958717,0.8277641914193898,1.2198545073322071,0.892658067915791,-6.7390514311307825,0.05111339236976019,0.4488187788641389,2469.2896233378997,stiff,phys,1.5,699.6320599457382,stiff,adiab,0.5,162.9731151403014,stiff,adiab,0.18
JVASP-35414,ZnPd5Se,123,3,86,16,0-1,1,2,0.4466283206744386,0.4467318574631305,0.44715998688022207,6.5475425078226115,0.3840778843866746,0.8308942232526122,1.2152286549433944,0.894395323192579,-6.738531416895888,0.05111339236976019,0.4488187788641389,2463.6376892383278,stiff,phys,1.5,698.0306786175262,stiff,adiab,0.5,162.60008748972965,stiff,adiab,0.18
JVASP-34818,NiPb2N6O12,225,3,136,12,134-135,134,2,0.10519494464283596,0.10519494464288037,0.10862329247274971,4.797374314234959,0.35283176975858527,0.7272801945128824,1.3766657039883186,0.8437949406091749,15.32707532094433,0.45233844461874784,0.3907890003341435,2263.211919441798,stiff,phys,1.5,641.243377175176,stiff,adiab,0.5,149.37198668315867,stiff,adiab,0.18
JVASP-34818,NiPb2N6O12,225,3,136,12,134-135,135,2,0.10426109692035901,0.10519494464288037,0.10862329247274971,4.797374314234959,0.35260927905514594,0.7274620105201772,1.3763206673168717,0.8439037474599878,15.33070698465813,0.45233844461874784,0.3907890003341435,2261.7847701453115,stiff,phys,1.5,640.8390182078383,stiff,adiab,0.5,149.27779482959056,stiff,adiab,0.18
JVASP-35707,HfPt3,221,3,48,24,46-47,47,2,0.37114736129526804,0.42435737498442805,0.4367351134062254,3.755653177916635,0.3407033979468049,0.4983063972151557,2.0191206163839643,0.594713378123664,21.545240877856358,0.09326217321722835,0.45550776078474137,2168.485476375238,amp,phys,1.5,619.2010364144684,stiff,adiab,0.5,144.23741789419384,stiff,adiab,0.18
JVASP-35707,HfPt3,221,3,48,24,46-47,46,2,0.4243573749844458,0.42435737498442805,0.4367351134062254,3.755653177916635,0.3510626004154359,0.4937409074751796,2.037903047222816,0.5918106059102999,21.51540912999155,0.09326217321722835,0.45550776078474137,2148.6177840297114,amp,phys,1.5,638.028054118604,stiff,adiab,0.5,148.62300554762777,stiff,adiab,0.18
JVASP-22653,Sr3BiN,221,3,50,24,0-1,1,2,0.2988261376577297,0.29882613765773236,0.30041313629570965,6.219071972111405,2.8655996844156104,0.46785311888353665,2.138039789024514,0.47155495912478407,-6.302708152009287,0.06611519965660123,0.4675486758609215,2035.961607247354,amp,phys,1.5,678.6538690824514,amp,adiab,0.5,244.31539286968246,amp,adiab,0.18
JVASP-22653,Sr3BiN,221,3,50,24,0-1,0,2,0.2982418555527975,0.29882613765773236,0.30041313629570965,6.219071972111405,2.8655283333719375,0.4676547738965986,2.1389381507107785,0.4713971743822469,-6.3046556556432325,0.06611519965660123,0.4675486758609215,2035.0984671674942,amp,phys,1.5,678.366155722498,amp,adiab,0.5,244.21181606009927,amp,adiab,0.18
JVASP-18522,Ba3PbO,221,3,50,24,0-1,1,2,0.4899970513829728,0.4996043104970207,0.5031654993877313,3.010271467498157,2.5559423514531936,0.4494549776388827,2.229250522469494,0.47884426843838085,-3.63990096640046,0.10880737631825871,0.4470101107389818,1955.898211906061,amp,phys,1.5,651.9660706353537,amp,adiab,0.5,234.70778542872733,amp,adiab,0.18
JVASP-18522,Ba3PbO,221,3,50,24,0-1,0,2,0.49960431049703,0.4996043104970207,0.5031654993877313,3.010271467498157,2.556001912968965,0.44878130788443016,2.232589829021139,0.478450846332198,-3.645803270840094,0.10880737631825871,0.4470101107389818,1952.9665957627249,amp,phys,1.5,650.9888652542417,amp,adiab,0.5,234.35599149152702,amp,adiab,0.18
JVASP-38303,RbNa2Sb,225,3,36,24,0-1,1,2,0.44507250250768493,0.4450725025076867,0.4542228280479632,5.1364576989959145,3.00972852038148,0.409259620106432,2.4455757899049946,0.429950683643594,-5.277930145013931,0.2786522838700425,0.40849469851990605,1780.9796286529656,amp,phys,1.5,593.6598762176552,amp,adiab,0.5,213.71755543835587,amp,adiab,0.18
JVASP-38303,RbNa2Sb,225,3,36,24,0-1,0,2,0.42762282608144986,0.4450725025076867,0.4542228280479632,5.1364576989959145,3.0086371181065017,0.40809441752393216,2.4529756556820073,0.43099991115416825,-5.297106648896096,0.2786522838700425,0.40849469851990605,1775.9090036493399,amp,phys,1.5,591.9696678831133,amp,adiab,0.5,213.10908043792077,amp,adiab,0.18
JVASP-8367,Ca3BiN,221,3,50,24,0-1,1,2,0.3865997644354966,0.3929950810584062,0.39892219882687563,6.103029177803439,2.6996473229860802,0.4020944746605739,2.4882307999248305,0.4293774642153152,-5.666446626994987,0.19186234726563256,0.40188969334560365,1749.7989857346872,amp,phys,1.5,583.2663285782291,amp,adiab,0.5,209.97587828816245,amp,adiab,0.18
JVASP-8367,Ca3BiN,221,3,50,24,0-1,0,2,0.39299508105842307,0.3929950810584062,0.39892219882687563,6.103029177803439,2.699733524314942,0.4017922231430194,2.4904992651384177,0.43295652265705514,-5.67289135076797,0.19186234726563256,0.40188969334560365,1748.483674452929,amp,phys,1.5,582.8278914843097,amp,adiab,0.5,209.8180409343515,amp,adiab,0.18
