icsd,material_id,formula,space_group_number,curated,best,atomic,pass_sites,shells,doublet_kinds,chem_flag,lone_pair,jt_ions
82218,82218,F5 Mn1 Rb2,123,1,0,0,Mn1|F2,-|3d,"p{x,y}|{xz,yz}",1,,Mn3+
82233,27856,Fe1 O1,225,1,0,0,Fe1|O1,-|3d,"e_g{z2,x2-y2}",0,,
82375,2582,Cl6 K2 Pt1,225,1,0,0,Pt1,5d,"e_g{z2,x2-y2}",0,,
82376,2582,Cl6 K2 Pt1,225,1,0,0,Pt1,5d,"e_g{z2,x2-y2}",0,,
82378,82378,Cs1 La1 Nb2 O7,123,1,0,0,La1|Cs1|O3,-,"p{x,y}|{xz,yz}",0,,
82609,82609,Al12 O24 Sr8 Te2,217,0,0,1,Te1,-,"e_g{z2,x2-y2}",1,Te,
82981,69360,O3 Ru1 Sr1,221,1,1,0,Sr1|Ru1,-|4d,"e_g{z2,x2-y2}",0,,
82982,69360,O3 Ru1 Sr1,221,1,1,0,Sr1|Ru1,-|4d,"e_g{z2,x2-y2}",0,,
82983,69360,O3 Ru1 Sr1,221,1,1,0,Sr1|Ru1,-|4d,"e_g{z2,x2-y2}",0,,
82984,69360,O3 Ru1 Sr1,221,1,1,0,Sr1|Ru1,-|4d,"e_g{z2,x2-y2}",0,,
83087,75725,Ba2 Ca1 Cu2 Hg1 O6,123,1,0,0,Hg1|Ca1,-|5d,"p{x,y}|{xz,yz}",1,,Cu2+
83231,41549,C1 B2 Ni2 Y1,139,1,0,0,Y1|C1,-|4d,"p{x,y}|{xz,yz}",0,,
83265,83265,C3 N4,187,1,0,0,N1|N2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
83455,83455,Ca2 O6 Si1 Ti1,225,1,0,0,Ti1|Si1,-|3d,"e_g{z2,x2-y2}",0,,
