icsd,material_id,formula,space_group_number,curated,best,atomic,pass_sites,shells,doublet_kinds,chem_flag,lone_pair,jt_ions
157477,95192,Ba5 Nb4 O15,164,1,0,0,Ba1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
157549,157549,Al1 Bi1 O3,221,1,0,0,Bi1|Al1,-,"e_g{z2,x2-y2}",1,Bi,
157550,157550,Bi1 Ga1 O3,221,1,0,0,Bi1|Ga1,-,"e_g{z2,x2-y2}",1,Bi,
157600,150701,Fe1 Mo1 O6 Sr2,87,1,1,0,Fe1|Mo1,3d|4d,"p{x,y}|{xz,yz}",0,,
157601,150701,Fe1 Mo1 O6 Sr2,87,1,1,0,Fe1|Mo1,3d|4d,"p{x,y}|{xz,yz}",0,,
157602,150701,Fe1 Mo1 O6 Sr2,87,1,1,0,Fe1|Mo1,3d|4d,"p{x,y}|{xz,yz}",0,,
157603,157603,Fe1 Mo1 O6 Sr2,225,1,1,0,Fe1|Mo1,3d|4d,"e_g{z2,x2-y2}",0,,
157800,26676,Cr1 Cu1 O2,166,1,0,0,Cu1|Cr1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
157806,15453,Ba1 O3 Ti1,99,1,0,0,Ba1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",0,,
157886,157886,O6 Sb1 Sr2 Y1,225,1,1,0,Y1|Sb1,-|4d,"e_g{z2,x2-y2}",1,Sb,
157887,157886,O6 Sb1 Sr2 Y1,225,1,1,0,Y1|Sb1,-|4d,"e_g{z2,x2-y2}",1,Sb,
157941,53545,Fe3 Si1,225,1,0,0,Fe1|Si1,-|3d,"e_g{z2,x2-y2}",0,,
158194,89980,Ga1 S8 V4,216,1,0,0,Ga1,-,"e_g{z2,x2-y2}",0,,
158198,33994,Ga1 Mo4 S8,216,1,0,0,Ga1,-,"e_g{z2,x2-y2}",0,,
158389,158389,C1 Ba1 O3,160,0,0,1,Ba1|C1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
158390,158389,C1 Ba1 O3,160,0,0,1,Ba1|C1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
158647,18007,Mn1 S1,225,1,0,0,Mn1|S1,-|3d,"e_g{z2,x2-y2}",0,,
158648,18007,Mn1 S1,225,1,0,0,Mn1|S1,-|3d,"e_g{z2,x2-y2}",0,,
158649,18007,Mn1 S1,225,1,0,0,Mn1|S1,-|3d,"e_g{z2,x2-y2}",0,,
158650,18007,Mn1 S1,225,1,0,0,Mn1|S1,-|3d,"e_g{z2,x2-y2}",0,,
158651,18007,Mn1 S1,225,1,0,0,Mn1|S1,-|3d,"e_g{z2,x2-y2}",0,,
158652,18007,Mn1 S1,225,1,0,0,Mn1|S1,-|3d,"e_g{z2,x2-y2}",0,,
158756,157549,Al1 Bi1 O3,221,1,0,0,Al1|Bi1,-,"e_g{z2,x2-y2}",1,Bi,
