icsd,source,formula,spg,spg_symbol,M,X,priority,dim,motif,n_M_sites,angles_raw,angles_grouped,angle_min,angle_max,spread,d_MX,d_MX_mean,regime
95138,ICSD (local cache),Co2 Se2 Tl1,139,I4/mmm,Co,Se,1,2,2D layer,4,107.99 107.99 110.22 110.22 110.22 110.22,107.99 x2; 110.22 x4,107.99,110.22,2.23,2.368 2.368 2.368 2.368,2.368,REGULAR
95139,ICSD (local cache),Co2 Se2 Tl1,139,I4/mmm,Co,Se,1,2,2D layer,4,107.93 107.93 110.25 110.25 110.25 110.25,107.93 x2; 110.25 x4,107.93,110.25,2.32,2.369 2.369 2.369 2.369,2.369,REGULAR
95140,ICSD (local cache),Co2 Se2 Tl1,139,I4/mmm,Co,Se,1,2,2D layer,4,107.88 107.88 110.27 110.27 110.27 110.27,107.88 x2; 110.27 x4,107.88,110.27,2.39,2.370 2.370 2.370 2.370,2.37,REGULAR
95141,ICSD (local cache),Co2 Se2 Tl1,139,I4/mmm,Co,Se,1,2,2D layer,4,108.21 108.21 110.11 110.11 110.11 110.11,108.21 x2; 110.11 x4,108.21,110.11,1.9,2.373 2.373 2.373 2.373,2.373,REGULAR
625007,ICSD (local cache),Co2 Se2 Tl1,139,I4/mmm,Co,Se,1,2,2D layer,4,107.59 107.59 110.42 110.42 110.42 110.42,107.59 x2; 110.42 x4,107.59,110.42,2.84,2.384 2.384 2.384 2.384,2.384,REGULAR
674509,ICSD (local cache),Co2 Se2 Tl1,139,I4/mmm,Co,Se,1,2,2D layer,4,109.14 109.14 109.14 109.14 110.14 110.14,109.47 x6,109.14,110.14,1.0,2.334 2.334 2.334 2.334,2.334,REGULAR
191661,ICSD (local cache),As1 Co1 Fe1 Ti1,216,F-43m,Co,As,1,3,3D network,4,109.47 109.47 109.47 109.47 109.47 109.47,109.47 x6,109.47,109.47,0.0,2.524 2.524 2.524 2.524,2.524,REGULAR
191667,ICSD (local cache),As1 Co1 Fe1 V1,216,F-43m,Co,As,1,3,3D network,4,109.47 109.47 109.47 109.47 109.47 109.47,109.47 x6,109.47,109.47,0.0,2.490 2.490 2.490 2.490,2.49,REGULAR
191648,ICSD (local cache),As1 Co1 Mn2,216,F-43m,Co,As,1,3,3D network,4,109.47 109.47 109.47 109.47 109.47 109.47,109.47 x6,109.47,109.47,0.0,2.460 2.460 2.460 2.460,2.46,REGULAR
23929,ICSD (local cache),Co9 S8,225,Fm-3m,Co,S,1,3,3D network,36,107.98 107.98 107.98 110.92 110.92 110.92,107.98 x3; 110.92 x3,107.98,110.92,2.94,2.132 2.208 2.208 2.208,2.189,REGULAR
31753,ICSD (local cache),Co9 S8,225,Fm-3m,Co,S,1,3,3D network,36,109.47 109.47 109.47 109.47 109.47 109.47,109.47 x6,109.47,109.47,0.0,2.149 2.149 2.149 2.149,2.149,REGULAR
40046,ICSD (local cache),Co9 S8,225,Fm-3m,Co,S,1,3,3D network,36,107.42 107.42 107.42 111.44 111.44 111.44,107.42 x3; 111.44 x3,107.42,111.44,4.02,2.127 2.227 2.227 2.227,2.202,REGULAR
600664,ICSD (local cache),Co9 S8,225,Fm-3m,Co,S,1,3,3D network,36,109.47 109.47 109.47 109.47 109.47 109.47,109.47 x6,109.47,109.47,0.0,2.150 2.150 2.150 2.150,2.15,REGULAR
624834,ICSD (local cache),Co9 S8,225,Fm-3m,Co,S,1,3,3D network,36,109.47 109.47 109.47 109.47 109.47 109.47,109.47 x6,109.47,109.47,0.0,2.150 2.150 2.150 2.150,2.15,REGULAR
657415,ICSD (local cache),Co9 S8,225,Fm-3m,Co,S,1,3,3D network,36,109.04 109.04 109.04 109.90 109.90 109.90,109.47 x6,109.04,109.9,0.87,2.131 2.154 2.154 2.154,2.148,REGULAR
660368,ICSD (local cache),Co9 S8,225,Fm-3m,Co,S,1,3,3D network,36,107.56 107.56 107.56 111.32 111.32 111.32,107.56 x3; 111.32 x3,107.56,111.32,3.76,2.122 2.231 2.231 2.231,2.204,REGULAR
623960,ICSD (local cache),Co1 K2 S2,72,Ibam,Co,S,1,1,1D chain/ladder,4,100.68 100.68 111.67 111.67 116.45 116.45,100.68 x2; 111.67 x2; 116.45 x2,100.68,116.45,15.77,2.387 2.387 2.387 2.387,2.387,OTHER
107932,ICSD (local cache),As1 Co1 Li1,129,P4/nmm,Co,As,1,2,2D layer,2,103.52 103.52 112.53 112.53 112.53 112.53,103.52 x2; 112.53 x4,103.52,112.53,9.01,2.392 2.392 2.392 2.392,2.392,OTHER
609899,ICSD (local cache),As2 Ca1 Co2,139,I4/mmm,Co,As,1,2,2D layer,4,106.18 106.18 106.18 106.18 116.28 116.28,106.18 x4; 116.28 x2,106.18,116.28,10.1,2.348 2.348 2.348 2.348,2.348,OTHER
610073,ICSD (local cache),As2 Co2 La1,139,I4/mmm,Co,As,1,2,2D layer,4,105.79 105.79 105.79 105.79 117.11 117.11,105.79 x4; 117.11 x2,105.79,117.11,11.32,2.376 2.376 2.376 2.376,2.376,OTHER
10462,ICSD (local cache),Ca1 Co2 P2,139,I4/mmm,Co,P,1,2,2D layer,4,105.63 105.63 105.63 105.63 117.47 117.47,105.63 x4; 117.47 x2,105.63,117.47,11.84,2.257 2.257 2.257 2.257,2.257,OTHER
85890,ICSD (local cache),Ca1 Co2 P2,139,I4/mmm,Co,P,1,2,2D layer,4,105.73 105.73 105.73 105.73 117.25 117.25,105.73 x4; 117.25 x2,105.73,117.25,11.53,2.262 2.262 2.262 2.262,2.262,OTHER
85891,ICSD (local cache),Ca1 Co2 P2,139,I4/mmm,Co,P,1,2,2D layer,4,105.73 105.73 105.73 105.73 117.25 117.25,105.73 x4; 117.25 x2,105.73,117.25,11.53,2.262 2.262 2.262 2.262,2.262,OTHER
85892,ICSD (local cache),Ca1 Co2 P2,139,I4/mmm,Co,P,1,2,2D layer,4,106.03 106.03 106.03 106.03 116.59 116.59,106.03 x4; 116.59 x2,106.03,116.59,10.55,2.263 2.263 2.263 2.263,2.263,OTHER
619210,ICSD (local cache),Ca1 Co2 P2,139,I4/mmm,Co,P,1,2,2D layer,4,105.63 105.63 105.63 105.63 117.46 117.46,105.63 x4; 117.46 x2,105.63,117.46,11.82,2.256 2.256 2.256 2.256,2.256,OTHER
162902,ICSD (local cache),Co1 Se1,129,P4/nmm,Co,Se,1,2,2D layer,2,102.46 102.46 113.08 113.08 113.08 113.08,102.46 x2; 113.08 x4,102.46,113.08,10.62,2.264 2.264 2.264 2.264,2.264,OTHER
622529,ICSD (local cache),Co2 Cs1 S2,139,I4/mmm,Co,S,1,2,2D layer,4,107.67 107.67 107.67 107.67 113.14 113.14,107.67 x4; 113.14 x2,107.67,113.14,5.47,2.238 2.238 2.238 2.238,2.238,OTHER
182837,ICSD (local cache),Co2 K1 Se2,139,I4/mmm,Co,Se,1,2,2D layer,4,106.24 106.24 111.11 111.11 111.11 111.11,106.24 x2; 111.11 x4,106.24,111.11,4.87,2.348 2.348 2.348 2.348,2.348,OTHER
87581,ICSD (local cache),Co2 La1 P2,139,I4/mmm,Co,P,1,2,2D layer,4,106.05 106.05 106.05 106.05 116.55 116.55,106.05 x4; 116.55 x2,106.05,116.55,10.49,2.242 2.242 2.242 2.242,2.242,OTHER
87582,ICSD (local cache),Co2 La1 P2,139,I4/mmm,Co,P,1,2,2D layer,4,106.06 106.06 106.06 106.06 116.53 116.53,106.06 x4; 116.53 x2,106.06,116.53,10.47,2.237 2.237 2.237 2.237,2.237,OTHER
87583,ICSD (local cache),Co2 La1 P2,139,I4/mmm,Co,P,1,2,2D layer,4,105.88 105.88 105.88 105.88 116.92 116.92,105.88 x4; 116.92 x2,105.88,116.92,11.04,2.236 2.236 2.236 2.236,2.236,OTHER
624010,ICSD (local cache),Co2 La1 P2,139,I4/mmm,Co,P,1,2,2D layer,4,106.10 106.10 106.10 106.10 116.45 116.45,106.10 x4; 116.45 x2,106.1,116.45,10.35,2.243 2.243 2.243 2.243,2.243,OTHER
67362,ICSD (local cache),Co2 Se2 Tl1,139,I4/mmm,Co,Se,1,2,2D layer,4,104.20 104.20 112.17 112.17 112.17 112.17,104.20 x2; 112.17 x4,104.2,112.17,7.97,2.434 2.434 2.434 2.434,2.434,OTHER
COD-1536136,COD,,,,Co,P,1,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.28 A (coordination > 4)
COD-1538443,COD,,,,Co,As,1,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.34 A (coordination > 4)
COD-2106188,COD,,,,Co,As,1,-1,EXCLUDED,8,,,,,,,,not-tetrahedral: 5th neighbour at 2.33 A (coordination > 4)
COD-9000133,COD,,,,Co,As,1,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.63 A > cutoff 3.09 A (not bonded)
COD-9007662,COD,,,,Co,As,1,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.44 A (coordination > 4)
COD-9008928,COD,,,,Co,P,1,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.37 A (coordination > 4)
COD-9009908,COD,,,,Co,As,1,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.40 A (coordination > 4)
610034,ICSD (local cache),As2 Co1,58,Pnnm,Co,As,1,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 5th neighbour at 2.36 A (coordination > 4)
80350,ICSD (local cache),As2 Co1 O6,162,P-31m,Co,As,1,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 4th neighbour at 3.56 A > cutoff 3.09 A (not bonded)
202853,ICSD (local cache),Ba1 Co1 O7 P2,2,P-1,Co,P,1,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.24 A > cutoff 2.96 A (not bonded)
82639,ICSD (local cache),Ba1 Co1 S2,129,P4/nmm,Co,S,1,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 5th neighbour at 2.43 A (coordination > 4)
250709,ICSD (local cache),Ba1 Co2 O8 P2,147,P-3,Co,P,1,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.29 A > cutoff 2.96 A (not bonded)
280965,ICSD (local cache),Ba2 Cl2 Co1 O6 Se2,58,Pnnm,Co,Se,1,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.33 A > cutoff 3.10 A (not bonded)
92479,ICSD (local cache),C6 H18 Co1 N12 Os1 S6,148,R-3,Co,S,1,-1,EXCLUDED,3,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
193216,ICSD (local cache),Co1 K1 O9 P3,188,P-6c2,Co,P,1,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.34 A > cutoff 2.96 A (not bonded)
71536,ICSD (local cache),Co1 K2 O6 Se2,166,R-3m,Co,Se,1,-1,EXCLUDED,3,,,,,,,,not-tetrahedral: 4th neighbour at 3.25 A > cutoff 3.10 A (not bonded)
380405,ICSD (local cache),Co1 La3 O6 S3 W1,176,P63/m,Co,S,1,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 5th neighbour at 2.44 A (coordination > 4)
5437,ICSD (local cache),Co3 In1 S2 Sn1,166,R-3m,Co,S,1,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
425136,ICSD (local cache),Co3 In1 S2 Sn1,166,R-3m,Co,S,1,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
425137,ICSD (local cache),Co3 In1 S2 Sn1,166,R-3m,Co,S,1,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
5436,ICSD (local cache),Co3 In2 S2,166,R-3m,Co,S,1,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
195432,ICSD (local cache),Co3 In2 S2,166,R-3m,Co,S,1,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
423459,ICSD (local cache),Co3 In2 S2,166,R-3m,Co,S,1,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
5435,ICSD (local cache),Co3 S2 Sn2,166,R-3m,Co,S,1,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
173760,ICSD (local cache),Co3 S2 Sn2,166,R-3m,Co,S,1,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
173761,ICSD (local cache),Co3 S2 Sn2,166,R-3m,Co,S,1,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
173762,ICSD (local cache),Co3 S2 Sn2,166,R-3m,Co,S,1,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
173763,ICSD (local cache),Co3 S2 Sn2,166,R-3m,Co,S,1,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
