icsd,source,formula,spg,spg_symbol,M,X,priority,dim,motif,n_M_sites,angles_raw,angles_grouped,angle_min,angle_max,spread,d_MX,d_MX_mean,regime
79574,ICSD (local cache),C1 B2 Ni2 Y1,139,I4/mmm,Ni,C,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.18 A > cutoff 2.30 A (not bonded)
83231,ICSD (local cache),C1 B2 Ni2 Y1,139,I4/mmm,Ni,C,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.17 A > cutoff 2.30 A (not bonded)
89142,ICSD (local cache),C1 B2 Ni2 Y1,139,I4/mmm,Ni,C,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.17 A > cutoff 2.30 A (not bonded)
75401,ICSD (local cache),C1 Cu1 F1 K1 O3,26,Pmc21,Cu,C,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: fewer than 4 C neighbours
6179,ICSD (local cache),C1 Cu1 O3,8,Cm,Cu,C,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.27 A > cutoff 2.39 A (not bonded)
74875,ICSD (local cache),C1 H1 Cu1 O4 Tl1,176,P63/m,Cu,C,2,-1,EXCLUDED,6,,,,,,,,not-tetrahedral: 4th neighbour at 3.37 A > cutoff 2.39 A (not bonded)
279589,ICSD (local cache),C1 H8 Cu1 N2 O5 P2,15,C2/c,Cu,C/N/P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.12 A > cutoff 2.75 A (not bonded)
279590,ICSD (local cache),C1 H8 Cu1 N2 O5 P2,15,C2/c,Cu,C/N/P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.11 A > cutoff 2.75 A (not bonded)
279591,ICSD (local cache),C1 H8 Cu1 N2 O5 P2,15,C2/c,Cu,C/N/P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.11 A > cutoff 2.75 A (not bonded)
237798,ICSD (local cache),C1 Na3 Ni1 O7 P1,11,P21/m,Ni,C/P,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.36 A > cutoff 2.66 A (not bonded)
180457,ICSD (local cache),C1 Ni1,225,Fm-3m,Ni,C,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.04 A (coordination > 4)
673582,ICSD (local cache),C1 Ni6 Y2,225,Fm-3m,Ni,C,2,-1,EXCLUDED,24,,,,,,,,not-tetrahedral: fewer than 4 C neighbours
109784,ICSD (local cache),C10 H14 N8 Ni1 O2,12,C2/m,Ni,C/N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
66776,ICSD (local cache),C2 Ba4 Cu1 Na1 O10,121,I-42m,Cu,C,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: fewer than 4 C neighbours
80606,ICSD (local cache),C2 Ba4 Cu1 Na1 O10,121,I-42m,Cu,C,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: fewer than 4 C neighbours
380468,ICSD (local cache),C2 Br1 Cs1 N2 Ni1,139,I4/mmm,Ni,C/N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
380470,ICSD (local cache),C2 Br1 N2 Ni1 Rb1,139,I4/mmm,Ni,C/N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
380469,ICSD (local cache),C2 Cl1 Cs1 N2 Ni1,139,I4/mmm,Ni,C/N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
380471,ICSD (local cache),C2 Cl1 N2 Ni1 Rb1,139,I4/mmm,Ni,C/N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
172335,ICSD (local cache),C2 Cu1 F6 O6 S2,2,P-1,Cu,C,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: fewer than 4 C neighbours
412037,ICSD (local cache),C2 Cu1 K1,131,P42/mmc,Cu,C,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.06 A > cutoff 2.39 A (not bonded)
412038,ICSD (local cache),C2 Cu1 K1,131,P42/mmc,Cu,C,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.06 A > cutoff 2.39 A (not bonded)
36447,ICSD (local cache),C2 Cu1 K2 O6,43,Fdd2,Cu,C,2,-1,EXCLUDED,8,,,,,,,,not-tetrahedral: 4th neighbour at 2.92 A > cutoff 2.39 A (not bonded)
200695,ICSD (local cache),C2 Cu1 K2 O6,43,Fdd2,Cu,C,2,-1,EXCLUDED,8,,,,,,,,not-tetrahedral: 4th neighbour at 2.92 A > cutoff 2.39 A (not bonded)
200779,ICSD (local cache),C2 Cu1 K2 O6,43,Fdd2,Cu,C,2,-1,EXCLUDED,8,,,,,,,,not-tetrahedral: 4th neighbour at 2.92 A > cutoff 2.39 A (not bonded)
10355,ICSD (local cache),C2 Cu1 Na2 O6,14,P21/c,Cu,C,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 2.83 A > cutoff 2.39 A (not bonded)
60858,ICSD (local cache),C2 Cu1 Na2 O6,14,P21/c,Cu,C,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 2.80 A > cutoff 2.39 A (not bonded)
426579,ICSD (local cache),C2 Cu1 Na2 O6,14,P21/c,Cu,C,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 2.79 A > cutoff 2.39 A (not bonded)
412039,ICSD (local cache),C2 Cu1 Rb1,131,P42/mmc,Cu,C,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.06 A > cutoff 2.39 A (not bonded)
412040,ICSD (local cache),C2 Cu1 Rb1,131,P42/mmc,Cu,C,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.07 A > cutoff 2.39 A (not bonded)
48155,ICSD (local cache),C2 H10 N4 Ni1 O6,15,C2/c,Ni,C/N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 2.82 A > cutoff 2.30 A (not bonded)
72515,ICSD (local cache),C2 H12 N6 Ni1 S2,12,C2/m,Ni,C/N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 5th neighbour at 2.10 A (coordination > 4)
251432,ICSD (local cache),C2 H14 Cu1 F8 N2 O4 V2,2,P-1,Cu,C/N,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: fewer than 4 C/N neighbours
110471,ICSD (local cache),C2 H8 Br3 Cu1 N1 O1,2,P-1,Cu,C/N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: fewer than 4 C/N neighbours
68710,ICSD (local cache),C2 H9 K1 Ni1 O10,2,P-1,Ni,C,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: fewer than 4 C neighbours
16399,ICSD (local cache),C4 Cs1 K1 N4 Ni1,2,P-1,Ni,C/N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
242098,ICSD (local cache),C4 Cu1 Na2 O8,14,P21/c,Cu,C,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 2.72 A > cutoff 2.39 A (not bonded)
61122,ICSD (local cache),C4 H16 Cl2 N8 Ni1 S4,79,I4,Ni,C/N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.54 A > cutoff 2.30 A (not bonded)
61123,ICSD (local cache),C4 H16 Cl2 N8 Ni1 S4,79,I4,Ni,C/N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.55 A > cutoff 2.30 A (not bonded)
417562,ICSD (local cache),C4 H20 N4 Ni1 O12 Pd1,23,I222,Ni,C/N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 2.78 A > cutoff 2.30 A (not bonded)
417564,ICSD (local cache),C4 H20 N4 Ni1 O12 Pt1,23,I222,Ni,C/N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 2.79 A > cutoff 2.30 A (not bonded)
151315,ICSD (local cache),C4 H4 Ca1 Cu1 O8,13,P2/c,Cu,C,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 2.94 A > cutoff 2.39 A (not bonded)
40090,ICSD (local cache),C4 H4 Cu1 Na2 O10,2,P-1,Cu,C,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 4th neighbour at 2.69 A > cutoff 2.39 A (not bonded)
150120,ICSD (local cache),C4 H4 Cu1 O8 Sr1,13,P2/c,Cu,C,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 2.95 A > cutoff 2.39 A (not bonded)
290326,ICSD (local cache),C4 H6 Cu1 N8,14,P21/c,Cu,C/N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
250269,ICSD (local cache),C4 H8 Cl2 Cu1 N8,14,P21/c,Cu,C/N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.03 A > cutoff 2.39 A (not bonded)
109973,ICSD (local cache),C4 H8 Cu1 N2 O6,14,P21/c,Cu,C/N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 2.89 A > cutoff 2.39 A (not bonded)
194113,ICSD (local cache),C4 H8 Cu1 N2 O6,14,P21/c,Cu,C/N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 2.88 A > cutoff 2.39 A (not bonded)
253556,ICSD (local cache),C4 H8 Cu1 N2 O8,14,P21/c,Cu,C/N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 2.71 A > cutoff 2.39 A (not bonded)
169760,ICSD (local cache),C4 N4 Ni1 Zn1,132,P42/mcm,Ni,C/N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
85617,ICSD (local cache),C4 N6 Ni1,58,Pnnm,Ni,C/N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 5th neighbour at 2.14 A (coordination > 4)
414021,ICSD (local cache),C5 Cu1 Fe1 N6 O1,107,I4mm,Cu,C/N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 5th neighbour at 2.13 A (coordination > 4)
110500,ICSD (local cache),C5 H11 Cu1 N1 O6,15,C2/c,Cu,C/N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 2.90 A > cutoff 2.39 A (not bonded)
151227,ICSD (local cache),C5 H11 Cu1 N1 O6,15,C2/c,Cu,C/N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 2.90 A > cutoff 2.39 A (not bonded)
249724,ICSD (local cache),C6 Au3 K1 N6 Ni1,149,P312,Ni,C/N,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 5th neighbour at 2.09 A (coordination > 4)
56603,ICSD (local cache),C6 Cr1 Cs1 N6 Ni1,216,F-43m,Ni,C/N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.10 A (coordination > 4)
151706,ICSD (local cache),C6 Cs2 Fe1 N6 Ni1,225,Fm-3m,Ni,C/N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.06 A (coordination > 4)
99499,ICSD (local cache),C6 Cu1 Fe1 K2 N6,2,P-1,Cu,C/N,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
66806,ICSD (local cache),C6 H12 N6 Ni1 O10,69,Fmmm,Ni,C/N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.36 A > cutoff 2.30 A (not bonded)
168724,ICSD (local cache),C6 H4 Cu1 N8 O4,2,P-1,Cu,C/N,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
411632,ICSD (local cache),C8 H16 Cu1 N8 Ni1,2,P-1,Ni,C/N,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
411632,ICSD (local cache),C8 H16 Cu1 N8 Ni1,2,P-1,Cu,C/N,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
428562,ICSD (local cache),C8 H6 Cu1 N8,15,C2/c,Cu,C/N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
6183,ICSD (local cache),Ca1 Cu1 K2 N6 O12,69,Fmmm,Cu,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.31 A (coordination > 4)
26748,ICSD (local cache),Ca1 K2 N6 Ni1 O12,202,Fm-3,Ni,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.18 A (coordination > 4)
69044,ICSD (local cache),Ca1 N1 Ni1,131,P42/mmc,Ni,N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: fewer than 4 N neighbours
656846,ICSD (local cache),Ca1 N1 Ni1,131,P42/mmc,Ni,N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: fewer than 4 N neighbours
249777,ICSD (local cache),Cd2 Cu1 O8 P2,2,P-1,Cu,P,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 4th neighbour at 3.13 A > cutoff 2.75 A (not bonded)
2381,ICSD (local cache),Cs2 Cu1 N6 O12 Pb1,202,Fm-3,Cu,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.17 A (coordination > 4)
8284,ICSD (local cache),Cs2 Cu1 N6 O12 Pb1,69,Fmmm,Cu,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.23 A (coordination > 4)
8285,ICSD (local cache),Cs2 Cu1 N6 O12 Pb1,69,Fmmm,Cu,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.23 A (coordination > 4)
56252,ICSD (local cache),Cs2 Cu1 N6 O12 Pb1,69,Fmmm,Cu,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.24 A (coordination > 4)
56253,ICSD (local cache),Cs2 Cu1 N6 O12 Pb1,69,Fmmm,Cu,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.20 A (coordination > 4)
56254,ICSD (local cache),Cs2 Cu1 N6 O12 Pb1,202,Fm-3,Cu,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.13 A (coordination > 4)
430123,ICSD (local cache),Cs2 Cu1 O7 P2,9,Cc,Cu,P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.18 A > cutoff 2.75 A (not bonded)
656056,ICSD (local cache),Cs2 Ni1 P2,63,Cmcm,Ni,P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
89606,ICSD (local cache),Cu1 In1 O5 P1,62,Pnma,Cu,P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.60 A > cutoff 2.75 A (not bonded)
1274,ICSD (local cache),Cu1 K2 N6 O12 Pb1,69,Fmmm,Cu,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.17 A (coordination > 4)
16127,ICSD (local cache),Cu1 K2 N6 O12 Pb1,202,Fm-3,Cu,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.11 A (coordination > 4)
26228,ICSD (local cache),Cu1 K2 N6 O12 Pb1,202,Fm-3,Cu,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.11 A (coordination > 4)
26749,ICSD (local cache),Cu1 K2 N6 O12 Pb1,202,Fm-3,Cu,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.24 A (coordination > 4)
36135,ICSD (local cache),Cu1 K2 N6 O12 Pb1,196,F23,Cu,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.04 A (coordination > 4)
191282,ICSD (local cache),Cu1 K2 O7 P2,113,P-421m,Cu,P,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.14 A > cutoff 2.75 A (not bonded)
72485,ICSD (local cache),Cu1 Li2 O7 P2,15,C2/c,Cu,P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.19 A > cutoff 2.75 A (not bonded)
160321,ICSD (local cache),Cu1 Li2 O7 P2,15,C2/c,Cu,P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.20 A > cutoff 2.75 A (not bonded)
236815,ICSD (local cache),Cu1 N1,225,Fm-3m,Cu,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.04 A (coordination > 4)
236816,ICSD (local cache),Cu1 N1,225,Fm-3m,Cu,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.09 A (coordination > 4)
236835,ICSD (local cache),Cu1 N1,221,Pm-3m,Cu,N,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 5th neighbour at 2.21 A (coordination > 4)
236836,ICSD (local cache),Cu1 N1,221,Pm-3m,Cu,N,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 5th neighbour at 2.27 A (coordination > 4)
413267,ICSD (local cache),Cu1 N4 Na2 O12,14,P21/c,Cu,N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 2.76 A > cutoff 2.33 A (not bonded)
422033,ICSD (local cache),Cu1 N4 O10,11,P21/m,Cu,N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 2.87 A > cutoff 2.33 A (not bonded)
372,ICSD (local cache),Cu1 N6 O12 Pb1 Rb2,69,Fmmm,Cu,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.18 A (coordination > 4)
16,ICSD (local cache),Cu1 N6 O12 Pb1 Tl2,202,Fm-3,Cu,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.12 A (coordination > 4)
35451,ICSD (local cache),Cu1 Na1 O4 P1,19,P212121,Cu,P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.22 A > cutoff 2.75 A (not bonded)
2822,ICSD (local cache),Cu1 Na2 O12 P4,15,C2/c,Cu,P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.17 A > cutoff 2.75 A (not bonded)
79868,ICSD (local cache),Cu1 Na2 O7 P2,15,C2/c,Cu,P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.20 A > cutoff 2.75 A (not bonded)
80418,ICSD (local cache),Cu1 Na2 O7 P2,15,C2/c,Cu,P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.20 A > cutoff 2.75 A (not bonded)
260010,ICSD (local cache),Cu1 O12 P2 Rb2 V2,14,P21/c,Cu,P,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.05 A > cutoff 2.75 A (not bonded)
23756,ICSD (local cache),Cu2 O12 P4,15,C2/c,Cu,P,2,-1,EXCLUDED,8,,,,,,,,not-tetrahedral: 4th neighbour at 3.33 A > cutoff 2.75 A (not bonded)
426627,ICSD (local cache),Cu3 Ge1 O10 P2,11,P21/m,Cu,P,2,-1,EXCLUDED,6,,,,,,,,not-tetrahedral: 4th neighbour at 3.55 A > cutoff 2.75 A (not bonded)
251665,ICSD (local cache),F2 Na4 Ni1 O7 P2,74,Imma,Ni,P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.16 A > cutoff 2.66 A (not bonded)
251666,ICSD (local cache),F2 Na4 Ni1 O7 P2,74,Imma,Ni,P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.17 A > cutoff 2.66 A (not bonded)
53505,ICSD (local cache),Fe1 N1 Ni1,123,P4/mmm,Ni,N,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 4th neighbour at 3.38 A > cutoff 2.24 A (not bonded)
160894,ICSD (local cache),H1 As1 Cu1 O5 Zn1,58,Pnnm,Cu,As,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.46 A > cutoff 2.89 A (not bonded)
62742,ICSD (local cache),H1 Cu2 K3 O14 P4,2,P-1,Cu,P,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.18 A > cutoff 2.75 A (not bonded)
59158,ICSD (local cache),H10 As4 Cu1 O16,2,P-1,Cu,As,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 4th neighbour at 3.38 A > cutoff 2.89 A (not bonded)
88887,ICSD (local cache),H12 Br4 Cu1 N2 O2,136,P42/mnm,Cu,N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: fewer than 4 N neighbours
88888,ICSD (local cache),H12 Br4 Cu1 N2 O2,136,P42/mnm,Cu,N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: fewer than 4 N neighbours
88889,ICSD (local cache),H12 Br4 Cu1 N2 O2,136,P42/mnm,Cu,N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: fewer than 4 N neighbours
23750,ICSD (local cache),H12 Cl4 Cu1 N2 O2,136,P42/mnm,Cu,N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: fewer than 4 N neighbours
163014,ICSD (local cache),H12 Cl4 Cu1 N2 O2,136,P42/mnm,Cu,N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: fewer than 4 N neighbours
420586,ICSD (local cache),H12 Cl4 Cu1 N2 O2,136,P42/mnm,Cu,N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: fewer than 4 N neighbours
74551,ICSD (local cache),H12 Cu1 F2 N2 O8 P2,12,C2/m,Cu,N/P,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.21 A > cutoff 2.75 A (not bonded)
4072,ICSD (local cache),H12 Cu1 I4 N4,12,C2/m,Cu,N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
61243,ICSD (local cache),H12 Cu1 Mn2 N4 O8,11,P21/m,Cu,N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: square-planar / trans (max angle 179.1 deg)
412606,ICSD (local cache),H12 Cu1 N10 O8,2,P-1,Cu,N,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
103,ICSD (local cache),H12 Cu1 N2 O6 Sn1,2,P-1,Cu,N,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: fewer than 4 N neighbours
169583,ICSD (local cache),H12 Cu1 N4 O8 Re2,2,P-1,Cu,N,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
410198,ICSD (local cache),H12 N2 Ni1 O10 S2,2,P-1,Ni,N,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: fewer than 4 N neighbours
201208,ICSD (local cache),H12 N6 Ni1 O4,12,C2/m,Ni,N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 5th neighbour at 2.15 A (coordination > 4)
201209,ICSD (local cache),H12 N6 Ni1 O4,12,C2/m,Ni,N,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 5th neighbour at 2.14 A (coordination > 4)
247564,ICSD (local cache),H2 Na2 Ni1 O6 P2,62,Pnma,Ni,P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.31 A > cutoff 2.66 A (not bonded)
409898,ICSD (local cache),H3 B1 Ca1 Ni1 O10 P2,15,C2/c,Ni,P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.24 A > cutoff 2.66 A (not bonded)
280917,ICSD (local cache),H4 Cu1 O4 P2,14,P21/c,Cu,P,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.14 A > cutoff 2.75 A (not bonded)
280918,ICSD (local cache),H4 Cu1 O4 P2,14,P21/c,Cu,P,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.14 A > cutoff 2.75 A (not bonded)
280921,ICSD (local cache),H4 Cu1 O4 P2,51,Pmma,Cu,P,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.35 A > cutoff 2.75 A (not bonded)
250189,ICSD (local cache),H6 Cu1 N1 O5 P1,31,Pmn21,Cu,N/P,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.27 A > cutoff 2.75 A (not bonded)
424553,ICSD (local cache),H6 N1 Ni1 O5 P1,31,Pmn21,Ni,N/P,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.27 A > cutoff 2.66 A (not bonded)
421806,ICSD (local cache),H8 Cu1 O16 P4 Rb2,2,P-1,Cu,P,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 4th neighbour at 3.22 A > cutoff 2.75 A (not bonded)
417429,ICSD (local cache),H8 Ni1 O10 P2,14,P21/c,Ni,P,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.39 A > cutoff 2.66 A (not bonded)
417430,ICSD (local cache),H8 Ni1 O10 P2,14,P21/c,Ni,P,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.39 A > cutoff 2.66 A (not bonded)
85597,ICSD (local cache),H8 Ni1 O14 P2 V2,87,I4/m,Ni,P,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: fewer than 4 P neighbours
421808,ICSD (local cache),H8 Ni1 O16 P4 Rb2,2,P-1,Ni,P,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 4th neighbour at 3.27 A > cutoff 2.66 A (not bonded)
416651,ICSD (local cache),H8 Ni1 O16 P4 Tl2,2,P-1,Ni,P,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 4th neighbour at 3.27 A > cutoff 2.66 A (not bonded)
91527,ICSD (local cache),K1 Ni1 O9 P3,146,R3,Ni,P,2,-1,EXCLUDED,3,,,,,,,,not-tetrahedral: 4th neighbour at 3.21 A > cutoff 2.66 A (not bonded)
1937,ICSD (local cache),K2 N6 Ni1 O12 Pb1,202,Fm-3,Ni,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.08 A (coordination > 4)
179,ICSD (local cache),K2 N6 Ni1 O12 Sr1,202,Fm-3,Ni,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.08 A (coordination > 4)
300119,ICSD (local cache),K2 Ni1 P2,63,Cmcm,Ni,P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
97767,ICSD (local cache),Li1 Ni1 O4 P1,63,Cmcm,Ni,P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.32 A > cutoff 2.66 A (not bonded)
72409,ICSD (local cache),Mg2 Ni3 P1,166,R-3m,Ni,P,2,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 P neighbours
