jid,formula,band,rank,d_near,d_intra,M_single,M_manifold,Tc_single,Tc_manifold,treatment,M_applied,Tc
JVASP-12648,MnSnB2O6,37,2,0.04171438648527204,0.04171438648527204,0.3195509112781975,0.2595843296732563,15.331901539631586,29.060895495217853,single,0.3195509112781975,15.331901539631586
JVASP-12648,MnSnB2O6,38,2,0.04171438648527204,0.04171438648527204,0.3336258511127329,0.2595843296732563,17.85688412840878,29.060895495217853,single,0.3336258511127329,17.85688412840878
JVASP-12648,MnSnB2O6,39,2,0.0043815601620691425,0.0043815601620691425,0.5838917068508473,0.3132622528047093,1.8329950431205009,40.600173680718136,single,0.5838917068508473,1.8329950431205009
JVASP-12648,MnSnB2O6,40,2,0.0043815601620691425,0.0043815601620691425,0.5612144474573116,0.3132622528047093,3.2621761843814086,40.600173680718136,single,0.5612144474573116,3.2621761843814086
JVASP-13546,VBr2,19,2,0.01031356843106912,0.01031356843106912,1.6186529716840694,0.3632700229705813,2.8830000892757406,34.6614167697633,single,1.6186529716840694,2.8830000892757406
JVASP-13546,VBr2,20,2,0.01031356843106912,0.01031356843106912,1.5963943939844474,0.3632700229705813,2.6389936128621483,34.6614167697633,single,1.5963943939844474,2.6389936128621483
JVASP-13576,FeBr2,24,2,0.010483561961281307,0.010483561961281307,1.75031677242796,0.4054515676766708,2.7349053535154453,154.9719288489835,either,0.4054515676766708,2.7349053535154453
JVASP-13576,FeBr2,25,2,0.010483561961281307,0.010483561961281307,1.705407445531602,0.4054515676766708,2.473173269023715,154.9719288489835,either,0.4054515676766708,2.473173269023715
JVASP-13600,ZrFeCl6,0,2,0.19209654275641874,0.19209654275641874,0.5027700174311215,1.0183023096698982,21.85389545777134,6.640156884181457,single,0.5027700174311215,21.85389545777134
JVASP-13600,ZrFeCl6,1,2,0.19209654275641874,0.19209654275641874,0.515769719936971,1.0183023096698982,20.18386570936602,6.640156884181457,single,0.515769719936971,20.18386570936602
JVASP-13600,ZrFeCl6,39,2,0.001129336142358106,0.001129336142358106,1.6275348670941778,0.7220552573379065,0.13805276986025927,99.72970110872372,either,0.7220552573379065,0.13805276986025927
JVASP-13600,ZrFeCl6,40,2,0.001129336142358106,0.001129336142358106,1.5934662168833995,0.7220552573379065,0.13114153905650658,99.72970110872372,either,0.7220552573379065,0.13114153905650658
JVASP-13600,ZrFeCl6,41,2,0.02758632125569971,0.02758632125569971,0.4925888058101876,0.22204068080384112,7.85095266145151,35.158049000037835,single,0.4925888058101876,7.85095266145151
JVASP-13600,ZrFeCl6,42,2,0.02758632125569971,0.02758632125569971,0.4889050657894357,0.22204068080384112,8.321667313004951,35.158049000037835,single,0.4889050657894357,8.321667313004951
JVASP-13600,ZrFeCl6,50,2,0.002080588145705775,0.002080588145705775,0.945055460688755,0.8711917955933329,0.2521720598530277,7.189923497551318,single,0.945055460688755,0.2521720598530277
JVASP-13600,ZrFeCl6,51,2,0.002080588145705775,0.002080588145705775,0.9388249463936498,0.8711917955933329,0.3088376414809169,7.189923497551318,single,0.9388249463936498,0.3088376414809169
JVASP-13611,PI2,0,2,3.852821648564486e-05,3.852821648564486e-05,7.7235360183209405,0.465496674220447,0.00304509473077222,55.33890654709578,either,0.465496674220447,0.00304509473077222
JVASP-13611,PI2,1,2,3.852821648564486e-05,3.852821648564486e-05,7.723456975626675,0.465496674220447,0.0030453646599057946,55.33890654709578,either,0.465496674220447,0.0030453646599057946
JVASP-13611,PI2,2,2,3.129068842966376e-05,3.129068842966376e-05,7.013349876718908,0.43218170185419935,0.0029511884773469133,21.828405684910507,either,0.43218170185419935,0.0029511884773469133
JVASP-13611,PI2,3,2,3.129068842966376e-05,3.129068842966376e-05,7.013226689578172,0.43218170185419935,0.002948693182876166,21.828405684910507,either,0.43218170185419935,0.002948693182876166
JVASP-13611,PI2,8,2,2.085386758388097e-05,2.085386758388097e-05,9.28020111441673,0.46726135229921606,0.00153573553180777,119.76549719163872,either,0.46726135229921606,0.00153573553180777
JVASP-13611,PI2,9,2,2.085386758388097e-05,2.085386758388097e-05,9.280394548719116,0.46726135229921606,0.00153559102950721,119.76549719163872,either,0.46726135229921606,0.00153559102950721
JVASP-13611,PI2,10,2,3.106464243352036e-05,3.106464243352036e-05,9.733554586489642,0.49485965774071006,0.00274587043392021,157.50424717600274,either,0.49485965774071006,0.00274587043392021
JVASP-13611,PI2,11,2,3.106464243352036e-05,3.106464243352036e-05,9.733570897557719,0.49485965774071006,0.0027462541612170255,157.50424717600274,either,0.49485965774071006,0.0027462541612170255
JVASP-13611,PI2,46,2,2.8337564923153202e-05,2.8337564923153202e-05,5.6761944653975505,0.7049562983870928,0.0028914718629934506,16.738205040167966,either,0.7049562983870928,0.0028914718629934506
JVASP-13611,PI2,47,2,2.8337564923153202e-05,2.8337564923153202e-05,5.6759284672102375,0.7049562983870928,0.00289297872492524,16.738205040167966,either,0.7049562983870928,0.00289297872492524
JVASP-13616,AsCl5,0,2,0.0037294703630070813,0.0037294703630070813,0.140750136531898,0.28127406963591206,1.1223602290522599,1047.7978914937714,either,0.140750136531898,1.1223602290522599
JVASP-13616,AsCl5,1,2,0.0037294703630070813,0.0037294703630070813,0.1409603798464417,0.28127406963591206,1.124036737086158,1047.7978914937714,either,0.1409603798464417,1.124036737086158
JVASP-13616,AsCl5,6,2,0.00015650177829229506,0.00015650177829229506,1.064027459972026,0.19562060639616935,0.02867269325673567,11.168278976636477,either,0.19562060639616935,0.02867269325673567
JVASP-13616,AsCl5,7,2,0.00015650177829229506,0.00015650177829229506,1.0635137215113863,0.19562060639616935,0.027514706020492902,11.168278976636477,either,0.19562060639616935,0.027514706020492902
JVASP-13616,AsCl5,30,2,0.0022399129224446312,0.0022399129224446312,0.2552424100990605,0.47609970094187576,0.3225564231469366,182.5397767900439,either,0.2552424100990605,0.3225564231469366
JVASP-13616,AsCl5,31,2,0.0022399129224446312,0.0022399129224446312,0.2553629235571269,0.47609970094187576,0.32179744426511947,182.5397767900439,either,0.2553629235571269,0.32179744426511947
JVASP-13616,AsCl5,36,2,0.0001015446790426644,0.0001015446790426644,1.0964121699974263,0.04060863850698275,0.03689646055070106,65.41086723587676,either,0.04060863850698275,0.03689646055070106
JVASP-13616,AsCl5,37,2,0.0001015446790426644,0.0001015446790426644,1.0965289217289966,0.04060863850698275,0.03672942286333455,65.41086723587676,either,0.04060863850698275,0.03672942286333455
JVASP-13624,Ni2SbTe2,4,2,4.599264318727592e-06,4.599264318727592e-06,4.605589213074835,0.4826299700279383,0.0006123819725268257,105.60554129792163,either,0.4826299700279383,0.0006123819725268257
JVASP-13624,Ni2SbTe2,5,2,4.599264318727592e-06,4.599264318727592e-06,4.605733956092656,0.4826299700279383,0.000616816250545158,105.60554129792163,either,0.4826299700279383,0.000616816250545158
JVASP-14458,TeO3,20,2,2.062717601702957e-05,2.062717601702957e-05,2.5863254727925735,1.5581745866360732,0.002327489837781998,14.470613393918248,either,1.5581745866360732,0.002327489837781998
JVASP-14458,TeO3,21,2,2.062717601702957e-05,2.062717601702957e-05,2.6817309744169497,1.5581745866360732,0.0024739134938205985,14.470613393918248,either,1.5581745866360732,0.0024739134938205985
JVASP-15858,Tb3AlC,18,2,0.0001447817734216983,0.0001447817734216983,0.38621243779303,0.09430516772885812,0.11955739171288764,273.9073221744128,either,0.09430516772885812,0.11955739171288764
JVASP-15858,Tb3AlC,19,2,0.0001447817734216983,0.0001447817734216983,0.38715850450776507,0.09430516772885812,0.11985025972471672,273.9073221744128,either,0.09430516772885812,0.11985025972471672
JVASP-16001,K2RhF6,70,2,0.16792939945515428,0.16792939945515428,0.06462087362374919,0.12780988050959335,23.202556764963994,1307.6746916002319,single,0.06462087362374919,23.202556764963994
JVASP-16001,K2RhF6,71,2,0.16792939945515428,0.16792939945515428,0.06321367008946044,0.12780988050959335,22.697290926648353,1307.6746916002319,single,0.06321367008946044,22.697290926648353
JVASP-16008,TaSnO3,36,2,0.1273640591897447,0.1273640591897447,0.022061505229135834,0.03958015861552584,6.0078394224764375,158.89469236277682,single,0.022061505229135834,6.0078394224764375
JVASP-16008,TaSnO3,37,2,0.1273640591897447,0.1273640591897447,0.01764652142449154,0.03958015861552584,4.805540962981161,158.89469236277682,single,0.01764652142449154,4.805540962981161
JVASP-16408,LiIrF6,40,2,0.002169217897008479,0.002169217897008479,0.9678707166751297,0.9306607128941791,0.18774614455692165,24.894964886124356,single,0.9678707166751297,0.18774614455692165
JVASP-16408,LiIrF6,41,2,0.002169217897008479,0.002169217897008479,0.9583123333213805,0.9306607128941791,0.2062150272034846,24.894964886124356,single,0.9583123333213805,0.2062150272034846
JVASP-16859,ZnCu2GeTe4,0,2,0.0016271688676798846,0.0016271688676798846,0.4456877272717773,0.6588299693373572,0.10956291329640432,6.469354683077321,single,0.4456877272717773,0.10956291329640432
JVASP-16859,ZnCu2GeTe4,1,2,0.0016271688676798846,0.0016271688676798846,0.4457556223463381,0.6588299693373572,0.110496257672965,6.469354683077321,single,0.4457556223463381,0.110496257672965
JVASP-16859,ZnCu2GeTe4,8,2,0.0011289473145335016,0.0011289473145335016,0.6156777646999348,0.5004293694089343,0.08108361557682288,45.126188286194534,either,0.5004293694089343,0.08108361557682288
JVASP-16859,ZnCu2GeTe4,9,2,0.0011289473145335016,0.0011289473145335016,0.6134618860584414,0.5004293694089343,0.08381668319146492,45.126188286194534,either,0.5004293694089343,0.08381668319146492
JVASP-17265,BaIrF6,40,2,0.24488878325610475,0.45474947044851,0.3781327437211506,0.7059178462610053,28.202748426428375,16.447970226079146,single,0.3781327437211506,28.202748426428375
JVASP-17265,BaIrF6,41,2,0.45474947044851,0.45474947044851,0.32815595684435017,0.7059178462610053,59.81682670536396,16.447970226079146,single,0.32815595684435017,59.81682670536396
JVASP-17430,ZnCu2SnSe4,8,2,0.0022104233402497897,0.0022104233402497897,0.6415398671289398,0.612635368900695,0.14572231948140082,25.713107729966957,either,0.612635368900695,0.14572231948140082
JVASP-17430,ZnCu2SnSe4,9,2,0.0022104233402497897,0.0022104233402497897,0.6539732329586485,0.612635368900695,0.15779253062840828,25.713107729966957,either,0.612635368900695,0.15779253062840828
JVASP-17890,Tb3PbC,20,2,0.0019026961852093294,0.0019026961852093294,0.12229183675500271,0.04961807797134841,0.4975115863159037,33.89537235424873,either,0.04961807797134841,0.4975115863159037
JVASP-17890,Tb3PbC,21,2,0.0019026961852093294,0.0019026961852093294,0.12025633837825578,0.04961807797134841,0.4892307063060008,33.89537235424873,either,0.04961807797134841,0.4892307063060008
JVASP-18176,Rb2RhF6,70,2,0.1664217651193809,0.1664217651193809,0.0720429095150558,0.1422543084231524,25.635255585327666,1324.6569216368973,single,0.0720429095150558,25.635255585327666
JVASP-18176,Rb2RhF6,71,2,0.1664217651193809,0.1664217651193809,0.07023812623290397,0.1422543084231524,24.99305386102862,1324.6569216368973,single,0.07023812623290397,24.99305386102862
JVASP-18522,Ba3PbO,0,2,9.539408391301407e-05,9.539408391301407e-05,2.556001912968965,0.10880737631825871,0.06210048643850094,700.3260553280819,either,0.10880737631825871,0.06210048643850094
JVASP-18522,Ba3PbO,1,2,9.539408391301407e-05,9.539408391301407e-05,2.5559423514531936,0.10880737631825871,0.06219370605062699,700.3260553280819,either,0.10880737631825871,0.06219370605062699
JVASP-19540,CNCl,0,2,2.7094022019724662e-05,2.7094022019724662e-05,0.8661168873081072,0.028334781958629034,0.009089667282220125,177.1053977119842,either,0.028334781958629034,0.009089667282220125
JVASP-19540,CNCl,1,2,2.7094022019724662e-05,2.7094022019724662e-05,0.8661166104740494,0.028334781958629034,0.009080741963001016,177.1053977119842,either,0.028334781958629034,0.009080741963001016
JVASP-19557,PtS2Cl6,0,2,9.55766525159163e-05,9.55766525159163e-05,0.1766844745680636,0.10675936218070976,0.0105487653350782,26.072697704982225,either,0.10675936218070976,0.0105487653350782
JVASP-19557,PtS2Cl6,1,2,9.55766525159163e-05,9.55766525159163e-05,0.17674478638022095,0.10675936218070976,0.010545859705369556,26.072697704982225,either,0.10675936218070976,0.010545859705369556
JVASP-19557,PtS2Cl6,44,2,3.985864791111737e-06,3.985864791111737e-06,1.6987741728975698,0.7758267428171106,0.00029196673971207914,5.2686936058490526,either,0.7758267428171106,0.00029196673971207914
JVASP-19557,PtS2Cl6,45,2,3.985864791111737e-06,3.985864791111737e-06,1.6986269909874223,0.7758267428171106,0.00029188909004341775,5.2686936058490526,either,0.7758267428171106,0.00029188909004341775
JVASP-19557,PtS2Cl6,46,2,1.441483471253946e-06,1.441483471253946e-06,1.0566134029694325,0.43387235199675667,0.00011157696718309791,23.496192305841074,either,0.43387235199675667,0.00011157696718309791
