icsd,site_label,element,shell,site_sym_order,max_rot_order,orbit_conv,orbit_prim,d_doublets,p_doublets,doublet_kinds,n_phi,verdict,d_multiplets,lone_pair,jt_ions,chem_flag
65738,Al1,Al,-,8,2,4,2,xz+yz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(xz+yz) 1(xy) 1(x2-y2) 1(z2),,,0
65738,K1,K,-,4,2,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),,,0
65738,O1,O,-,2,1,16,8,,,,,FAIL,1(yz) 1(yz) 1(xy) 1(x2-y2) 1(z2),,,0
65738,O2,O,-,2,1,16,8,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),,,0
65738,O3,O,-,4,2,8,4,,,,,FAIL,1(yz) 1(yz) 1(xy) 1(x2-y2) 1(z2),,,0
65738,F1,F,-,16,4,2,1,yz+xz,x+y,"p{x,y}|{xz,yz}",2.0,PASS,2(yz+xz) 1(xy) 1(x2-y2) 1(z2),,,0
65780,W1,W,5d,2,1,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
65780,W2,W,5d,2,1,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
65780,Na1,Na,-,2,1,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
65780,Na2,Na,-,2,1,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
65780,O1,O,-,2,1,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
65780,O2,O,-,2,1,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
65780,O3,O,-,2,1,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
65780,O4,O,-,2,1,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
65780,O5,O,-,2,1,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
65780,O6,O,-,2,1,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
65780,O7,O,-,2,1,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
65783,S1,S,-,2,1,4,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),,,0
65783,C1,C,-,2,1,4,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),,,0
65783,N1,N,-,1,1,8,8,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
65783,H1,H,-,1,1,8,8,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
65783,H2,H,-,1,1,8,8,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
65785,V1,V,3d,2,1,2,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
65785,F1,F,-,1,1,4,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
65785,F2,F,-,1,1,4,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
65838,P1,P,-,4,2,12,6,xz+xy,y+z,"other:y+z|{xy,xz}",12.0,dilute,2(xz+xy) 1(x2-y2) 1(yz) 1(z2),,,0
65838,N1,N,-,2,1,24,12,,,,,FAIL,1(yz) 1(yz) 1(xy) 1(x2-y2) 1(z2),,,0
65838,Mg1,Mg,-,6,3,8,4,xy+yz|z2+x2-y2,x+z,"e_g{z2,x2-y2}|other:x+z|{xy,yz}",8.0,dilute,2(xy+yz) 1(yz) 2(z2+x2-y2),,,0
65838,S1,S,-,24,3,2,1,x2-y2+z2,,"e_g{z2,x2-y2}",2.0,PASS,3(xz+yz+xy) 2(x2-y2+z2),,,0
65947,Cs1,Cs,-,2,1,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
65947,B1,B,-,1,1,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
65947,B2,B,-,2,1,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
65947,H1,H,-,1,1,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
65947,H2,H,-,1,1,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
65947,H3,H,-,2,1,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
65947,H4,H,-,2,1,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
65947,H5,H,-,1,1,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66000,Cr1,Cr,3d,6,3,6,2,yz+xz|xy+x2-y2,y+x,"p{x,y}|{xy,x2-y2}|{xz,yz}",4.0,dilute,2(yz+xz) 2(xy+x2-y2) 1(z2),,,0
66000,Cl1,Cl,-,2,2,18,6,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
66000,O1,O,-,1,1,36,12,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66000,H1,H,-,1,1,36,12,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66000,H2,H,-,1,1,36,12,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66013,Pt1,Pt,5d,2,1,1,1,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66013,S1,S,-,1,1,2,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66013,Cl1,Cl,-,1,1,2,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66013,Cl2,Cl,-,1,1,2,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66013,Cl3,Cl,-,1,1,2,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66028,K1,K,-,2,2,18,6,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),,,0
66028,C1,C,-,6,3,6,2,xz+yz|xy+x2-y2,x+y,"p{x,y}|{xy,x2-y2}|{xz,yz}",4.0,dilute,2(xz+yz) 2(xy+x2-y2) 1(z2),,,0
66028,O1,O,-,2,2,18,6,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),,,0
66028,F1,F,-,6,3,6,2,yz+xz|x2-y2+xy,x+y,"p{x,y}|{xy,x2-y2}|{xz,yz}",4.0,dilute,2(yz+xz) 2(x2-y2+xy) 1(z2),,,0
66029,Rb1,Rb,-,2,2,18,6,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),,,0
66029,C1,C,-,6,3,6,2,xz+yz|x2-y2+xy,x+y,"p{x,y}|{xy,x2-y2}|{xz,yz}",4.0,dilute,2(xz+yz) 2(x2-y2+xy) 1(z2),,,0
66029,O1,O,-,2,2,18,6,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),,,0
66029,F1,F,-,6,3,6,2,yz+xz|xy+x2-y2,x+y,"p{x,y}|{xy,x2-y2}|{xz,yz}",4.0,dilute,2(yz+xz) 2(xy+x2-y2) 1(z2),,,0
66079,K1,K,-,4,2,8,2,xz+yz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(xz+yz) 1(xy) 1(x2-y2) 1(z2),,,0
66079,P1,P,-,4,2,8,2,xz+yz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(xz+yz) 1(xy) 1(x2-y2) 1(z2),,,0
66079,O1,O,-,1,1,32,8,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66079,H1,H,-,2,2,16,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(x2-y2) 1(z2),,,0
66098,Cr1,Cr,3d,3,3,2,2,xz+yz|x2-y2+xy,x+y,"p{x,y}|{xy,x2-y2}|{xz,yz}",4.0,dilute,2(xz+yz) 2(x2-y2+xy) 1(z2),,,0
66098,N1,N,-,1,1,6,6,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66098,N2,N,-,3,3,2,2,xz+yz|x2-y2+xy,x+y,"p{x,y}|{xy,x2-y2}|{xz,yz}",4.0,dilute,2(xz+yz) 2(x2-y2+xy) 1(z2),,,0
66098,O1,O,-,6,3,1,1,yz+xz|xy+x2-y2,y+x,"p{x,y}|{xy,x2-y2}|{xz,yz}",2.0,PASS,2(yz+xz) 2(xy+x2-y2) 1(z2),,,0
