icsd,material_id,formula,space_group_number,curated,best,atomic,pass_sites,shells,doublet_kinds,chem_flag,lone_pair,jt_ions,jid,match,jarvis_formula,jarvis_spg,dimensionality,num_wann,hr_bytes,has_wout
95779,95779,F6 Ir1 K2,164,0,0,1,Ir1,5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,,JVASP-16409,icsd,K2IrF6,164,3D,72,24624543,True
102052,102052,Cd1 Pt1,123,1,0,0,Cd1|Pt1,4d|5d,"p{x,y}|{xz,yz}",0,,,JVASP-19619,icsd,CdPt,123,3D,48,50805496,True
102053,102052,Cd1 Pt1,123,1,0,0,Cd1|Pt1,4d|5d,"p{x,y}|{xz,yz}",0,,,JVASP-19619,icsd,CdPt,123,3D,48,50805496,True
103092,103092,Cu1 Rh2 Sn1,225,1,0,0,Cu1|Sn1,-|3d,"e_g{z2,x2-y2}",1,Sn,,JVASP-18688,icsd,CuSnRh2,225,3D,44,22555642,True
103473,103473,Fe2 Ga1 V1,225,1,1,0,Ga1|V1,-|3d,"e_g{z2,x2-y2}",0,,,JVASP-18133,icsd,VGaFe2,225,3D,44,22362032,True
103474,103473,Fe2 Ga1 V1,225,1,1,0,Ga1|V1,-|3d,"e_g{z2,x2-y2}",0,,,JVASP-18133,icsd,VGaFe2,225,3D,44,22362032,True
103856,103856,Ga1 Ni3,221,1,1,0,Ga1,-,"e_g{z2,x2-y2}",0,,,JVASP-19846,icsd,GaNi3,221,3D,44,33204199,True
103857,103856,Ga1 Ni3,221,1,1,0,Ga1,-,"e_g{z2,x2-y2}",0,,,JVASP-19846,icsd,GaNi3,221,3D,44,33204199,True
104332,104332,Hg1 Ni1,123,1,0,0,Hg1|Ni1,3d|5d,"p{x,y}|{xz,yz}",0,,,JVASP-7636,composition+spg,NiHg,123,3D,60,79382296,True
104337,104337,Hg1 Pt1,123,1,0,0,Hg1|Pt1,5d,"p{x,y}|{xz,yz}",0,,,JVASP-18913,icsd,HgPt,123,3D,60,79382296,True
104770,104770,Li1 Pd1,187,1,0,0,Li1|Pd1,-|4d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,,JVASP-15040,icsd,LiPd,187,3D,14,5696805,True
104771,104770,Li1 Pd1,187,1,0,0,Li1|Pd1,-|4d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,,JVASP-15040,icsd,LiPd,187,3D,14,5696805,True
105353,105353,Ni3 Sn1,221,1,1,0,Sn1,-,"e_g{z2,x2-y2}",1,Sn,,JVASP-16591,icsd,Ni3Sn,221,3D,44,33204199,True
105689,105689,Pd3 Sn1,221,1,1,0,Sn1,-,"e_g{z2,x2-y2}",1,Sn,,JVASP-18948,icsd,SnPd3,221,3D,44,33204199,True
105690,105689,Pd3 Sn1,221,1,1,0,Sn1,-,"e_g{z2,x2-y2}",1,Sn,,JVASP-18948,icsd,SnPd3,221,3D,44,33204199,True
105707,105707,Pd5 Sr1,191,1,1,0,Sr1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,,JVASP-19645,icsd,SrPd5,191,3D,72,74391916,True
105819,105819,Pt1 Tl1,191,1,0,0,Pt1,5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Tl,,JVASP-13733,icsd,TlPt,191,3D,60,23940735,True
105996,105995,Ru1 Ta1,123,1,0,0,Ru1|Ta1,4d|5d,"p{x,y}|{xz,yz}",0,,,JVASP-7736,icsd,TaRu,221,3D,24,20998955,True
107089,107089,In1 Ir1 Li2,216,1,0,0,Li1|Li2|Ir1|In1,-|5d,"e_g{z2,x2-y2}",0,,,JVASP-18860,icsd,Li2InIr,216,3D,24,6769252,True
108128,108128,C1 Ca1 Pd3,221,1,0,0,C1|Ca1,-,"e_g{z2,x2-y2}",0,,,JVASP-16776,icsd,CaPd3C,221,3D,56,53784199,True
108294,108294,Co1 Hf1 Sb1,216,1,0,0,Co1|Hf1|Sb1,-|3d|5d,"e_g{z2,x2-y2}",1,Sb,,JVASP-54893,icsd,HfCoSb,216,3D,32,27189952,True
153406,153406,O3 Pb1 Ti1,221,1,0,0,Pb1|Ti1,-|3d,"e_g{z2,x2-y2}",1,Pb,,JVASP-4957,icsd,TiPbO3,221,3D,38,24766399,True
161709,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,,JVASP-6244,composition+spg,TiPbO3,99,2D,38,8736875,True
162043,153406,O3 Pb1 Ti1,221,1,0,0,Pb1|Ti1,-|3d,"e_g{z2,x2-y2}",1,Pb,,JVASP-4957,icsd,TiPbO3,221,3D,38,24766399,True
