jid,formula,band,norb,dim,M_naive,M_min,ratio,centres,status
JVASP-12648,MnSnB2O6,37,72,3,0.3195509112781975,0.36350926789363835,1.1375629205362245,minus,OK
JVASP-12648,MnSnB2O6,38,72,3,0.3336258511127329,0.32330721334009876,0.9690712283289239,minus,OK
JVASP-12648,MnSnB2O6,39,72,3,0.5838917068508473,0.5742928088702413,0.983560482418261,minus,OK
JVASP-12648,MnSnB2O6,40,72,3,0.5612144474573116,0.5401870772950829,0.9625323790976921,minus,OK
JVASP-13546,VBr2,19,28,2,1.6186529716840772,1.56084014559045,0.9642833719735011,minus,OK
JVASP-13546,VBr2,20,28,2,1.5963943939844558,1.5347924938296469,0.9614118538708619,minus,OK
JVASP-13576,FeBr2,24,28,2,1.7503167724279605,1.6914108423803524,0.9663455604291008,minus,OK
JVASP-13576,FeBr2,25,28,2,1.7054074455316033,1.64018800059433,0.9617572650405878,minus,OK
JVASP-13600,ZrFeCl6,0,60,2,0.5027700174311215,0.23723004091086292,0.4718460383198228,minus,OK
JVASP-13600,ZrFeCl6,1,60,2,0.515769719936971,0.26898330260146064,0.5215182128844854,minus,OK
JVASP-13600,ZrFeCl6,39,60,2,1.6275348670941778,1.412230278735651,0.867711228366533,minus,OK
JVASP-13600,ZrFeCl6,40,60,2,1.5934662168833995,1.3833240292404567,0.8681225962518666,minus,OK
JVASP-13600,ZrFeCl6,41,60,2,0.4925888058101876,0.417927199800881,0.8484301609605062,minus,OK
JVASP-13600,ZrFeCl6,42,60,2,0.4889050657894357,0.43030918960253345,0.8801487644798947,minus,OK
JVASP-13600,ZrFeCl6,50,60,2,0.945055460688755,0.7850649641139656,0.8307078227364683,minus,OK
JVASP-13600,ZrFeCl6,51,60,2,0.9388249463936498,0.7911511097586702,0.8427035442525833,minus,OK
JVASP-13611,PI2,0,48,2,7.7235360183209405,7.627597156768267,0.9875783758468794,minus,OK
JVASP-13611,PI2,1,48,2,7.723456975626675,7.627495472778534,0.9875753172250494,minus,OK
JVASP-13611,PI2,2,48,2,7.013349876718908,6.932850134502633,0.9885219269491321,minus,OK
JVASP-13611,PI2,3,48,2,7.013226689578172,6.932672970669895,0.9885140289236648,minus,OK
JVASP-13611,PI2,8,48,2,9.28020111441673,9.21301351764994,0.9927601141464042,minus,OK
JVASP-13611,PI2,9,48,2,9.280394548719116,9.213147921315615,0.9927539042601607,minus,OK
JVASP-13611,PI2,10,48,2,9.733554586489642,9.64536901121366,0.9909400441028619,minus,OK
JVASP-13611,PI2,11,48,2,9.733570897557719,9.645448997919333,0.9909466011430094,minus,OK
JVASP-13611,PI2,46,48,2,5.6761944653975505,5.523240870088641,0.9730534962744274,minus,OK
JVASP-13611,PI2,47,48,2,5.6759284672102375,5.523180891829837,0.9730885305791253,minus,OK
JVASP-13616,AsCl5,0,38,2,0.140750136531898,0.02900357088228809,0.20606424687705402,minus,OK
JVASP-13616,AsCl5,1,38,2,0.1409603798464417,0.029130630828814348,0.20665828838251177,minus,OK
JVASP-13616,AsCl5,6,38,2,1.064027459972026,0.9957751542538061,0.9358547516057393,minus,OK
JVASP-13616,AsCl5,7,38,2,1.0635137215113863,0.9917225863627009,0.9324962774841671,minus,OK
JVASP-13616,AsCl5,30,38,2,0.2552424100990605,0.07190176324787975,0.28169990723710225,minus,OK
JVASP-13616,AsCl5,31,38,2,0.2553629235571269,0.07204343034766883,0.28212173225512155,minus,OK
JVASP-13616,AsCl5,36,38,2,1.0964121699974263,1.0801371078846584,0.9851560730917406,minus,OK
JVASP-13616,AsCl5,37,38,2,1.0965289217289966,1.0800729092222583,0.9849926324963771,minus,OK
JVASP-13624,Ni2SbTe2,4,48,2,4.605589213074835,4.600657162608434,0.9989291162893122,minus,OK
JVASP-13624,Ni2SbTe2,5,48,2,4.605733956092656,4.600795498514955,0.9989277588274139,minus,OK
JVASP-14458,TeO3,20,26,2,2.586325472792565,2.57661010493263,0.9962435633248259,minus,OK
JVASP-14458,TeO3,21,26,2,2.681730974416939,2.6769270224255015,0.9982086376160524,minus,OK
JVASP-15858,Tb3AlC,18,64,3,0.38621243779302616,0.36469214973362235,0.9442786250427888,minus,OK
JVASP-15858,Tb3AlC,19,64,3,0.38715850450776124,0.364522626456807,0.9415333053842281,minus,OK
JVASP-16001,K2RhF6,70,72,3,0.06462087362374919,0.015531032427131792,0.24034079943827769,minus,OK
JVASP-16001,K2RhF6,71,72,3,0.06321367008946044,0.01509239550049485,0.238752084464262,minus,OK
JVASP-16008,TaSnO3,36,38,3,0.022061505229135834,0.01470044233680454,0.6663390455058432,minus,OK
JVASP-16008,TaSnO3,37,38,3,0.01764652142449154,0.011577994209147686,0.6561063186696179,minus,OK
JVASP-16408,LiIrF6,40,50,3,0.9678707166751297,0.6205186213652375,0.6411172594381915,minus,OK
JVASP-16408,LiIrF6,41,50,3,0.9583123333213805,0.6072375639779221,0.633653082469803,minus,OK
JVASP-16859,ZnCu2GeTe4,0,82,3,0.4456877272717773,0.3822513901408687,0.8576664035170402,minus,OK
JVASP-16859,ZnCu2GeTe4,1,82,3,0.4457556223463381,0.38292981318300257,0.8590577302589313,minus,OK
JVASP-16859,ZnCu2GeTe4,8,82,3,0.6156777646999348,0.5580833456090833,0.9064536314399441,minus,OK
JVASP-16859,ZnCu2GeTe4,9,82,3,0.6134618860584414,0.5632937037379098,0.9182211911438091,minus,OK
JVASP-17265,BaIrF6,40,60,3,0.3781327437211506,0.06910594192455281,0.1827557731300682,minus,OK
JVASP-17265,BaIrF6,41,60,3,0.32815595684435017,0.05185882325901596,0.15803102816632233,minus,OK
JVASP-17430,ZnCu2SnSe4,8,82,3,0.6415398671289398,0.5573043288560918,0.8686978898913573,minus,OK
JVASP-17430,ZnCu2SnSe4,9,82,3,0.6539732329586485,0.5891302878070643,0.9008477076986356,minus,OK
