jid,formula,spg_number,spg_symbol,dimensionality,icsd,mp_id,num_wann,num_bands,optb88vdw_bandgap,zip,zip_bytes,n_files_in_zip,has_hr_dat,hr_dat_name,hr_dat_bytes,has_win,has_wout,has_eig,has_poscar,figshare_article,error,metadata_source
JVASP-18133,VGaFe2,225,Fm-3m,3D,"103473,103474,631850",mp-21883,44,68,0.0,JVASP-18133.zip,4623265,12,True,wannier90_hr.dat,22362032,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18138,NbSiAs,129,P4/nmm,3D,16320,mp-21907,56,84,0.0,JVASP-18138.zip,10662930,12,True,wannier90_hr.dat,63506113,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18149,Nb3Pb,223,Pm-3n,3D,"645180,105188,105189",mp-22068,88,104,0.0,JVASP-18149.zip,22059239,12,True,wannier90_hr.dat,132811399,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18163,In2Au,225,Fm-3m,3D,"612033,612012,612023,58489,58490,612029",mp-22154,28,44,0.0,JVASP-18163.zip,4072933,12,True,wannier90_hr.dat,20896362,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18176,Rb2RhF6,164,P-3m1,3D,28780,mp-22214,72,110,0.0,JVASP-18176.zip,4097257,12,True,wannier90_hr.dat,24624543,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18208,TbInAg2,225,Fm-3m,3D,"56987,58301",mp-22382,48,86,0.0,JVASP-18208.zip,5481508,12,True,wannier90_hr.dat,27073252,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18228,YInAu2,225,Fm-3m,3D,"612080,58514,612079",mp-22493,44,62,0.0,JVASP-18228.zip,4543031,12,True,wannier90_hr.dat,22362032,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18234,Dy3TlC,221,Pm-3m,3D,76815,mp-22513,64,77,0.0,JVASP-18234.zip,14585388,12,True,wannier90_hr.dat,70248199,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18251,Ni3Pb2S2,166,R-3m,3D,"417632,24176,654946,108895,159359",mp-22596,64,126,0.0,JVASP-18251.zip,5235563,12,True,wannier90_hr.dat,25600695,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18252,CaIn2Au,63,Cmcm,3D,408882,mp-22602,80,104,0.0,JVASP-18252.zip,10767593,12,True,wannier90_hr.dat,62401049,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
