num,formula,space_group_symbol,space_group_number,topology_at_Ef,is_top_candidate,best_figure,best_figure_number,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels
68,PbCu2(TeO3)2Cl2,P21,4,Triv.,no,,,b,FM,,HQ,1,189155,
69,SrCu2(TeO3)2Cl2,P21,4,Triv.,no,,,b,FM,,HQ,1,416653,
70,Cu(IO3)2,P21,4,SM,no,,,"b,s",FM,,HQ,1,4327,
71,LiIn(P2O7),P21,4,Triv.,no,,,b,NM,,HQ,1,60935,
72,LiSc(P2O7),P21,4,Triv.,no,,,b,NM,,HQ,1,91496,
73,Na(BSi2O5)(OH)2,P21,4,Triv.,no,,,,NM,,HQ,1,12134,
74,Te2O5,P21,4,Triv.,no,,,"b,s",NM,,,2,2523 191342,
75,NbOI2,C2,5,Triv.,yes,Fig. 26,26,"b,s",NM,,HQ,1,36255,
76,NbOBr2,C2,5,Triv.,yes,Fig. 26,26,"b,s",NM,,HQ,1,416669,
77,Pb3(VO4)2,C2,5,Triv.,no,,,,NM,,HQ,4,67604 67605 29359 69800,67604(b) 67605(b) 69800(b)
78,Sr4Zn3F14,Cm,8,Triv.,no,,,"k∗,b",,,HQ,1,72991,
79,Ca2CoO3,Cm,8,SM,no,,,,FM,,HQ,1,95439,
80,SbTaON2,Cm,8,Triv.,no,,,"b,s",,,,1,674163,
81,SbNbN2O,Cm,8,Triv.,no,,,"b,s",,,,1,674153,
82,TeGeN2O,Cm,8,Triv.,no,,,"b,s",,,,1,674160,
83,Cd2O(OH)2(H2O),Cm,8,Triv.,no,,,,NM,,HQ,2,40185 40186,
84,Na4(CO4),Cm,8,Triv.,no,,,,NM,,,3,245410 245413 245414,245410(b)
85,K4(CO4),Cm,8,Triv.,no,,,,NM,,,3,245424 245426 245421,
86,SiO2,Cc,9,Triv.,no,,,"b,s",NM,,,3,75662 81381 413210,
87,Ba2WO3F4,Cc,9,Triv.,no,,,,NM,,HQ,3,201653 33271 673319,
88,KSbB2O6,Cc,9,Triv.,no,,,b,NM,,HQ,1,238073,
89,Cs2CuP2O7,Cc,9,SM,no,,,b,FM,,,1,430123,
90,LiVO3,Cc,9,Triv.,no,,,,,,HQ,1,23477,
91,TiZrSe4,P2/m,10,TI,no,,,b,NM,,,1,104188,
92,CrAuTe4,P2/m,10,SM,yes,Fig. 27,27,,FM,,HQ,1,150279,
93,Cu(IO3)2,P21/m,11,SM,no,,,b,FM,,HQ,1,2232,
94,Ca3VN3,P21/m,11,Triv.,no,,,b,NM,,,1,41060,
95,CuWO3F2,P21/m,11,SM,no,,,"b,s",FM,,HQ,1,60759,
96,K(VO)H(SeO3)2,P21/m,11,SM,no,,,b,FM,,HQ,1,82535,
97,(NH4)(H(VO)(SeO3)2),P21/m,11,SM,no,,,,FM,,,1,97400,
98,PbPdSi(P2O7)2,P21/m,11,Triv.,no,,,"b,s",NM,,,2,195306 420535,
99,Na3Ni(PO4)(CO3),P21/m,11,Triv.,no,,,b,AFM,,HQ,1,237798,
100,K3(Ru(P2Se6)(P3Se4)),P21/m,11,Triv.,no,,,,NM,,,1,406200,
101,(NO)Cu(NO3)3,P21/m,11,SM,no,,,,,,HQ,1,422033,
102,Cu3GeP2O10,P21/m,11,SM,no,,,b,FM,,,1,426627,
103,As4S5,P21/m,11,Triv.,no,,,,NM,,HQ,2,16107 98901,
104,Ba2(Zn2F7Cl),P21/m,11,Triv.,no,,,"b,s",NM,,HQ,1,79478,
105,Ba2(Co2F7Cl),P21/m,11,Triv.,yes,Fig. 27,27,"b,s",FM,,HQ,1,79479,
106,Ba2Ni2F7Cl,P21/m,11,Triv.,yes,Fig. 27,27,"b,s",FM,,HQ,1,84782,
107,CuZnCl(OH)3,P21/m,11,SM,no,,,b,FM,,,1,252429,
108,Cu2Sc2(Ge4O13),P21/m,11,Triv.,no,,,b,FM,,,5,99599 99600 99601 99602 99603,
109,Y3(VO5)(OH)3,P21/m,11,SM,no,,,,FM,,HQ,1,262400,
110,La3(VO5)(OH)3,P21/m,11,SM,no,,,,AFM,,HQ,1,262402,
111,Na3In(PO4)2,P21/m,11,Triv.,no,,,b,NM,,HQ,2,87833 90941,
112,PbSO4(PbO)2,P21/m,11,Triv.,no,,,,NM,,,5,61427 61428 30711 63639 100681,61427(b) 61428(b) 63639(b) 100681(b)
113,TlCu(OH)SO4,P21/m,11,SM,no,,,b,FM,,HQ,1,36581,
114,La3Os2O10,C2/m,12,SM,no,,,,FM,,HQ,1,10104,
115,MoV2O8,C2/m,12,TI,yes,Fig. 27,27,b,NM,,,1,28471,
116,LiH2PO2,C2/m,12,Triv.,no,,,,NM,,HQ,2,59823 250176,
117,Sr7Re4O19,C2/m,12,Triv.,no,,,"b,s",FM,,HQ,1,93804,
118,(Sr2CoO3),C2/m,12,SM,yes,Fig. 27,27,,FM,,,1,99894,
119,Cr3O8,C2/m,12,TI,yes,Fig. 27,27,b,FM,,,1,155847,
