num,formula,space_group_symbol,space_group_number,topology_at_Ef,is_top_candidate,best_figure,best_figure_number,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels
282,Rb(VOF3),Pbam,55,TI,no,,,"b,s",FM,,HQ,2,249403 426620,
283,YCrB4,Pbam,55,Triv.,no,,,,NM,,,1,16171,
284,YVB4,Pbam,55,TI,no,,,,NM,,,1,615679,
285,Na2(MnCl4),Pbam,55,SM,no,,,b,FM,,HQ,1,9136,
286,Sc2CrB6,Pbam,55,TI,no,,,,FM,,,1,99646,
287,Sc4Cl6B,Pbam,55,SM,no,,,b,NM,,HQ,1,201977,
288,Sc4Cl6N,Pbam,55,SM,no,,,b,NM,,HQ,1,201979,
289,Bi3NF6,Pbcm,57,Triv.,no,,,b,NM,,,1,79395,
290,Fe2C,Pbcm,57,TI,no,,,b,,,,1,670573,
291,Ca2(AsO4)Cl,Pbcm,57,Triv.,no,,,b,NM,,,1,26234,
292,ScFe2Si2,Pbcm,57,SM,no,,,,FM,,HQ,2,402545 633456,
293,(NH4)(VO3),Pbcm,57,Triv.,no,,,,NM,,,1,1487,
294,NaO2,Pnnm,58,SM,no,,,,FM,,,6,26583 87179 87180 87181 180562 673259,
295,Li4Ca(BO3)2,Pnnm,58,Triv.,no,,,,NM,,HQ,2,99503 239000,
296,MnB4,Pnnm,58,SM,no,,,b,FM,,HQ,1,194807,
297,FeB4,Pnnm,58,Triv.,no,,,,NM,,,3,196424 425311 670854,
298,Ba2CoCl2(SeO3)2,Pnnm,58,SM,no,,,b,AFM,,HQ,1,280965,
299,Al2(SiO4)O,Pnnm,58,Triv.,no,,,,NM,,,9,92635 100395 100396 100397 100398 100399 169412 172725 172726,92635(b) 100395(b) 100396(b) 100397(b) 100398(b) 100399(b) 169412(b) 172725(b) 172726(b)
300,CuZn(AsO4)(OH),Pnnm,58,Triv.,no,,,b,FM,,,7,172727 172728 172729 172730 172731 172732 160894,172727(b) 172728(b) 172729(b) 172730(b) 172731(b) 172732(b)
301,CrO2,Pnnm,58,Triv.,no,,,b,FM,,,0,,
302,FeSe2,Pnnm,58,Triv.,no,,,,NM,,,18,155832 185886 290478 290479 290480 25680 42041 42115 44751 633469 633479 26756 42415 42416 109374 633255 633275 633304,
303,FeS2,Pnnm,58,Triv.,no,,,,NM,,,0,,
304,CoAs2,Pnnm,58,SM,no,,,,NM,SC,,1,610034,
305,MnS2,Pnnm,58,SM,yes,Fig. 29,29,,FM,,,1,643441,
306,Fe(NCNH)2,Pnnm,58,Triv.,no,,,,NM,,HQ,2,419222 422725,
307,CaBi(CO3)OF,Pmmn,59,Triv.,no,,,,NM,,HQ,1,87759,
308,Na2(TiO)(GeO4),Pmmn,59,Triv.,no,,,"b,s",NM,,HQ,1,160149,
309,CoCu2O3,Pmmn,59,SM,yes,Fig. 29,29,,FM,,HQ,1,33996,
310,Na(V2O5),Pmmn,59,SM,no,,,b,FM,,HQ,12,59345 88354 88861 88863 88862 88864 89411 89412 89413 92954 409210 251182,59345(s) 88354(s) 88863(s) 89411(s) 92954(s) 409210(s)
311,LiV2O5,Pmmn,59,SM,no,,,"b,s",,,HQ,1,88639,
312,CsMgH3,Pmmn,59,Triv.,no,,,b,NM,,,1,159177,
313,CrOCl,Pmmn,59,SM,no,,,b,FM,,HQ,2,4086 28318,
314,FeOCl,Pmmn,59,SM,no,,,b,AFM,,HQ,4,16013 27136 40963 167393,
315,RuCl3,Pmmn,59,Triv.,no,,,,FM,,HQ,1,414041,
316,Sr(V3O7),Pmmn,59,SM,no,,,b,AFM,,HQ,12,241176 241177 241178 241179 241180 241181 241182 241183 241184 241185 241186 241187,
317,FeNb2O6,Pbcn,60,Triv.,no,,,b,FM,,,3,15855 31943 151720,
318,Fe(Nb2O6),Pbcn,60,TI,no,,,b,FM,,,1,24216,
319,CuNb2O6,Pbcn,60,SM,no,,,b,FM,,,4,71606 74424 79455 80316,80316(s)
320,CoNb2O6,Pbcn,60,SM,no,,,b,FM,,,2,182710 182711,
321,Na2(Si2O5),Pbcn,60,Triv.,no,,,"b,s",NM,,,1,34669,
322,O(CN)2,Pbca,61,Triv.,no,,,,,,,1,670397,
323,Te(CN)2,Pbca,61,Triv.,no,,,,,,,1,670400,
324,Cu(SeO3),Pbca,61,Triv.,no,,,b,NM,,,2,29506 61342,
325,WO3,Pnma,62,Triv.,no,,,"b,s",NM,,,1,836,
326,Mg3(SiO4)F2,Pnma,62,Triv.,no,,,b,NM,,,2,15203 252073,
327,K2ClO3N,Pnma,62,Triv.,no,,,,NM,,HQ,1,28211,
328,Li(CN),Pnma,62,Triv.,no,,,,NM,,,1,77321,
329,AgHg2O2(NO3),Pnma,62,Triv.,no,,,,NM,,,1,89685,
330,K2Pd(P2S6),Pnma,62,Triv.,no,,,,NM,,,1,165316,
331,PbPd(P2O7),Pnma,62,Triv.,no,,,b,NM,,,2,195305 420534,
332,WO3(H2O),Pnma,62,Triv.,no,,,,NM,,HQ,1,201806,
333,MoO2,Pnma,62,Triv.,no,,,b,,,,1,243549,
334,KYTe2O6,Pnma,62,Triv.,no,,,b,NM,,,1,291295,
335,LiSr(BS3),Pnma,62,Triv.,no,,,b,NM,,HQ,1,380105,
336,(AgF)(AuF6),Pnma,62,SM,no,,,b,NM,,,1,422686,
337,(NH4)(Co(PO4))(H2O),Pnma,62,SM,no,,,,FM,,,1,424548,
338,Al2FeC,Pnma,62,TI,no,,,"b,s",,,,1,670820,
339,Li2C2,Pnma,62,Triv.,no,,,,,,,0,,
340,Al2(SiO4)O,Pnma,62,Triv.,no,,,b,NM,,,40,671756 671757 671758 671759 671760 671761 671762 671763 671764 671765 671766 671767 671768 671769 671770 671771 25711 31115 85200 85201 85202 85203 85204 85744 86342 92632 92633 96722 100450 100451 100452 100453 100454 172720 172721 172722 172723 172724 92636 92637,92632(s)
341,Li(VO)(AsO4),Pnma,62,SM,yes,Fig. 29,29,b,FM,,,1,90991,
342,FeOOH,Pnma,62,SM,no,,,,AFM,,,5,239321 239322 239323 239324 245057,
343,PbCO3,Pnma,62,Triv.,no,,,,NM,,HQ,7,56101 166089 190074 247490 247491 247492 247493,
344,Cd2(OH)3Cl,Pnma,62,Triv.,no,,,b,NM,,,2,39285 83524,
345,SnSO4,Pnma,62,Triv.,no,,,,NM,,,3,2748 25838 245904,
346,Ca(B2Si2O8),Pnma,62,Triv.,no,,,"b,s",NM,,,0,,
347,PbF2,Pnma,62,Triv.,no,,,,NM,,,35,6254 20590 26491 29545 29546 29547 29548 29549 29550 30296 36275 14324 154994 154995 154996 154997 154998 161080 161391 161392 161393 161394 673364 171178 171179 171180 171181 171182 171183 9468 15699 91186 91187 91188 169176,
348,Tl2BeF4,Pnma,62,Triv.,no,,,,NM,,HQ,0,,
349,Cs2CuCl4,Pnma,62,SM,no,,,,FM,,HQ,0,,
350,Cs2CuBr4,Pnma,62,SM,no,,,,FM,,HQ,3,10185 26024 169179,
351,Rb5(SiAs3),Pnma,62,Triv.,no,,,,NM,,,1,300191,
352,Cu(IO3)(OH),Pnma,62,SM,no,,,b,FM,,HQ,1,41804,
353,In(PO4),Pnma,62,Triv.,no,,,b,NM,,HQ,1,85579,
354,K2(S3O6),Pnma,62,Triv.,no,,,,NM,,,1,8200,
355,Tl2(SeO4),Pnma,62,Triv.,no,,,,NM,,HQ,6,73411 99382 99383 419775 419776 419777,
356,K2(VO2F3),Pnma,62,Triv.,no,,,,NM,,,2,9122 60621,
357,K(P4N7),Pnma,62,Triv.,no,,,"b,s",NM,,,1,410630,
358,Cs(P4N7),Pnma,62,Triv.,no,,,b,NM,,,1,410632,
359,CuInO(PO4),Pnma,62,SM,no,,,b,FM,,,1,89606,
360,Cu(SeO3),Pnma,62,SM,no,,,b,FM,,HQ,3,498 51847 97747,
361,CrP,Pnma,62,SM,no,,,,FM,,,0,,
362,MnAs,Pnma,62,TI,no,,,,FM,,,0,,
363,MnP,Pnma,62,TI,no,,,,FM,,,48,5418 42079 42080 42081 42082 43247 53200 53201 76028 626498 626502 626514 9496 16543 41759 250011 610846 30412 43246 43399 60880 61136 76089 76090 76091 643200 643213 643217 643220 30413 34036 42447 42448 42449 42450 42451 48031 48033 48034 48035 48036 610452 610474 43248 43400 62607 633046 633050,
364,FeAs,Pnma,62,SM,no,,,,FM,,,0,,
365,FeP,Pnma,62,SM,no,,,,FM,SC,HQ,0,,
366,Na2NiInF7,Pnma,62,Triv.,no,,,"b,s",FM,,,1,72110,
367,Na2Ni(HPO3)2,Pnma,62,Triv.,yes,Fig. 29,29,b,FM,,,1,247564,
368,LiCu2O2,Pnma,62,SM,no,,,b,FM,,HQ,3,71221 71683 188111,
369,Li(Sb2F7),Pnma,62,Triv.,no,,,"b,s",NM,,,1,428176,
370,FeMg(SiO4),Pnma,62,Triv.,no,,,b,FM,,,2,164171 164172,
371,AgCu(VO4),Pnma,62,SM,no,,,b,FM,,HQ,2,419201 419202,
372,P2O5,Pnma,62,Triv.,no,,,"b,s",NM,,,3,16611 29045 79698,
373,NaZn(MoO4)(OH),Pnma,62,Triv.,no,,,b,NM,,,1,9783,
374,Pb(V2O6),Pnma,62,Triv.,no,,,,NM,,,1,6109,
375,NaTaO3,Pnma,62,Triv.,no,,,,NM,,,7,980 88375 23319 150430 173757 239690 241443,"980(b,s) 88375(b,s) 150430(b,s) 173757(b,s) 239690(b,s) 241443(b,s)"
376,YTiO3,Pnma,62,SM,no,,,b,FM,SC∗,HQ,0,,
377,Na(NiF3),Pnma,62,Triv.,yes,Fig. 29,29,b,FM,,,18,8150 84608 84609 84610 174118 9008 25533 72319 192140 192142 192144 200062 50388 51285 41280 73759 73760 73761,"50388(b,s) 51285(b,s) 73759(b,s) 73760(b,s) 73761(b,s)"
378,La(GaO3),Pnma,62,Triv.,no,,,,NM,,,12,79662 88146 88259 88349 91786 94299 98168 98410 153307 160233 160234 160235,"79662(b,s,l) 88146(b,s) 88259(b,s) 88349(b,s) 91786(b,s) 94299(b,s) 98168(b,s) 98410(b,s) 153307(b,s) 160233(b,s) 160234(b,s) 160235(b,s)"
379,La(VO3),Pnma,62,Triv.,no,,,"b,s",AFM,,,5,161782 63520 73898 73899 185831,"161782(b,s)"
380,Na(ZnF3),Pnma,62,Triv.,no,,,b,NM,,HQ,5,69349 72320 82226 82228 88388,82226(s) 82228(s) 88388(s)
381,La(MnO3),Pnma,62,Triv.,no,,,b,FM,,,0,,
382,Y(CoO3),Pnma,62,Triv.,no,,,b,FM,,HQ,19,161928 161929 90424 180180 185279 252946 155834 155835 155836 155837 155838 240462 240463 240464 240465 240466 240467 240468 240469,161928(s) 161929(s) 180180(s)
383,Ca(SiO3),Pnma,62,Triv.,no,,,"b,s",NM,,,0,,
384,Rb(Li(NH2)2),Pnma,62,Triv.,no,,,,NM,,,1,95786,
385,Sr(VO3)Cl,Pnma,62,Triv.,no,,,"b,s",NM,,HQ,1,50787,
386,BaCs(VS4),Pnma,62,Triv.,no,,,b,NM,,HQ,1,430160,
387,MnO2,Pnma,62,SM,no,,,b,AFM,,,4,20228 24034 78331 171866,
388,Ca5Sb3,Pnma,62,SM,no,,,,NM,,,2,2065 619564,
389,Ca5Bi3,Pnma,62,SM,no,,,,NM,,,2,2140 616533,
390,Y4Ti(SiO4)2OF6,Cmcm,63,Triv.,no,,,b,NM,,,1,20003,
391,K(FeF4),Cmcm,63,SM,no,,,"b,s",FM,,,2,23588 60615,
392,(PbF2)7(PbI2),Cmcm,63,Triv.,no,,,,NM,,HQ,2,36337 431846,"36337(b,s)"
393,(CuO2)4,Cmcm,63,SM,no,,,"b,s",FM,,HQ,1,54129,
394,BaVS3,Cmcm,63,SM,yes,Fig. 29,29,k∗,,,HQ,1,63228,
395,Tl2(AlF5),Cmcm,63,Triv.,no,,,,NM,,,1,109365,
396,CuO2,Cmcm,63,SM,no,,,"b,s",FM,,HQ,1,150913,
397,Mg(Al2O4),Cmcm,63,Triv.,no,,,b,NM,,,1,161057,
398,LiFeP,Cmcm,63,TI,no,,,,NM,,,1,187134,
399,BaCu2(Ge3O9)(H2O),Cmcm,63,TI,no,,,,FM,,,1,424818,
400,AlF3,Cmcm,63,Triv.,no,,,"k∗,b,s",NM,,HQ,1,202681,
401,KFe2S3,Cmcm,63,SM,no,,,b,FM,,,2,632396 99507,
402,Ca3(VN3),Cmcm,63,Triv.,no,,,b,NM,,,1,72118,
403,NiSO4,Cmcm,63,Triv.,yes,Fig. 29,29,b,AFM,,,3,16691 16741 33737,
404,Ni(SeO4),Cmcm,63,Triv.,yes,Fig. 30,30,b,FM,,,1,25700,
405,TiPO4,Cmcm,63,SM,no,,,b,FM,,HQ,2,36520 431885,
406,Rb(Fe2Se3),Cmcm,63,SM,no,,,,FM,,HQ,1,81547,
407,Cs(Fe2Se3),Cmcm,63,SM,no,,,,FM,,HQ,2,81549 187535,
408,Cs(Fe2S3),Cmcm,63,SM,no,,,b,FM,,HQ,1,99504,
409,Tl(Fe2S3),Cmcm,63,SM,no,,,b,NM,,HQ,1,166049,
410,BaFe2Se3,Cmcm,63,TI,no,,,,FM,SC,HQ,2,290594 290596,
411,KFe2Se3,Cmcm,63,SM,no,,,,FM,,HQ,2,424671 424672,
412,TiCu2,Cmcm,63,TI,no,,,,NM,,,3,629379 629386 629405,
413,K2(NiP2),Cmcm,63,Triv.,no,,,,NM,,HQ,1,300119,
414,K2(NiAs2),Cmcm,63,Triv.,no,,,,NM,,HQ,1,300120,
415,Cs2NiP2,Cmcm,63,Triv.,no,,,,,,,1,656056,
416,Cs2PtSb2,Cmcm,63,Triv.,no,,,,NM,,,1,658700,
417,Cs2PdSb2,Cmcm,63,Triv.,no,,,,NM,,,1,658702,
418,Cs2NiBi2,Cmcm,63,Triv.,no,,,,,,,1,658704,
419,K3Pt2O4,Cmcm,63,SM,no,,,"b,s",FM,,,1,14158,
420,KCuZrF7,Cmcm,63,Triv.,no,,,"b,s",FM,,,1,92469,
421,KCuHfF7,Cmcm,63,Triv.,no,,,"b,s",FM,,,1,92470,
422,Mg(V2O5),Cmcm,63,TI,no,,,b,FM,,HQ,2,50979 50981,
423,Li(V2O5),Cmcm,63,SM,no,,,"b,s",FM,,HQ,3,50980 50982 201974,
424,LiFe(PO4),Cmcm,63,Triv.,no,,,b,AFM,,HQ,1,97766,
425,LiNi(PO4),Cmcm,63,Triv.,no,,,b,AFM,,HQ,1,97767,
426,CuMgVO4,Cmcm,63,Triv.,no,,,b,NM,,,1,239746,
427,Al2La2Ge,Cmcm,63,TI,no,,,,NM,,HQ,1,423614,
428,Na(NbO3),Cmcm,63,Triv.,no,,,"b,s",NM,,,0,,
429,Na(TaO3),Cmcm,63,Triv.,no,,,"b,s",NM,,HQ,12,22065 23323 192404 192405 280098 23321 23320 88376 239691 241444 241445 280099,22065(l) 23321(l)
430,FeTi2O5,Cmcm,63,TI,no,,,b,FM,,,1,37231,
431,SrCuO2,Cmcm,63,SM,no,,,,NM,SC,,6,16217 77291 83051 93653 202992 670129,
432,CuBaO2,Cmcm,63,SM,no,,,,,SC,,10,670104 1076 50265 41499 69311 69312 67837 72237 73906 73907,"1076(s,l) 50265(s,l) 69311(s,l) 69312(s,l) 72237(s,l) 73906(s,l) 73907(s,l)"
433,La2(CuO4),Cmce,64,SM,no,,,b,NM,,,24,73908 73909 73910 74145 74150 75891 78194 78237 78287 78288 78289 78290 78291 78292 78293 78294 78295 78296 78297 78298 78299 78300 87969 89173,"73908(s,l) 73909(s,l) 73910(s,l) 74145(s,l) 74150(s,l) 75891(s,l) 78194(s,l) 78237(s,l) 78287(s,l) 78288(s,l) 78289(s,l) 78290(s,l) 78291(s,l) 78292(s,l) 78293(s,l) 78294(s,l) 78295(s,l) 78296(s,l) 78297(s,l) 78298(s,l) 78299(s,l) 78300(s,l) 87969(s,l) 89173(s,l)"
434,La2(NiO4),Cmce,64,Triv.,no,,,"b,s",AFM,,HQ,12,173891 173893 173895 186588 261661 50244 56318 63398 67838 69754 69752 69755,"173891(s,l) 173893(s,l) 173895(s,l) 186588(s,l) 261661(s,l) 50244(l) 56318(l) 63398(l) 67838(l) 69754(l) 69755(l)"
435,Rb2CuCl4,Cmce,64,SM,no,,,"b,s",FM,,HQ,2,15145 55013,15145(l)
436,Rb2CuCl2Br2,Cmce,64,SM,no,,,b,FM,,HQ,1,15147,
437,K2CuF4,Cmce,64,SM,no,,,"b,s,l∗",FM,,HQ,2,38426 174116,
438,Cs2AgF4,Cmce,64,SM,no,,,"b,s,l∗",FM,,,2,155817 155818,
439,Ba5Sb4,Cmce,64,Triv.,no,,,,NM,,HQ,1,280022,
440,Na(IO3),Cmmm,65,TI,yes,Fig. 30,30,NM,,,,1,33664,
441,Ca(TiO3),Cmmm,65,Triv.,no,,,"k∗,b,s,l∗",NM,,,1,187294,
442,Na3B20,Cmmm,65,SM,no,,,,NM,,HQ,2,407159 410247,
443,AuMgO2,Cmmm,65,Triv.,no,,,,,,,1,670092,
444,Mo2CuGa5,Cmmm,65,TI,no,,,,,,,1,670139,
445,AlFe2B2,Cmmm,65,SM,no,,,,FM,,,7,20322 23205 239296 241907 241908 241909 251811,
446,YNi4Si,Cmmm,65,SM,no,,,,NM,,,1,290731,
447,LaNi4Si,Cmmm,65,SM,no,,,,NM,,,1,290732,
448,Al3Ni5,Cmmm,65,SM,no,,,,NM,,,3,58041 191113 608803,
449,Ga3Ni5,Cmmm,65,SM,no,,,,NM,,,3,103861 634860 634865,
450,KSc2F7,Cmmm,65,Triv.,no,,,,NM,,HQ,1,47227,
451,Li2(MnBr4),Cmmm,65,SM,no,,,b,FM,,HQ,1,33865,
452,MnPt3O6,Cmmm,65,SM,no,,,b,FM,,HQ,1,35337,
453,ZnPt3O6,Cmmm,65,Triv.,no,,,b,NM,,HQ,1,35339,
454,CdPt3O6,Cmmm,65,Triv.,no,,,b,NM,,HQ,1,35407,
455,K2Na(FeO3),Cmme,67,SM,no,,,b,AFM,,,1,36380,
456,FeSe,Cmme,67,Triv.,no,,,,FM,,,2,182545 169283,
457,Pb2OFCl,Cmme,67,Triv.,no,,,,NM,,HQ,3,200211 200212 200213,
458,LiFeAs,Cmme,67,TI,no,,,,FM,,,1,168206,
459,FeSe,Cmme,67,TI,no,,,,NM,,HQ,9,166441 169295 169299 169303 169306 169309 169311 169313 169315,
460,FeSe,Cmme,67,TI,no,,,,NM,,HQ,1,169285,
461,SiO2,Ccce,68,Triv.,no,,,"b,s",NM,,,1,170527,
462,Cs2Pd3Se4,Fmmm,69,Triv.,no,,,"k∗,b",NM,,HQ,1,33892,
463,Cs2Ni3S4,Fmmm,69,Triv.,no,,,"k∗,b",NM,,,1,627055,
464,Rb2Pb(Cu(NO2)6),Fmmm,69,SM,no,,,,FM,,HQ,1,372,
465,PbK2(Cu(NO2)6),Fmmm,69,SM,no,,,,FM,,HQ,1,1274,
466,K2Ba(Cu(NO2)6),Fmmm,69,SM,no,,,,FM,,HQ,1,1830,
467,K2Ca(Cu(NO2)6),Fmmm,69,SM,no,,,,FM,,HQ,1,6183,
468,Cs2PbCu(NO2)6,Fmmm,69,SM,no,,,,,,HQ,4,8284 8285 56252 56253,
469,Cu2Cl2O,Fddd,70,TI,no,,,b,FM,,,2,1055 96610,
470,K4P6,Fddd,70,Triv.,no,,,,NM,,HQ,1,33260,
471,Cu16O8Cl16,Fddd,70,TI,no,,,b,,,,1,430861,
472,RbVSe2,Fddd,70,Triv.,no,,,"b,s",NM,,HQ,1,415479,
473,CaBi2(CO3)2O2,Immm,71,TI,no,,,,NM,,HQ,1,94741,
474,K3Ir,Immm,71,TI,no,,,,,,,1,674660,
475,Sr2FeO3,Immm,71,Triv.,no,,,,AFM,,HQ,3,251018 251019 251020,
476,Sr3(Fe2O5),Immm,71,Triv.,no,,,"b,s",FM,,HQ,1,420234,
477,Cs(FeS2),Immm,71,TI,no,,,"b,s",FM,,,3,25697 53234 201112,
478,RbFeS2,Immm,71,TI,no,,,"b,s",FM,,,1,633207,
479,Li2NiO2,Immm,71,Triv.,no,,,b,FM,,,1,25000,
480,Li2(CuO2),Immm,71,SM,no,,,b,FM,,,9,25001 67204 67205 202996 238945 47106 67150 67151 291072,
481,Na2PtO2,Immm,71,Triv.,no,,,b,NM,,,1,25018,
482,VOCl2,Immm,71,SM,no,,,"b,s",FM,,,1,24380,
483,VOBr2,Immm,71,SM,no,,,"b,s",FM,,,1,24381,
484,PtSO4,Ibam,72,Triv.,no,,,b,,,,1,671488,
485,K2(MnS2),Ibam,72,SM,yes,Fig. 30,30,"b,s",FM,,HQ,1,65453,
486,Rb2(MnS2),Ibam,72,SM,yes,Fig. 30,30,"b,s",AFM,,HQ,1,65454,
487,Cs2(MnS2),Ibam,72,SM,yes,Fig. 30,30,"b,s",FM,,HQ,1,65455,
488,K2(MnSe2),Ibam,72,SM,yes,Fig. 30,30,"b,s",FM,,HQ,1,65456,
489,Rb2(MnSe2),Ibam,72,SM,yes,Fig. 30,30,"b,s",FM,,HQ,1,65457,
490,Cs2(MnSe2),Ibam,72,SM,yes,Fig. 31,31,"b,s",FM,,HQ,1,65458,
491,Rb2(MnTe2),Ibam,72,SM,yes,Fig. 31,31,"b,s",FM,,HQ,1,65460,
492,Cs2(MnTe2),Ibam,72,SM,yes,Fig. 31,31,"b,s",FM,,HQ,1,65461,
493,K2CoS2,Ibam,72,SM,no,,,"b,s",FM,,HQ,3,67387 623958 623960,
494,Rb2CoS2,Ibam,72,SM,no,,,"b,s",FM,,HQ,1,67388,
495,Cs2CoS2,Ibam,72,SM,no,,,"b,s",FM,,HQ,1,67389,
496,K2CoSe2,Ibam,72,SM,no,,,"b,s",FM,,HQ,1,67390,
497,Rb2CoSe2,Ibam,72,SM,no,,,"b,s",FM,,HQ,1,67391,
498,Cs2CoSe2,Ibam,72,SM,no,,,"b,s",FM,,HQ,1,67392,
499,Na2CoSe2,Ibam,72,SM,no,,,"b,s",FM,,,1,624264,
500,Na3(AlAs2),Ibam,72,Triv.,no,,,b,NM,,HQ,1,63149,
501,Na3(AlP2),Ibam,72,Triv.,no,,,b,NM,,HQ,2,73278 402081,
502,K3(InP2),Ibam,72,Triv.,no,,,"b,s",NM,,HQ,2,73281 300141,
503,KAg(CO3),Ibca,73,Triv.,no,,,,NM,,HQ,5,26632 31021 242236 242239 409484,
504,CsMoO2F3,Imma,74,Triv.,no,,,,NM,,HQ,1,9710,
505,Na4Ni(P2O7)F2,Imma,74,Triv.,no,,,b,AFM,,,2,251665 251666,
506,MgAlBO4,Imma,74,Triv.,no,,,b,,,,1,670206,
507,Na2NiGaF7,Imma,74,Triv.,no,,,"k∗,b,s",FM,,HQ,1,408111,
508,Cs(Pd2F5),Imma,74,Triv.,no,,,"b,s",FM,,,1,35284,
509,RbPd2F5,Imma,74,Triv.,no,,,"b,s",FM,,HQ,1,72299,
510,Zn(AlF5)(H2O)2,Imma,74,Triv.,no,,,,NM,,HQ,4,245171 15836 26992 65677,15836(b) 26992(b) 65677(b)
511,LiCuVO4,Imma,74,SM,no,,,,FM,,HQ,10,72846 261517 290738 291437 291440 290739 291441 6311 23597 27530,72846(b) 261517(b) 291437(b) 291440(b) 291441(b) 6311(b) 23597(b) 27530(b)
512,Mg2(SiO4),Imma,74,Triv.,no,,,,NM,,HQ,15,83784 83785 83786 63178 66490 83787 100725 159955 171064 171065 171066 290205 290206 290207 290208,63178(b) 66490(b) 100725(b) 159955(b) 171064(b) 171065(b) 171066(b) 290205(b) 290206(b) 290207(b) 290208(b)
513,Ca(SiO3),Imma,74,Triv.,no,,,"b,s",NM,,,9,670570 240422 240423 240424 240425 240426 240427 240428 240429,670570(b)
514,K4(CuV5O15Cl),P4,75,SM,no,,,"b,s",FM,,HQ,1,401042,
515,WOCl4,I4,79,Triv.,no,,,,NM,,HQ,2,25519 426524,
516,(NH4)(WAgS4),I4̄,82,Triv.,no,,,,NM,,HQ,1,84370,
517,Cs(As4F13),I4̄,82,Triv.,no,,,,NM,,HQ,1,281641,
518,RbLa(Si(CN2)4),I4̄,82,Triv.,no,,,,NM,,HQ,1,419337,
519,ZrF4,P42/m,84,Triv.,no,,,,NM,,,1,35100,
520,Cs2(V4O9),P42/m,84,Triv.,no,,,b,FM,,HQ,1,79408,
521,CuCl(B(OH)4),P4/n,85,SM,no,,,,FM,,HQ,1,56963,
522,(AgF)(BF4),P4/n,85,SM,no,,,,NM,,HQ,2,80645 80646,
523,(VO)(PO4),P4/n,85,Triv.,no,,,b,NM,,HQ,3,425536 77598 108983,
524,Ca(V4O9),P4/n,85,TI,no,,,b,FM,,HQ,2,2556 90927,
525,Sr(V4O9),P4/n,85,TI,no,,,b,FM,,HQ,1,90926,
526,(VO)MoO4,P4/n,85,SM,no,,,"b,s",AFM,,HQ,1,27315,
527,As2O3,P42/n,86,Triv.,no,,,"b,s",NM,,,1,183096,
528,N4P4Br8,P42/n,86,Triv.,no,,,,NM,,,1,2716,
529,BaFe2S4,I4/m,87,SM,no,,,,FM,,HQ,1,23081,
530,Rb2(TeBr6),I4/m,87,Triv.,no,,,,NM,,HQ,1,49520,
531,Bi4RuI2,I4/m,87,Triv.,no,,,,NM,,HQ,1,406949,
532,(NH3)4Pd(N3)4Pd,I4/m,87,Triv.,no,,,,,,HQ,1,410384,
533,VAu4,I4/m,87,SM,no,,,,FM,,,1,612460,
534,Ni(VO(PO4))2(H2O)4,I4/m,87,TI,no,,,,FM,,HQ,1,85597,
535,(Co(H2O)4)(VO(PO4))2,I4/m,87,SM,no,,,,FM,,HQ,1,281336,
536,Sr2Cu(WO6),I4/m,87,SM,no,,,"b,s",FM,,,10,33571 72812 88701 99303 186027 190594 193614 291133 291134 291135,
537,Sr2CuTeO6,I4/m,87,SM,no,,,"b,s",FM,,,2,33573 88702,
538,Ba2Cu(WO6),I4/m,87,SM,no,,,"b,s",FM,,HQ,1,72813,
539,Sr2Fe(WO6),I4/m,87,Triv.,no,,,"k∗,b,s",AFM,,,1,78677,
540,Ba2Cu(TeO6),I4/m,87,SM,no,,,"b,s",FM,,,1,88703,
541,Sr2Ni(WO6),I4/m,87,Triv.,yes,Fig. 32,32,"b,s",AFM,,HQ,3,91791 153327 190591,
542,Ba2(FeWO6),I4/m,87,Triv.,yes,Fig. 32,32,"k∗,b,s",AFM,,HQ,0,,
543,Sr2NiMoO6,I4/m,87,Triv.,no,,,"b,s",AFM,,HQ,14,95518 95520 95521 95522 95523 98191 155273 155274 155732 157020 157021 157022 157023 157025,
544,Sr2(FeMoO6),I4/m,87,Triv.,yes,Fig. 32,32,"b,s",FM,,HQ,9,166816 172212 193690 248460 247539 248461 248462 248463 248464,248460(k)
545,Sr2(FeReO6),I4/m,87,SM,yes,Fig. 31,31,"b,s",FM,,HQ,1,150702,
546,Sr2Mg(WO6),I4/m,87,Triv.,yes,Fig. 32,32,"b,s",NM,,HQ,12,151703 152574 155306 155307 155308 155309 155310 168463 152440 152441 152442 152443,
547,Sr2(NiOsO6),I4/m,87,Triv.,no,,,"b,s",FM,,HQ,0,,
548,Sr2(CoMoO6),I4/m,87,SM,yes,Fig. 31,31,"b,s",FM,,HQ,3,153544 153545 153546,
549,Sr2(NiMoO6),I4/m,87,TI,no,,,"b,s",AFM,,HQ,2,157024 157026,
550,Sr2GaTaO6,I4/m,87,Triv.,no,,,"b,s",NM,,HQ,1,172330,
551,Sr2NiReO6,I4/m,87,SM,no,,,"b,s",FM,,HQ,2,173487 173490,
552,Sr2CoReO6,I4/m,87,TI,yes,Fig. 31,31,"b,s",AFM,,HQ,1,173488,
553,Sr2Cu(MoO6),I4/m,87,SM,no,,,"b,s",FM,,HQ,1,186038,
554,Sr2MgMoO6,I4/m,87,Triv.,yes,Fig. 32,32,"b,s",NM,,HQ,1,187662,
