num,formula,space_group_symbol,space_group_number,topology_at_Ef,is_top_candidate,best_figure,best_figure_number,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels,material_id,verification,icsd_ids_verified,n_icsd_verified,site_formula,site_space_group_number
667,Rb2(MnF5),P4/mmm,123,Triv.,no,,,,FM,,HQ,1,82218,,82218,matched,82218,1,F5 Mn1 Rb2,123
668,KCu4S3,P4/mmm,123,SM,no,,,,NM,SC,HQ,3,602358 23336 602356,"602358(b,s)",23336,matched,23336 602356 602358,3,Cu4 K1 S3,123
669,(CuCl)LaTa2O7,P4/mmm,123,SM,no,,,"b,s",FM,,HQ,1,51261,,51261,matched,51261,1,Cl1 Cu1 La1 O7 Ta2,123
670,InPd3,P4/mmm,123,SM,no,,,,NM,,,1,59476,,59476,matched,59476,1,In1 Pd3,123
671,MnRh2Sb,P4/mmm,123,SM,yes,Fig. 33,33,,FM,,,1,76202,,76202,matched,76202,1,Mn1 Rh2 Sb1,123
672,Cu2NiZn,P4/mmm,123,TI,no,,,,NM,,,1,103079,,103079,matched,103079,1,Cu2 Ni1 Zn1,123
673,AlNi3,P4/mmm,123,SM,no,,,,,,,1,107862,,107862,matched,107862,1,Al1 Ni3,123
674,Pd3Tl,P4/mmm,123,SM,no,,,,,,,1,108675,,108675,matched,108675,1,Pd3 Tl1,123
675,Pd3V,P4/mmm,123,SM,no,,,k∗,FM,,,1,108677,,108677,matched,108677,1,Pd3 V1,123
676,Pt3Al,P4/mmm,123,SM,no,,,k∗,NM,,,2,109235 191186,,109235,matched,109235 191186,2,Al1 Pt3,123
677,Pt3In,P4/mmm,123,SM,no,,,k∗,NM,,,1,109236,,109236,matched,109236,1,In1 Pt3,123
678,FeNiN,P4/mmm,123,SM,no,,,b,FM,,,1,53505,,53505,matched,53505,1,Fe1 N1 Ni1,123
679,PdO,P4/mmm,123,TI,no,,,,NM,,,1,28837,,28837,matched,28837,1,O1 Pd1,123
680,FeSe,P4/mmm,123,SM,no,,,,FM,,,2,53543 633467,,53543,matched,53543 633467,2,Fe1 Se1,123
681,FeSi2,P4/mmm,123,TI,no,,,,FM,,HQ,5,5257 24360 633533 633544 633550,,5257,matched,5257 24360 633533 633544 633550,5,Fe1 Si2,123
682,FeSi2,P4/mmm,123,TI,no,,,,FM,,,1,5258,,5258,matched,5258,1,Fe1 Si2,123
683,Hg2Rh,P4/mmm,123,SM,no,,,,NM,,,1,106786,,106786,matched,106786,1,Hg2 Rh1,123
684,HgMn,P4/mmm,123,SM,no,,,,FM,,,1,104323,,104323,matched,104323,1,Hg1 Mn1,123
685,HgNi,P4/mmm,123,SM,no,,,,NM,,,2,104332 639119,,104332,matched,104332 639119,2,Hg1 Ni1,123
686,NbRu,P4/mmm,123,SM,no,,,,NM,,,2,105222 645296,,105222,matched,105222 645296,2,Nb1 Ru1,123
687,NiZn,P4/mmm,123,SM,no,,,,NM,,,3,105469 647134 647137,,105469,matched,105469 647134 647137,3,Ni1 Zn1,123
688,RuTa,P4/mmm,123,SM,no,,,,NM,,,4,105995 105996 650691 650692,,105995,matched,105995 105996 650691 650692,4,Ru1 Ta1,123
689,AuMn,P4/mmm,123,SM,no,,,,FM,,,1,109349,,109349,matched,109349,1,Au1 Mn1,123
690,SrSi,P4/mmm,123,SM,no,,,,,,,1,160108,,160108,matched,160108,1,Si1 Sr1,123
691,MgNi,P4/mmm,123,TI,no,,,,NM,,,1,187255,,187255,matched,187255,1,Mg1 Ni1,123
692,K2(PdBr4),P4/mmm,123,Triv.,no,,,,NM,,HQ,4,1982 2722 23998 37014,2722(b) 23998(b) 37014(b),1982,matched,1982,1,Br4 K2 Pd1,123
693,K2PtCl4,P4/mmm,123,Triv.,no,,,,NM,,HQ,4,37015 68767 60110 68768,37015(b) 68767(b) 68768(b),2722,matched,2722 23998 37014 37015 60110 68767 68768,7,Cl4 K2 Pt1,123
694,K2PdCl4,P4/mmm,123,Triv.,no,,,,NM,,HQ,7,65034 65035 39852 65036 68769 73505 73506,65034(b) 65035(b),2723,matched,2723 23997 27522 39852 65034 65035 65036 68769 73505 73506,10,Cl4 K2 Pd1,123
695,K2PtBr4,P4/mmm,123,Triv.,no,,,,NM,,HQ,1,6063,,6063,matched,6063,1,Br4 K2 Pt1,123
696,Cs2(PdCl4),P4/mmm,123,Triv.,no,,,,NM,,HQ,1,95813,,95813,matched,95813,1,Cl4 Cs2 Pd1,123
697,NaAlF4,P4/mmm,123,Triv.,no,,,"b,s,l",NM,,,1,20572,,20572,matched,20572,1,Al1 F4 Na1,123
698,Rb(FeF4),P4/mmm,123,SM,no,,,"b,s,l",FM,,,1,21072,,21072,matched,21072,1,F4 Fe1 Rb1,123
699,Tl(AlF4),P4/mmm,123,Triv.,no,,,"b,s,l",NM,,,4,25615 200637 202453 202454,,25615,matched,25615 200637 202453 202454,4,Al1 F4 Tl1,123
700,LaNiO2,P4/mmm,123,SM,no,,,"b,s,l",FM,,,2,47123 153058,,47123,matched,47123 153058,2,La1 Ni1 O2,123
701,SrFeO2,P4/mmm,123,SM,no,,,"b,s,l",AFM,,HQ,4,173434 418603 418605 418606,,173434,matched,173434 418603 418605 418606,4,Fe1 O2 Sr1,123
702,KCuF3,P4/mmm,123,SM,no,,,"k∗,b,s,l",,,,1,27689,,27689,matched,27689,1,Cu1 F3 K1,123
703,K(CrF3),P4/mmm,123,Triv.,no,,,"b,s,l",FM,,,1,27690,,27690,matched,27690,1,Cr1 F3 K1,123
704,Ba(TiO3),P4/mmm,123,Triv.,no,,,"k∗,b,s,l",NM,,,24,27965 27966 27967 27968 27969 27974 28620 29146 29148 29280 31884 31885 31886 31887 31888 31889 31890 67519 187292 674386 28584 28585 28586 28587,,27965,matched,27965 27966 27967 27968 27969 27974 28620 29146 29148 29280 31884 31885 31886 31887 31888 31889 31890 67519 187292 674386,20,Ba1 O3 Ti1,123
705,Na(NbO3),P4/mmm,123,Triv.,no,,,"k∗,b,s,l",NM,,,0,,,28584,matched,28584 28585 28586 28587,4,Na1 Nb1 O3,123
706,Pb(TiO3),P4/mmm,123,Triv.,no,,,"b,s,l",,,,2,29117 28624,29117(k),28624,matched,28624 29117,2,O3 Pb1 Ti1,123
707,Tl(CuF3),P4/mmm,123,SM,no,,,"b,s,l",,,,1,43457,,43457,matched,43457,1,Cu1 F3 Tl1,123
708,Rb(CuF3),P4/mmm,123,SM,no,,,"b,s,l",,,,1,109293,,109293,matched,109293,1,Cu1 F3 Rb1,123
709,CsAuCl3,P4/mmm,123,SM,no,,,"k∗,b,s,l",NM,,HQ,1,417373,,417373,matched,417373,1,Au1 Cl3 Cs1,123
710,SrGaO2F,P4/mmm,123,Triv.,no,,,"b,s",,,,1,674208,,674208,matched,674208,1,F1 Ga1 O2 Sr1,123
711,BaAlO2F,P4/mmm,123,Triv.,no,,,"b,s",,,,1,674211,,674211,matched,674211,1,Al1 Ba1 F1 O2,123
712,RbHfO2F,P4/mmm,123,Triv.,no,,,"b,s",,,,1,674219,,674219,matched,674219,1,F1 Hf1 O2 Rb1,123
713,YBaMn2O5,P4/mmm,123,SM,no,,,"b,s",AFM,,HQ,1,83690,,83690,matched,83690,1,Ba1 Mn2 O5 Y1,123
714,LaBaMn2O6,P4/mmm,123,SM,no,,,"k∗,b,s,l∗",FM,,HQ,1,150703,,150703,matched,150703,1,Ba1 La1 Mn2 O6,123
715,LaRu2Al2B,P4/mmm,123,TI,no,,,"b,s,l",NM,,HQ,1,174342,,174342,matched,174342,1,Al2 B1 La1 Ru2,123
716,CsCa2(Ta3O10),P4/mmm,123,Triv.,no,,,"b,s,l",NM,,HQ,1,89011,,89011,matched,89011,1,Ca2 Cs1 O10 Ta3,123
717,RbSr2(Nb3O10),P4/mmm,123,Triv.,no,,,"b,s,l",NM,SC∗,HQ,1,93674,,93674,matched,93674,1,Nb3 O10 Rb1 Sr2,123
718,CsSr2(Nb3O10),P4/mmm,123,Triv.,no,,,"b,s,l",NM,SC,HQ,1,93675,,93675,matched,93675,1,Cs1 Nb3 O10 Sr2,123
719,CsBa2(Nb3O10),P4/mmm,123,Triv.,no,,,"b,s,l",NM,SC∗,HQ,2,93676 671284,,93676,matched,93676 671284,2,Ba2 Cs1 Nb3 O10,123
720,CsSr2(Ta3O10),P4/mmm,123,Triv.,no,,,"b,s,l",NM,,HQ,1,93677,,93677,matched,93677,1,Cs1 O10 Sr2 Ta3,123
721,RbCa2(Nb3O10),P4/mmm,123,Triv.,no,,,"b,s,l",NM,SC∗,HQ,1,260289,,260289,matched,260289,1,Ca2 Nb3 O10 Rb1,123
722,CsBa2Ta3O10,P4/mmm,123,Triv.,no,,,"b,s,l",,,,1,671285,,671285,matched,671285,1,Ba2 Cs1 O10 Ta3,123
723,RbLa(Ta2O7),P4/mmm,123,Triv.,no,,,"b,s",NM,,HQ,1,81870,,81870,matched,81870,1,La1 O7 Rb1 Ta2,123
724,TlYBa2Cu2O7,P4/mmm,123,TI,no,,,"b,s,l∗",NM,SC∗,HQ,1,74163,,74163,matched,74163,1,Ba2 Cu2 O7 Tl1 Y1,123
725,Ba2YCu3O6,P4/mmm,123,TI,no,,,"b,s",NM,SC∗,HQ,16,63269 63424 66903 67016 68008 68046 68290 72254 84739 203116 75725 75726 75727 75728 75729 83087,,63269,matched,63269 63424 66903 67016 68008 68046 68290 72254 84739 203116,10,Ba2 Cu3 O6 Y1,123
726,HgBa2CaCu2O6,P4/mmm,123,TI,no,,,"b,s,l∗",NM,SC,,0,,,75725,matched,75725 75726 75727 75728 75729 83087,6,Ba2 Ca1 Cu2 Hg1 O6,123
727,SiO2,P4/nbm,125,SM,no,,,,NM,,,1,170502,,170502,matched,170502,1,O2 Si1,125
728,SiO2,P4/nbm,125,TI,yes,Fig. 33,33,"b,s",NM,,,1,170538,,170538,matched,170538,1,O2 Si1,125
729,RbAg5Se3,P4/nbm,125,SM,no,,,,NM,,HQ,1,50738,,50738,matched,50738,1,Ag5 Rb1 Se3,125
730,K8(Tl10Zn),P4/nnc,126,SM,no,,,,NM,,,1,165614,,165614,matched,165614,1,K8 Tl10 Zn1,126
731,SiO2,P4/nnc,126,SM,no,,,,NM,,,1,170503,,170503,matched,170503,1,O2 Si1,126
732,SiO2,P4/nnc,126,Triv.,no,,,,NM,,,1,170537,,170537,matched,170537,1,O2 Si1,126
733,Rb2IN3,P4/mbm,127,Triv.,no,,,,NM,,HQ,1,202077,,202077,matched,202077,1,I1 N3 Rb2,127
734,Cs2V3O8,P4/mbm,127,SM,no,,,"b,s",,,,1,239713,,239713,matched,239713,1,Cs2 O8 V3,127
735,Mn2Hg5,P4/mbm,127,SM,no,,,,,SC,,2,670164 104324,,104324,matched,104324 670164,2,Hg5 Mn2,127
736,NaO2,P4/mbm,127,SM,no,,,,,,,1,673261,,673261,matched,673261,1,Na1 O2,127
737,Ti3Co5B2,P4/mbm,127,SM,no,,,,NM,,,1,20140,,20140,matched,20140,1,B2 Co5 Ti3,127
738,Mn2Ga5,P4/mbm,127,SM,no,,,,FM,SC∗,HQ,3,249632 634613 634639,,249632,matched,249632 634613 634639,3,Ga5 Mn2,127
739,Cs3(GeF7),P4/mbm,127,Triv.,yes,Fig. 33,33,,NM,,HQ,1,202917,,202917,matched,202917,1,Cs3 F7 Ge1,127
740,K(AlF4),P4/mbm,127,Triv.,no,,,"b,s",NM,,HQ,5,16413 60524 201947 201948 201949,,16413,matched,16413 60524 201947 201948 201949,5,Al1 F4 K1,127
741,Rb(AlF4),P4/mbm,127,Triv.,no,,,"b,s",NM,,HQ,3,200638 54120 54121,200638(l),54120,matched,54120 54121 200638,3,Al1 F4 Rb1,127
742,Rb(FeF4),P4/mbm,127,SM,no,,,"b,s",FM,,HQ,1,85499,,85499,matched,85499,1,F4 Fe1 Rb1,127
743,(PbCl2)(Pb(CO3)),P4/mbm,127,TI,no,,,,,,,1,38358,,38358,matched,38358,1,C1 Cl2 O3 Pb2,127
744,KCuF3,P4/mbm,127,SM,no,,,b,FM,,HQ,2,21110 21111,"21110(s,l)",21110,matched,21110 21111,2,Cu1 F3 K1,127
745,Na(TaO3),P4/mbm,127,Triv.,no,,,"b,s",NM,,HQ,4,23322 88377 239692 280101,23322(l) 280101(l),23322,matched,23322 88377 239692 280101,4,Na1 O3 Ta1,127
746,Na(NbO3),P4/mbm,127,Triv.,no,,,"b,s",NM,,,4,23563 192406 236892 280100,23563(l) 192406(l),23563,matched,23563 192406 236892 280100,4,Na1 Nb1 O3,127
747,NaMgF3,P4/mbm,127,Triv.,no,,,"b,s,l∗",NM,,HQ,1,193088,,193088,matched,193088,1,F3 Mg1 Na1,127
748,BaPtLa2O5,P4/mbm,127,Triv.,no,,,"b,s",NM,,HQ,2,68794 670385,,68794,matched,68794 670385,2,Ba1 La2 O5 Pt1,127
749,FeMo2B2,P4/mbm,127,SM,no,,,,FM,,,2,5431 44292,,5431,matched,5431 44292,2,B2 Fe1 Mo2,127
750,W2FeB2,P4/mbm,127,SM,no,,,,FM,,,1,43016,,43016,matched,43016,1,B2 Fe1 W2,127
751,InNi2Sc2,P4/mbm,127,SM,no,,,,NM,,HQ,1,107333,,107333,matched,107333,1,In1 Ni2 Sc2,127
752,FeNb2B2,P4/mbm,127,SM,no,,,,FM,,,1,614047,,614047,matched,614047,1,B2 Fe1 Nb2,127
753,Li2Sr4N8Si4O,P4/mnc,128,Triv.,no,,,"b,s",NM,,,1,420677,,420677,matched,420677,1,Li2 N8 O1 Si4 Sr4,128
754,Na3ScF6,P4/mnc,128,Triv.,no,,,"b,s",,,,1,671947,,671947,matched,671947,1,F6 Na3 Sc1,128
755,K2(TeBr6),P4/mnc,128,Triv.,no,,,,NM,,,2,37270 65117,,37270,matched,37270 65117,2,Br6 K2 Te1,128
756,Tl2(TeBr6),P4/mnc,128,Triv.,no,,,,NM,,HQ,1,99127,,99127,matched,99127,1,Br6 Te1 Tl2,128
757,WO3,P4/nmm,129,Triv.,yes,Fig. 33,33,"b,s",NM,,,5,27961 27962 89092 88367 673313,27961(l) 27962(l) 88367(k) 673313(k),27961,matched,27961 27962 88367 89092 673313,5,O3 W1,129
758,VSe,P4/nmm,129,SM,no,,,,NM,,,1,162898,,162898,matched,162898,1,Se1 V1,129
759,CrSe,P4/nmm,129,Triv.,no,,,,FM,,,1,162899,,162899,matched,162899,1,Cr1 Se1,129
760,WH4,P4/nmm,129,Triv.,no,,,,NM,,,2,247601 247602,,247601,matched,247601 247602,2,H4 W1,129
761,HfCd,P4/nmm,129,Triv.,no,,,,NM,,,1,619964,,619964,matched,619964,1,Cd1 Hf1,129
762,AgLa(TiO4),P4/nmm,129,Triv.,no,,,"b,s",NM,,,1,78719,,78719,matched,78719,1,Ag1 La1 O4 Ti1,129
763,Sr2NiO3Cl,P4/nmm,129,SM,no,,,"b,s",AFM,,,1,237581,,237581,matched,237581,1,Cl1 Ni1 O3 Sr2,129
764,Ba2Pb4Br2F10,P4/nmm,129,Triv.,no,,,,NM,,,1,411087,,411087,matched,411087,1,Ba2 Br2 F10 Pb4,129
765,Ba2Pb4I2F10,P4/nmm,129,Triv.,no,,,,NM,,,1,411088,,411088,matched,411088,1,Ba2 F10 I2 Pb4,129
766,BaNiS2,P4/nmm,129,TI,no,,,,NM,,,2,15289 246945,,15289,matched,15289 246945,2,Ba1 Ni1 S2,129
767,K(CoO2),P4/nmm,129,TI,no,,,,FM,,,1,15770,,15770,matched,15770,1,Co1 K1 O2,129
768,CsLiBr2,P4/nmm,129,Triv.,no,,,,NM,,,2,40479 245979,,40479,matched,40479 245979,2,Br2 Cs1 Li1,129
769,BaHfN2,P4/nmm,129,Triv.,no,,,,NM,,,7,50994 184052 184053 184054 184055 184056 184057,,50994,matched,50994 184052 184053 184054 184055 184056 184057,7,Ba1 Hf1 N2,129
770,Ba(ZrN2),P4/nmm,129,Triv.,no,,,,NM,,,2,74904 74905,,74904,matched,74904 74905,2,Ba1 N2 Zr1,129
771,BaCoS2,P4/nmm,129,SM,no,,,,FM,,,1,82639,,82639,matched,82639,1,Ba1 Co1 S2,129
772,CsAgCl2,P4/nmm,129,Triv.,no,,,,NM,,,1,150300,,150300,matched,150300,1,Ag1 Cl2 Cs1,129
773,CsAgBr2,P4/nmm,129,Triv.,no,,,,NM,,,1,150302,,150302,matched,150302,1,Ag1 Br2 Cs1,129
774,SrNiS2,P4/nmm,129,TI,no,,,,,,,1,673416,,673416,matched,673416,1,Ni1 S2 Sr1,129
775,Ir2YSi2,P4/nmm,129,SM,no,,,,NM,,,5,44668 181770 188325 641031 641036,,44668,matched,44668 181770 188325 641031 641036,5,Ir2 Si2 Y1,129
776,Sr2Sb2Se4F2,P4/nmm,129,Triv.,no,,,,NM,,,1,171430,,171430,matched,171430,1,F2 Sb2 Se4 Sr2,129
777,Bi2OS2,P4/nmm,129,Triv.,no,,,,NM,SC,,1,196230,,196230,matched,196230,1,Bi2 O1 S2,129
778,Ca2Ge2Ni2H2,P4/nmm,129,SM,no,,,,NM,,,1,263028,,263028,matched,263028,1,H2 Ca2 Ge2 Ni2,129
779,CsMnF4,P4/nmm,129,Triv.,no,,,"b,s",FM,,,1,14104,,14104,matched,14104,1,Cs1 F4 Mn1,129
780,Fe2As,P4/nmm,129,SM,no,,,,FM,,,5,16844 415628 610464 610470 610472,,16844,matched,16844 415628 610464 610470 610472,5,As1 Fe2,129
781,KNaO,P4/nmm,129,Triv.,no,,,,NM,,,1,32743,,32743,matched,32743,1,K1 Na1 O1,129
782,FeLiP,P4/nmm,129,SM,no,,,,NM,SC,,8,42327 247089 632441 247248 42750 607972 607974 657172,,42327,matched,42327 247089 247248 632441,4,Fe1 Li1 P1,129
783,MnAlGe,P4/nmm,129,TI,no,,,,FM,,,0,,,42750,matched,42750 607972 607974 657172,4,Al1 Ge1 Mn1,129
784,MnVAs,P4/nmm,129,SM,no,,,,FM,,,1,44009,,44009,matched,44009,1,As1 Mn1 V1,129
785,NiRhAs,P4/nmm,129,SM,no,,,,NM,,,3,44030 187596 601484,,44030,matched,44030 187596 601484,3,As1 Ni1 Rh1,129
786,MgMnGe,P4/nmm,129,SM,no,,,,FM,,,5,66952 66948 66953 87116 87117,66952(b) 87116(b) 87117(b),66948,matched,66948 66952 66953 87116 87117,5,Ge1 Mg1 Mn1,129
787,CaMnSn,P4/nmm,129,SM,no,,,,FM,,,3,66958 66959 66950,66958(b) 66959(b),66950,matched,66950 66958 66959,3,Ca1 Mn1 Sn1,129
788,MnFeAs,P4/nmm,129,TI,no,,,,FM,,,3,93237 93238 610492,,93237,matched,93237 93238 610492,3,As1 Fe1 Mn1,129
789,CoLiAs,P4/nmm,129,SM,no,,,,NM,,,1,107932,,107932,matched,107932,1,As1 Co1 Li1,129
790,LiFeAs,P4/nmm,129,SM,no,,,,FM,SC,,7,162056 162250 163870 166457 290700 610480 169175,,162056,matched,162056 162250 163870 166457 169175 290700 610480,7,As1 Fe1 Li1,129
791,LiFeP,P4/nmm,129,TI,no,,,,NM,,,1,166456,,166456,matched,166456,1,Fe1 Li1 P1,129
792,CoMnSb,P4/nmm,129,SM,no,,,,FM,,,4,248374 248375 248376 248377,,248374,matched,248374 248375 248376 248377,4,Co1 Mn1 Sb1,129
793,MgCoGe,P4/nmm,129,SM,no,,,,NM,,,1,418853,,418853,matched,418853,1,Co1 Ge1 Mg1,129
794,MnCuAs,P4/nmm,129,SM,no,,,,FM,,,1,423230,,423230,matched,423230,1,As1 Cu1 Mn1,129
795,GaMnGe,P4/nmm,129,SM,no,,,,FM,,,2,634253 634255,,634253,matched,634253 634255,2,Ga1 Ge1 Mn1,129
796,Fe(MoO4)Cl,P4/nmm,129,SM,no,,,"b,s",AFM,,,4,49516 202186 202187 202188,,49516,matched,49516 202186 202187 202188,4,Cl1 Fe1 Mo1 O4,129
797,FeWO4Cl,P4/nmm,129,SM,no,,,"b,s",AFM,,,1,80798,,80798,matched,80798,1,Cl1 Fe1 O4 W1,129
798,FeSe,P4/nmm,129,SM,no,,,,NM,SC∗,,24,26889 162901 163559 163560 163561 163562 165958 165959 165960 169970 182544 185464 196297 196298 977901 977903 42977 43391 81087 182249 182250 238590 633302 182251,,26889,matched,26889 162901 163559 163560 163561 163562 165958 165959 165960 169970 182544 185464 196297 196298 977901 977903,16,Fe1 Se1,129
799,FeS,P4/nmm,129,Triv.,no,,,,NM,SC,,0,,,42977,matched,42977 43391 81087 182249 182250 182251 238590 633302,8,Fe1 S1,129
800,FeTe,P4/nmm,129,SM,no,,,,FM,,,2,44753 169974,,44753,matched,44753 169974,2,Fe1 Te1,129
801,MnSe,P4/nmm,129,SM,no,,,,FM,,,1,162900,,162900,matched,162900,1,Mn1 Se1,129
802,CoSe,P4/nmm,129,SM,no,,,,FM,,,1,162902,,162902,matched,162902,1,Co1 Se1,129
803,FeSe,P4/nmm,129,TI,no,,,,NM,,,11,169253 169255 169257 169259 169261 169263 169265 169267 169269 169271 290701,,169253,matched,169253 169255 169257 169259 169261 169263 169265 169267 169269 169271 290701,11,Fe1 Se1,129
804,FeTe,P4/nmm,129,TI,no,,,,FM,SC∗,,2,180602 633877,,180602,matched,180602 633877,2,Fe1 Te1,129
805,FeSe,P4/nmm,129,Triv.,no,,,,FM,,,1,633480,,633480,matched,633480,1,Fe1 Se1,129
806,K(MoO(PO4)Cl),P4/nmm,129,SM,no,,,b,FM,,,1,50988,,50988,matched,50988,1,Cl1 K1 Mo1 O5 P1,129
807,Na2(TiO)(GeO4),P4/nmm,129,Triv.,no,,,"b,s",NM,,,3,20129 91546 160148,,20129,matched,20129 91546 160148,3,Ge1 Na2 O5 Ti1,129
808,Li2(VO)(SiO4),P4/nmm,129,SM,no,,,b,AFM,,,12,417277 59359 417276 417278 417280 417279 417281 417282 417283 417284 417285 417286,417277(s) 417278(s) 417280(s),59359,matched,59359 417276 417277 417278 417279 417280 417281 417282 417283 417284 417285 417286,12,Li2 O5 Si1 V1,129
809,Ag3Cl(CrO4),P4/nmm,129,Triv.,no,,,b,NM,,,1,409541,,409541,matched,409541,1,Ag3 Cl1 Cr1 O4,129
810,LiMnP,P4/nmm,129,SM,no,,,,FM,,,1,26458,,26458,matched,26458,1,Li1 Mn1 P1,129
811,LiMnAs,P4/nmm,129,SM,no,,,,FM,,,12,26459 60739 60740 60741 60742 192817 192818 192819 192820 192821 192822 192823,,26459,matched,26459 60739 60740 60741 60742 192817 192818 192819 192820 192821 192822 192823,12,As1 Li1 Mn1,129
812,LiMnSb,P4/nmm,129,SM,no,,,,FM,,,1,642150,,642150,matched,642150,1,Li1 Mn1 Sb1,129
813,TiSe,P4/nmm,129,SM,no,,,,NM,,,1,162897,,162897,matched,162897,1,Se1 Ti1,129
814,SnO,P4/nmm,129,SM,no,,,,NM,,,1,185350,,185350,matched,185350,1,O1 Sn1,129
815,BaBrF,P4/nmm,129,Triv.,no,,,,NM,,,10,1129 2294 35393 155005 5037 30287 31132 39165 82884 155010,,1129,matched,1129 2294 35393 155005,4,Ba1 Br1 F1,129
816,PbFCl,P4/nmm,129,Triv.,no,,,,NM,,,0,,,5037,matched,5037 30287 31132 39165 82884 155010,6,Cl1 F1 Pb1,129
817,PbFBr,P4/nmm,129,Triv.,no,,,,NM,,,3,5038 30288 155011,,5038,matched,5038 30288 155011,3,Br1 F1 Pb1,129
818,BiOF,P4/nmm,129,Triv.,no,,,,NM,,,2,24096 201620,,24096,matched,24096 201620,2,Bi1 F1 O1,129
819,BiOCl,P4/nmm,129,Triv.,no,,,,NM,,,5,24608 29143 74502 195115 185970,,24608,matched,24608 29143 74502 185970 195115,5,Bi1 Cl1 O1,129
820,CaHCl,P4/nmm,129,Triv.,no,,,,NM,,,2,25601 37199,,25601,matched,25601 37199,2,H1 Ca1 Cl1,129
821,SrHCl,P4/nmm,129,Triv.,no,,,,NM,,,2,25602 37200,,25602,matched,25602 37200,2,H1 Cl1 Sr1,129
822,BaHCl,P4/nmm,129,Triv.,no,,,,NM,,,2,25603 37201,,25603,matched,25603 37201,2,H1 Ba1 Cl1,129
823,NaMnP,P4/nmm,129,SM,no,,,,FM,,,0,,,26460,matched,26460 60726 60727 60728 60729 601595,6,Mn1 Na1 P1,129
824,NaMnAs,P4/nmm,129,SM,no,,,,FM,,,21,26460 60726 60727 60728 60729 601595 26461 60730 60731 60732 610878 26462 60733 60734 60735 601596 29145 5036 24610 185972 391354,,26461,matched,26461 60730 60731 60732 610878,5,As1 Mn1 Na1,129
825,NaMnSb,P4/nmm,129,SM,no,,,,FM,,,0,,,26462,matched,26462 60733 60734 60735 601596,5,Mn1 Na1 Sb1,129
826,BiOI,P4/nmm,129,Triv.,no,,,,NM,,,0,,,5036,matched,5036 24610 29145 185972 391354,5,Bi1 I1 O1,129
827,YOCl,P4/nmm,129,Triv.,no,,,,NM,,,2,31667 60586,,31667,matched,31667 60586,2,Cl1 O1 Y1,129
828,KMgSb,P4/nmm,129,Triv.,no,,,,NM,,,1,41709,,41709,matched,41709,1,K1 Mg1 Sb1,129
829,RbMnSb,P4/nmm,129,SM,no,,,,FM,,,3,41868 643395 643396,,41868,matched,41868 643395 643396,3,Mn1 Rb1 Sb1,129
830,CsMnSb,P4/nmm,129,SM,no,,,,FM,,,3,41869 627027 627028,,41869,matched,41869 627027 627028,3,Cs1 Mn1 Sb1,129
831,KMnP,P4/nmm,129,SM,no,,,,FM,,,3,41882 89592 89593,,41882,matched,41882 89592 89593,3,K1 Mn1 P1,129
832,KMnAs,P4/nmm,129,SM,no,,,,FM,,,8,41883 60743 60744 60745 42370 66964 66965 615891,,41883,matched,41883 60743 60744 60745,4,As1 K1 Mn1,129
833,MnBaGe,P4/nmm,129,SM,no,,,,FM,,,0,,,42370,matched,42370 66964 66965 615891,4,Ba1 Ge1 Mn1,129
834,CaMnGe,P4/nmm,129,SM,no,,,,FM,,,3,66957 52758 66956,66957(b),52758,matched,52758 66956 66957,3,Ca1 Ge1 Mn1,129
835,MnSrGe,P4/nmm,129,SM,no,,,,FM,,,3,53707 66960 66961,,53707,matched,53707 66960 66961,3,Ge1 Mn1 Sr1,129
836,NaMnBi,P4/nmm,129,SM,no,,,,FM,,,5,60736 60737 60738 601587 616814,,60736,matched,60736 60737 60738 601587 616814,5,Bi1 Mn1 Na1,129
837,CaMnSi,P4/nmm,129,SM,no,,,,FM,,,3,66949 66954 66955,,66949,matched,66949 66954 66955,3,Ca1 Mn1 Si1,129
838,SrMnSn,P4/nmm,129,SM,no,,,,FM,,,3,66951 66962 66963,,66951,matched,66951 66962 66963,3,Mn1 Sn1 Sr1,129
839,LaMnSi,P4/nmm,129,SM,no,,,,FM,,,4,75046 75047 85849 641449,,75046,matched,75046 75047 85849 641449,4,La1 Mn1 Si1,129
840,MnYSi,P4/nmm,129,TI,no,,,,FM,,,2,76235 643705,,76235,matched,76235 643705,2,Mn1 Si1 Y1,129
841,LaMnGe,P4/nmm,129,SM,no,,,,FM,,,3,80007 80008 85857,,80007,matched,80007 80008 85857,3,Ge1 La1 Mn1,129
842,LaFeSi,P4/nmm,129,SM,no,,,,NM,,,3,85853 632432 656907,,85853,matched,85853 632432 656907,3,Fe1 La1 Si1,129
843,LaCoGe,P4/nmm,129,Triv.,no,,,,FM,,,1,85860,,85860,matched,85860,1,Co1 Ge1 La1,129
844,KMnSb,P4/nmm,129,SM,no,,,,FM,,,3,89590 89591 602269,,89590,matched,89590 89591 602269,3,K1 Mn1 Sb1,129
845,RbMnP,P4/nmm,129,SM,no,,,,FM,,,3,89594 89595 643229,,89594,matched,89594 89595 643229,3,Mn1 P1 Rb1,129
846,RbMnAs,P4/nmm,129,SM,no,,,,FM,,,3,89596 89597 610910,,89596,matched,89596 89597 610910,3,As1 Mn1 Rb1,129
