num,formula,space_group_symbol,space_group_number,topology_at_Ef,is_top_candidate,best_figure,best_figure_number,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels,material_id,verification,icsd_ids_verified,n_icsd_verified,site_formula,site_space_group_number
36,BaCu(P2O7),P1̄,2,TI,no,,,b,FM,,HQ,1,66534,,66534,matched,66534,1,Ba1 Cu1 O7 P2,2
37,BaCu(P2O7),P1̄,2,TI,no,,,b,,,HQ,1,192060,,192060,matched,192060,1,Ba1 Cu1 O7 P2,2
38,Bi2Pb2V2O10,P1̄,2,Triv.,no,,,b,NM,,HQ,1,56791,,56791,matched,56791,1,Bi2 O10 Pb2 V2,2
39,PbBiO(VO4),P1̄,2,Triv.,no,,,b,NM,,,2,419126 419121,,419121,matched,419121 419126,2,Bi1 O5 Pb1 V1,2
40,CaCl2(H2O)4,P1̄,2,Triv.,no,,,,NM,,,1,8061,,8061,matched,8061,1,H8 Ca1 Cl2 O4,2
41,Ca(Ge2O5),P1̄,2,Triv.,no,,,"b,s",NM,,,12,14005 151568 151569 151570 151571 151572 151573 151574 151575 151576 151577 151586,,14005,matched,14005 151568 151569 151570 151571 151572 151573 151574 151575 151576 151577 151586,12,Ca1 Ge2 O5,2
42,(Zn(H2O)6)(SnF3)2,P1̄,2,Triv.,no,,,,,,HQ,1,166589,,166589,matched,166589,1,H12 F6 O6 Sn2 Zn1,2
43,Mg2B2O5,P1̄,2,Triv.,no,,,b,NM,,,2,24789 79721,,24789,matched,24789 79721,2,B2 Mg2 O5,2
44,Cs2(Sn2S4(S2)),P1̄,2,Triv.,no,,,,NM,,HQ,1,73008,,73008,matched,73008,1,Cs2 S6 Sn2,2
45,V2Te2O7F2,P1̄,2,Triv.,no,,,b,FM,,HQ,1,173748,,173748,matched,173748,1,F2 O7 Te2 V2,2
46,Na2Pd(SeO4)2,P1̄,2,Triv.,no,,,b,NM,,HQ,1,249506,,249506,matched,249506,1,Na2 O8 Pd1 Se2,2
47,Ag(PdF6),P1̄,2,TI,no,,,"b,s",FM,,HQ,1,51507,,51507,matched,51507,1,Ag1 F6 Pd1,2
48,K2Co(SeO4)2(H2O)2,P1̄,2,SM,no,,,,AFM,,HQ,1,98686,,98686,matched,98686,1,H4 Co1 K2 O10 Se2,2
49,Na(BSi3O8),P1̄,2,Triv.,no,,,"b,s",NM,,,1,16907,,16907,matched,16907,1,B1 Na1 O8 Si3,2
50,PbBiO(PO4),P1̄,2,Triv.,no,,,,NM,,HQ,1,419125,,419125,matched,419125,1,Bi1 O5 P1 Pb1,2
51,LiFe(SO4)F,P1̄,2,Triv.,no,,,b,AFM,,,3,180389 182944 194597,,180389,matched,180389 182944 194597,3,F1 Fe1 Li1 O4 S1,2
52,InAsO4(H2O),P1̄,2,Triv.,no,,,,NM,,HQ,1,170760,,170760,matched,170760,1,H2 As1 In1 O5,2
53,Al11Mn4,P1̄,2,SM,no,,,,FM,,,2,10509 57975,,10509,matched,10509 57975,2,Al11 Mn4,2
54,Na2Cu(C2O4)2(H2O)2,P1̄,2,SM,no,,,,FM,,HQ,1,40090,,40090,matched,40090,1,C4 H4 Cu1 Na2 O10,2
55,Sc(PS4),P1̄,2,Triv.,no,,,b,NM,,HQ,1,67559,,67559,matched,67559,1,P1 S4 Sc1,2
56,Au4Cl8,P1̄,2,Triv.,no,,,,NM,,HQ,1,201436,,201436,matched,201436,1,Au4 Cl8,2
57,NaYP2S6,P1̄,2,Triv.,no,,,,,,,1,431533,,431533,matched,431533,1,Na1 P2 S6 Y1,2
58,NaZnP2O6OH,P1̄,2,Triv.,no,,,,NM,,HQ,1,39491,,39491,matched,39491,1,H1 Na1 O7 P2 Zn1,2
59,PbPt2O4,P1̄,2,TI,no,,,"k∗,b",NM,,HQ,2,59657 82204,,59657,matched,59657 82204,2,O4 Pb1 Pt2,2
60,Sr2MgMoO6,P1̄,2,Triv.,no,,,"b,s",,,HQ,1,173119,,173119,matched,173119,1,Mg1 Mo1 O6 Sr2,2
61,Sr(OH)Cl(H2O)4,P1̄,2,Triv.,no,,,,NM,,,1,71446,,71446,matched,71446,1,H9 Cl1 O5 Sr1,2
62,YBr(MoO4),P1̄,2,Triv.,no,,,b,,,,1,242056,,242056,matched,242056,1,Br1 Mo1 O4 Y1,2
63,YBr(WO4),P1̄,2,Triv.,no,,,b,NM,,HQ,1,428802,,428802,matched,428802,1,Br1 O4 W1 Y1,2
