num,formula,space_group_symbol,space_group_number,topology_at_Ef,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels
553,CaCO3,Pnma,62,Triv.,,,,,66,252923 252924 15194 15198 32100 34308 52152 56090 157992 157993 157994 157995 157996 157997 161817 166085 166086 166087 169890 169891 169892 169893 169894 169895 169896 169897 169898 169899 169900 169901 169902 169903 169904 169905 169906 169907 169909 169910 169911 169912 170225 190072 252901 252902 252903 252904 252905 252907 252908 252909 252910 252911 252912 252913 252914 252915 252916 252917 252918 252919 252920 252921 252922 27827 157301 157302,
554,K2(SnCl3)Cl(H2O),Pnma,62,Triv.,,NM,,,1,290298,
555,(TaCl5)(SOCl2),Pnma,62,Triv.,,NM,,,1,411518,
556,Rb2(CO3),Pnma,62,Triv.,,NM,,HQ,1,414122,
557,Sr(CO3),Pnma,62,Triv.,,NM,,HQ,8,15195 27293 56099 166088 202793 15196 26718 56100,15196(k) 26718(k) 56100(k)
558,Ba(CO3),Pnma,62,Triv.,,NM,,HQ,23,91888 91889 91890 91891 91892 91893 91894 91895 91896 158378 158379 158380 158381 158382 158383 158384 158385 158386 166090 158387 158388 166091 190075,91888(k) 91889(k) 158378(k) 158379(k) 158380(k) 158381(k) 158382(k) 166090(k) 166091(k) 190075(k)
559,K(BF4),Pnma,62,Triv.,,NM,,HQ,3,9875 21081 22260,
560,NH4SO3F,Pnma,62,Triv.,,,,,1,16146,
561,Ba(SO4),Pnma,62,Triv.,,NM,,HQ,24,33733 33734 33735 44414 68308 76926 100623 154286 167519 180337 180338 180339 186426 190065 200112 16916 31896 44415 75955 75956 92609 109432 154273 190064,
562,Pb(SO4),Pnma,62,Triv.,,NM,,HQ,0,,
563,Pb(BeF4),Pnma,62,Triv.,,NM,,HQ,1,24568,
564,In(BF4),Pnma,62,Triv.,,NM,,HQ,1,50218,
565,Tl(BF4),Pnma,62,Triv.,,NM,,HQ,1,300222,
566,Cs(NH2SO3),Pnma,62,Triv.,,NM,,,1,180845,
567,Rb2PO3F,Pnma,62,Triv.,,NM,,HQ,2,172343 172344,
568,Cs2PO3F,Pnma,62,Triv.,,NM,,HQ,2,172345 172346,
569,K2PO3F,Pnma,62,Triv.,,NM,,HQ,2,200441 15691,
570,Rb(CN3H4),Pnma,62,Triv.,,NM,,,2,422591 425942,
571,Cs(SCN),Pnma,62,Triv.,,NM,,,17,19001 60523 60870 60871 60872 60873 60874 60875 60876 60877 60878 60879 93070 93072 93074 93076 93078,
572,Cs(SO2F),Pnma,62,Triv.,,NM,,HQ,0,,
573,(F5S)(CN),Pnma,62,Triv.,,NM,,,3,413755 413756 413757,
574,(H3O)FSO3,Pnma,62,Triv.,,NM,,,1,33866,
575,K2OsNCl5,Pnma,62,Triv.,,NM,,,2,27560 28208,
576,K2(MoOCl5),Pnma,62,SM,,FM,,,1,28215,
