num,formula,space_group_symbol,space_group_number,topology_at_Ef,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels
776,Te(OTeF5)6,R3̄,148,Triv.,,NM,,,1,2174,
777,C2H30MgO18S2,R3̄,148,Triv.,,NM,,,2,5391 169171,
778,(Re(CO)3I3)2Re,R3̄,148,SM,,FM,,HQ,1,15497,
779,(Co(NH3)6)(Os(SCN)6),R3̄,148,SM,,,,,1,92479,
780,(N(CH3)4)2(OsF6),R3̄,148,Triv.,,FM,,,1,151185,
781,(Cu(XeF2)6)(SbF6)2,R3̄,148,SM,,,,,1,416303,
782,Ba2Co(B3O6)2,R3̄,148,SM,b,AFM,,HQ,1,391014,
783,Co(ClO4)2,R3̄,148,SM,b,FM,,,1,33288,
784,Ni(ClO4)2,R3̄,148,Triv.,b,FM,,,1,33289,
785,(Co(H2O)6)(SiF6),R3̄,148,SM,,FM,,HQ,1,2900,
786,Zn(TiF6)(H2O)6,R3̄,148,Triv.,,NM,,HQ,2,62375 202787,
787,Co(SnF6)(H2O)6,R3̄,148,SM,,FM,,HQ,1,75984,
788,Mn(TiF6)(H2O)6,R3̄,148,SM,,AFM,,HQ,1,202786,
789,(Co(NH3)6)(Cr(CN)6),R3̄,148,SM,,FM,,,2,805 806,
790,(Co(NH3)6)(Mn(CN)6),R3̄,148,Triv.,,,,,1,260055,
791,(Co(NH3)6)(Fe(CN)6),R3̄,148,SM,,FM,,,2,411630 421507,
792,K2SrNb6Cl18,R3̄,148,Triv.,,,,HQ,1,280933,
793,Cs2Pb(NbCl3)6,R3̄,148,Triv.,,NM,,HQ,1,409544,
794,(HSiO1.5)8,R3̄,148,Triv.,"b,s",NM,,HQ,2,27154 75244,
795,K(Os(NH3)6)(ClO4)2Cl2,R3̄,148,SM,,FM,,,1,87619,
796,K(Cr(NH3)6)(ClO4)2Cl2,R3̄,148,SM,,FM,,,1,87621,
797,Rb(Ru(NH3)6)(ClO4)2Cl2,R3̄,148,SM,,FM,,,2,280492 280493,
798,Cs(Ru(NH3)6)(ClO4)2Cl2,R3̄,148,SM,,FM,,,1,280495,
799,Cs(Cr(NH3)6)(ClO4)2Cl2,R3̄,148,SM,,FM,,,1,280497,
800,Cs(Cr(NH3)6)(ClO4)2Br2,R3̄,148,SM,,FM,,,1,280499,
801,CsReF6,R3̄,148,SM,,FM,,HQ,1,201511,
802,Ba(IrF6),R3̄,148,SM,,,,HQ,1,240981,
803,Li8(IrO6),R3̄,148,SM,,FM,,HQ,1,61217,
804,CdCrF6,R3̄,148,Triv.,b,FM,,,1,10346,
805,NiSnF6,R3̄,148,SM,"b,s",FM,,,1,25015,
806,CuSnF6,R3̄,148,SM,"b,s",FM,,,1,25016,
807,CaPtF6,R3̄,148,Triv.,"b,s",NM,,,1,37443,
808,ZnPtF6,R3̄,148,Triv.,"b,s",NM,,,1,37444,
809,Cd(PtF6),R3̄,148,Triv.,"b,s",NM,,,2,37445 78906,
810,NiPtF6,R3̄,148,SM,"b,s",FM,,,2,37448 78905,
811,PdPtF6,R3̄,148,SM,"b,s",FM,,,1,64661,
812,Li(IrF6),R3̄,148,Triv.,"b,s",FM,,HQ,2,95777 165207,
813,Li(OsF6),R3̄,148,SM,"b,s",FM,,HQ,3,165206 165213 165214,
814,Li(PtF6),R3̄,148,SM,"b,s",FM,,HQ,1,165208,
815,Ca(SiF6),R3̄,148,Triv.,,,,HQ,1,183914,
816,Na(AsF6),R3̄,148,Triv.,,NM,,HQ,2,184562 184563,
817,Na2Mg(CO3)2,R3̄,148,Triv.,b,NM,,HQ,2,9518 100482,
818,AgGe2(PO4)3,R3̄,148,Triv.,b,,,,1,425869,
819,Na2Pt(IO3)6,R3̄,148,Triv.,b,,,,1,291621,
820,K2Pt(IO3)6,R3̄,148,Triv.,b,,,,1,291622,
821,Rb2Pt(IO3)6,R3̄,148,Triv.,,,,,1,291623,
822,Cs2Pt(IO3)6,R3̄,148,Triv.,,,,,1,291624,
823,KCo(Au(CN)2)3,P312,149,SM,"k∗,b",FM,,HQ,1,201056,
824,K(Ni(Au(CN)2)3),P312,149,SM,"k∗,b",FM,,,1,249724,
825,KMn(Ag(CN)2)3,P312,149,SM,"k∗,b",FM,,HQ,6,281280 262503 262504 262505 262506 262507,
826,BaCa(CO3)2,P321,150,Triv.,,NM,,HQ,1,100477,
827,CaCl2(H2O)6,P321,150,Triv.,,NM,,,2,1140 59142,
828,CaBr2(H2O)6,P321,150,Triv.,,,,,1,1141,
829,SrCl2(H2O)6,P321,150,Triv.,,,,HQ,2,48110 59143,
830,K2(S2O6),P321,150,Triv.,,NM,,HQ,3,36154 16661 82843,36154(b)
831,CaMg3(CO3)4,R32,155,Triv.,b,NM,,HQ,1,201729,
832,Sr(Al2B2O7),R32,155,Triv.,b,,,HQ,1,89423,
833,NaK(TeO3)(H2O)3,P31c,159,Triv.,,NM,,HQ,1,24781,
834,KLi(SO4),P31c,159,Triv.,b,NM,,,2,62981 71365,
835,Ca3(SiO4)O,R3m,160,Triv.,"k∗,b",NM,,HQ,2,22501 24625,
836,(V(H2O)3F3),R3m,160,SM,,AFM,,HQ,1,69571,
837,(N(CH3)3)(BH3),R3m,160,Triv.,,,,HQ,1,249799,
838,(Cl2B)3B(CO),R3m,160,Triv.,,NM,,HQ,1,280617,
839,Ba(CO3),R3m,160,Triv.,,NM,,HQ,2,158389 158390,
840,Rb4(CO4),R3m,160,Triv.,,NM,,,1,245430,
841,(NH3OH)3FeF6,R3c,161,SM,,FM,,,1,424249,
842,(CH2)3O3,R3c,161,Triv.,,NM,,HQ,2,151224 151343,
843,Ca3(C6N6O6),R3c,161,Triv.,,NM,,,1,428357,
844,LiCaNiF6,P3̄1c,163,SM,"b,s",FM,,,1,32732,
845,LiSrNiF6,P3̄1c,163,SM,"b,s",FM,,,1,32733,
846,LiCaCrF6,P3̄1c,163,SM,b,FM,,,1,73985,
847,Na3(CrCl6),P3̄1c,163,SM,b,FM,,HQ,1,62035,
848,Hg(B(CN)4)2,P3̄m1,164,Triv.,b,,,HQ,1,412297,
849,Cs2Na(TiF6),P3̄m1,164,SM,"b,s",FM,,HQ,1,67160,
850,(Hg(H2O)6)(ClO4)2,P3̄m1,164,Triv.,,NM,,HQ,1,1640,
851,(Co(H2O)6)(BrO4)2,P3̄m1,164,SM,,AFM,,HQ,1,73397,
852,K2(ReF6),P3̄m1,164,SM,k∗,FM,,HQ,1,1528,
853,K2PtF6,P3̄m1,164,Triv.,,NM,,,2,87360 16892,87360(k)
854,Cs2PtF6,P3̄m1,164,Triv.,,NM,,HQ,1,35107,
855,Rb2PtF6,P3̄m1,164,Triv.,k∗,NM,,HQ,1,35108,
856,K2(IrF6),P3̄m1,164,SM,k∗,FM,,HQ,1,95779,
857,Cs2(TcF6),P3̄m1,164,SM,,FM,,HQ,1,425912,
858,K2(TcF6),P3̄m1,164,SM,k∗,FM,,HQ,1,425914,
859,Na2(TcF6),P3̄m1,164,SM,,FM,,HQ,1,425915,
860,Rb2(TcF6),P3̄m1,164,SM,k∗,,,HQ,1,425918,
861,K2(SO3),P3̄m1,164,Triv.,,NM,,HQ,1,60762,
862,NaK3(PO3F)2,P3̄m1,164,Triv.,,,,HQ,1,1904,
863,BaNa2Co(VO4)2,P3̄m1,164,SM,"k∗,b",,,,1,429826,
864,Rb2(IrF6),P3̄m1,164,SM,k∗,FM,,HQ,1,240955,
865,Cs2(IrF6),P3̄m1,164,SM,,FM,,HQ,1,240956,
866,Os(S2Cl12),R3̄m,166,Triv.,,FM,,HQ,1,74680,
867,K4Xe3O12,R3̄m,166,Triv.,"k∗,b",,,,1,253443,
868,Cs2Na(FeF6),R3̄m,166,TI,,FM,,,2,9003 16255,"9003(b,s)"
869,Cs2NaMnF6,R3̄m,166,Triv.,"b,s",FM,,HQ,1,37006,
870,Cs2Na(NiF6),R3̄m,166,TI,"b,s",,,,1,42152,
871,Cs2Na(TiF6),R3̄m,166,Triv.,"b,s",FM,,,1,42153,
872,Cs4K(Li(FeF6)2),R3̄m,166,TI,"b,s",FM,,HQ,1,78928,
873,PbPtF6,R3̄m,166,Triv.,,NM,,,1,4057,
874,Ba(RhF6),R3̄m,166,SM,,FM,,,1,6038,
875,BaCrF6,R3̄m,166,SM,,FM,,,1,10341,
876,SrCrF6,R3̄m,166,SM,,FM,,,1,10342,
877,Sr(RhF6),R3̄m,166,SM,,FM,,,1,42158,
878,K(AuF6),R3̄m,166,Triv.,,,,HQ,1,415874,
879,K2Mg(CO3)2,R3̄m,166,Triv.,b,NM,,HQ,1,31295,
880,K(Cr(NH3)6)(ClO4)2Cl2,R3̄m,166,SM,,FM,,,1,87620,
881,K(Ru(NH3)6)(ClO4)2Cl2,R3̄m,166,SM,,FM,,,2,280489 280490,
882,O2,R3̄m,166,Triv.,,FM,SC∗,HQ,5,15535 43430 173934 190368 190369,
883,Re3Cl9,R3̄m,166,Triv.,k∗,NM,,HQ,1,14209,
884,ReCl3,R3̄m,166,Triv.,,NM,,HQ,1,62222,
885,Rb(C(CN)3),R3̄c,167,Triv.,,,,HQ,1,428450,
886,Cs(C(CN)3),R3̄c,167,Triv.,,,,HQ,1,428451,
887,((H2O)6Cr)Cl3,R3̄c,167,SM,,FM,,,1,66000,
888,(Bi5)(GaCl4)3,R3̄c,167,Triv.,"b,s",NM,,,1,81468,
889,Bi5(AlCl4)3,R3̄c,167,Triv.,"b,s",NM,,,2,201993 420082,
890,Sr3(BO3)2,R3̄c,167,Triv.,,NM,,HQ,1,93395,
891,K3(Cr(OH)6),R3̄c,167,SM,,AFM,,,1,62653,
892,Rb3(Cr(OH)6),R3̄c,167,SM,,FM,,,1,72315,
893,InSr3(NiO6),R3̄c,167,SM,"b,s",AFM,,HQ,1,81660,
894,K3NaMnCl6,R3̄c,167,SM,"b,s",FM,,HQ,1,290109,
895,Rb6Cl4O,R3̄c,167,Triv.,b,NM,,HQ,1,405193,
896,Cs6Cl4O,R3̄c,167,Triv.,"b,s",NM,,HQ,1,411634,
897,Rb6Br4O,R3̄c,167,Triv.,,NM,,HQ,1,411955,
898,Rb3B3O6,R3̄c,167,Triv.,,NM,,HQ,1,59826,
899,Cs(BO2),R3̄c,167,Triv.,,NM,,HQ,1,74888,
900,Rb3(B3S6),R3̄c,167,Triv.,,NM,,HQ,1,79615,
901,K3F(CO3),R3̄c,167,Triv.,"b,s",NM,,HQ,1,66028,
902,Rb3F(CO3),R3̄c,167,Triv.,"b,s",NM,,HQ,1,66029,
903,K3(AuSe2),R3̄c,167,Triv.,,NM,,HQ,1,402000,
904,K3SbS3(Sb2O3)3,P63,173,Triv.,"b,s",NM,,,1,4215,
905,NaPO3NH3,P63,173,Triv.,,NM,,,1,16608,
906,PS(N(CH3)NH2)3,P63,173,Triv.,,NM,,,1,189680,
907,(Sn(H2O)3)(ClO4)2,P63,173,Triv.,,NM,,,2,237716 253553,
908,Sn(SnCl)(W3Cl13),P63,173,Triv.,,NM,,,1,421915,
909,Al(IO3)3,P63,173,Triv.,"b,s",NM,,HQ,1,152758,
910,Li(IO3),P63,173,Triv.,b,NM,,,21,9508 14377 14344 35472 35473 35474 35475 35476 40358 40359 40360 40361 40362 40363 40364 40365 46025 46026 46027 80025 80026,9508(s) 14377(s) 35475(s) 40362(s) 46027(s) 80025(s) 80026(s)
911,KLi(SO4),P63,173,Triv.,b,NM,,HQ,10,20851 33251 36038 36471 48136 56106 71364 88827 88828 280391,
912,LiNa(CO3),P6̄,174,Triv.,b,NM,,,3,80459 89650 89651,
913,TcOF4,P63/m,176,SM,,FM,,,1,16143,
914,B(OTeF5)3,P63/m,176,Triv.,,NM,,,1,27200,
915,TlCu(OH)(CO3),P63/m,176,SM,"k,b",FM,,,1,74875,
916,Na(W6NCl18),P63/m,176,Triv.,b,,,,1,414409,
917,Sr5(PO4)3Cl,P63/m,176,Triv.,,NM,,,4,2089 80084 80085 253053,
918,Sr10(PO4)6F2,P63/m,176,Triv.,b,NM,,,1,163792,
919,Ca5(PO4)3Cl,P63/m,176,Triv.,,NM,,,3,184824 184825 670545,
920,B(OCH3)3,P63/m,176,Triv.,,NM,,,1,245045,
921,BaZn(CO3)F2,P63/m,176,Triv.,b,NM,,HQ,1,95739,
922,Fe2(CO)9,P63/m,176,Triv.,b,NM,,,2,6010 31030,
923,SiO2,P622,177,Triv.,"b,s",NM,,,3,170519 170520 170522,
924,CsLi(NH2)2,P6222,180,Triv.,,NM,,HQ,1,62654,
925,Ba5(ReO5)3Cl,P63cm,185,Triv.,,NM,,,1,73928,
926,Li8CoO6,P63cm,185,SM,"b,s",FM,,,1,21026,
927,BiCo3(CO)9,P63mc,186,Triv.,,,,,2,62542 66163,
928,(NH4)(In(HPO3)2),P63mc,186,Triv.,"k∗,b",,,,1,188660,
929,((CH3)4P)(FeCl4),P63mc,186,SM,k∗,FM,,,1,194586,
930,Cl4H12N3O3Re,P63mc,186,Triv.,k∗,,,,1,419767,
931,(NH4)2(SiF6),P63mc,186,Triv.,,NM,,,1,280755,
932,(NH4)2(MnF6),P63mc,186,SM,,FM,,,1,406381,
933,Rb2(MnF6),P63mc,186,SM,,,,,1,25578,
934,K2(MnF6),P63mc,186,SM,,FM,,HQ,3,60417 61275 76273,
935,Li(ClO4)(H2O)3,P63mc,186,Triv.,,NM,,HQ,5,1321 1913 1914 27730 32534,
936,SrKF(CO3),P6̄m2,187,Triv.,,NM,,HQ,1,262231,
937,SrRbF(CO3),P6̄m2,187,Triv.,,NM,,HQ,1,262233,
938,KCo(PO3)3,P6̄c2,188,SM,b,AFM,,HQ,1,193216,
939,KZn(BeF3)3,P6̄c2,188,Triv.,b,NM,,HQ,1,18022,
940,RbMgCO3F,P6̄2m,189,Triv.,b,NM,,HQ,2,670338 238611,670338(s)
941,CaRbF(CO3),P6̄2m,189,Triv.,,NM,,HQ,1,262232,
942,CaCsF(CO3),P6̄2m,189,Triv.,,,,HQ,1,262234,
943,K2(HfF6),P6̄2m,189,Triv.,,NM,,,1,47246,
944,N2O5,P63/mmc,194,Triv.,,NM,,,1,30638,
945,N2O5,P63/mmc,194,SM,,NM,,,1,30639,
946,K6(BiCl6)Cl2(H3F4),P63/mmc,194,Triv.,k,NM,,,1,68226,
947,K4(O3(IO3)2),P63/mmc,194,Triv.,"b,s",NM,,,1,25694,
948,(K2(SiF6))(K(NO3)),P63/mmc,194,Triv.,,NM,,HQ,2,159390 417735,
949,Cs(NiF3),P63/mmc,194,SM,"b,s",FM,,,2,15092 61278,
950,Cs2Ni2F6,P63/mmc,194,SM,"b,s",FM,,,1,410394,
951,Rb3((OsBr3)2Br3),P63/mmc,194,Triv.,k∗,NM,,,1,56896,
952,He,P63/mmc,194,Triv.,,NM,,,4,43426 44394 44396 426943,
953,K2(CO3),P63/mmc,194,Triv.,,NM,,,1,52535,
954,Na2(CO3),P63/mmc,194,Triv.,,NM,,,7,81007 81008 81009 81010 81011 81012 81013,
955,Cs3(Mo2O7)Br,P63/mmc,194,Triv.,,,,HQ,1,260595,
956,PF5,P63/mmc,194,Triv.,k∗,NM,,,1,62554,
957,AsF5,P63/mmc,194,Triv.,k∗,NM,,,1,65477,
958,K2Pb(Cu(NO2)6),F23,196,SM,,FM,,,1,36135,
959,Bi12MnO20,I23,197,SM,b,FM,,,1,75079,
960,Bi24Mn2O40,I23,197,SM,b,FM,,,1,75390,
961,Ba(NO3)2,P213,198,Triv.,,,,,1,34902,
962,CsXeF7,P213,198,Triv.,,NM,,,1,404986,
963,NH3,P213,198,Triv.,,NM,,,0,,
964,Na(ClO3),P213,198,Triv.,,NM,,,24,638341 29321 84461 300149 1117 1301 16714 22395 26684 28830 31121 31167 31168 80337 80338 80339 80340 80341 1302 22396 28831 30208 47174 31166,1302(b) 30208(b) 47174(b)
965,Na(BrO3),P213,198,Triv.,,NM,,HQ,0,,
966,Tl(Co(CO)4),P213,198,Triv.,,NM,,,3,6011 31361 31362,
967,Tl(Fe(CO)3(NO)),P213,198,Triv.,,NM,,,1,66317,
968,K2Pb(Ni(NO2)6),Fm3̄,202,SM,,FM,,HQ,1,1937,
969,Cs2PbCu(NO2)6,Fm3̄,202,SM,,FM,,HQ,2,2381 56254,
970,K2Pb(Cu(NO2)6),Fm3̄,202,SM,,FM,,HQ,3,16127 26228 26749,
971,K2Ca(Ni(NO2)6),Fm3̄,202,SM,,FM,,,1,26748,
972,N2O4,Im3̄,204,Triv.,,NM,,,5,52347 29047 201140 201141 201142,
973,CaCu3Ge4O12,Im3̄,204,SM,"k,b",FM,,,2,1303 184279,
974,CaCu3(Sn4O12),Im3̄,204,SM,"k,b",FM,,HQ,2,162100 184281,
975,SrCu3(Sn4O12),Im3̄,204,SM,"k,b",FM,,HQ,1,162101,
976,PbCu3(Sn4O12),Im3̄,204,SM,"k,b",FM,,HQ,1,162102,
977,Cs(NO3),Pa3̄,205,Triv.,,NM,,,1,35555,
978,(IF6)(AsF6),Pa3̄,205,Triv.,,NM,,,1,249129,
979,N,Pa3̄,205,Triv.,,NM,,,1,426956,
980,N2,Pa3̄,205,Triv.,,NM,,,3,15472 26482 28179,
981,NaO2,Pa3̄,205,SM,,FM,,,2,26582 87178,
982,Ba(NO3)2,Pa3̄,205,Triv.,,NM,,,5,35495 52353 95594 95595 109281,
983,(O2)(SbF6),Ia3̄,206,SM,,FM,,,1,78849,
984,K(SbF6),Ia3̄,206,Triv.,,NM,,,2,76422 76653,
985,Li2NiGe3O8,P4332,212,SM,"k∗,b",FM,,,1,68339,
986,Cs3(Mo4O4)(PO4)3,P4̄3m,215,Triv.,"k,b",FM,,HQ,1,62225,
987,K4(CO4),P4̄3m,215,Triv.,,NM,,,1,245417,
988,Rb4(CO4),P4̄3m,215,Triv.,,NM,,,1,245429,
989,LiCo(CO)4,P4̄3m,215,Triv.,,NM,,HQ,1,30854,
990,Ag(B(CN)4),P4̄3m,215,Triv.,,NM,,HQ,1,411179,
991,Ba(SO4),F4̄3m,216,Triv.,"k∗,p∗",NM,,,2,23743 62368,
992,SrSO4,F4̄3m,216,Triv.,"k∗,p∗",NM,,,1,23744,
993,K(ClO4),F4̄3m,216,Triv.,"k∗,p∗",NM,,,1,33562,
994,Tl(ClO4),F4̄3m,216,Triv.,"k∗,p∗",NM,,,1,33564,
995,Cs(ClO4),F4̄3m,216,Triv.,"k∗,p∗",NM,,,1,33566,
996,Na(ClO4),F4̄3m,216,Triv.,"k∗,p∗",NM,,,1,33567,
997,Ag(ClO4),F4̄3m,216,Triv.,"k∗,p∗",NM,,,1,33568,
998,CsFe(H2O)6PO4,F4̄3m,216,Triv.,,FM,,HQ,1,172377,
999,Cs(Mg(H2O)6)(AsO4),F4̄3m,216,Triv.,,NM,,HQ,1,260150,
1000,Cs(Mg(H2O)6)(PO4),F4̄3m,216,Triv.,,NM,,HQ,1,281563,
1001,CsNi(Cr(CN)6),F4̄3m,216,SM,,,,,1,56603,
1002,KI,F4̄3m,216,Triv.,,,,,1,674991,
1003,NaF,F4̄3m,216,Triv.,,,,,1,674994,
1004,RbI,F4̄3m,216,Triv.,,,,,1,674999,
1005,(Zn(NH3)4)(ClO4)2,F4̄3m,216,Triv.,,NM,,HQ,1,74790,
1006,(Zn(NH3)4)(MnO4)2,F4̄3m,216,Triv.,,NM,,,1,162384,
1007,(Ru(CO)3)4Se4,I4̄3m,217,Triv.,,NM,,,1,92913,
1008,(Li(NH3)4)3(AsSe4),I4̄3m,217,Triv.,k,NM,,,1,409539,
1009,K3(BiO3),I4̄3m,217,Triv.,b,NM,,HQ,1,407293,
1010,Ca8(Al12O24)S2,I4̄3m,217,Triv.,"b,s",NM,,HQ,1,67589,
1011,Sr8(Al12O24)S2,I4̄3m,217,Triv.,"b,s",NM,,HQ,1,67590,
1012,Sr8(AlO2)12Te2,I4̄3m,217,Triv.,"b,s",NM,,HQ,1,82609,
1013,Na8(Al6Ge6O24)I2,P4̄3n,218,Triv.,"b,s",NM,,,2,65666 85349,
1014,Na8(Al6Si6O24)I2,P4̄3n,218,Triv.,"b,s",NM,,,2,68960 71434,
1015,Li8Br2(Be6P6O24),P4̄3n,218,Triv.,"b,s",NM,,,1,80472,
1016,Li8(GaSiO4)6Br2,P4̄3n,218,Triv.,"b,s",NM,,,1,87988,
1017,Li8(GaSiO4)6I2,P4̄3n,218,Triv.,"b,s",NM,,,1,87989,
1018,Li8(AlGeO4)6Br2,P4̄3n,218,Triv.,b,NM,,,1,87991,
1019,Li8(AlGeO4)6I2,P4̄3n,218,Triv.,b,NM,,,1,87992,
1020,Mg3(B7O13Cl),F4̄3c,219,Triv.,"k,b",NM,,,2,30351 30615,30351(s)
1021,(Si5Cl12)(SiCl4),F4̄3c,219,Triv.,,NM,,,1,2767,
1022,YF3,Pm3̄m,221,Triv.,k,NM,,,1,15961,
1023,LaF3,Fm3̄m,225,Triv.,,NM,,,2,164054 167556,
1024,Cs2Li(Fe(CN)6),Fm3̄m,225,SM,,FM,,HQ,6,1000 1001 10179 60540 60541 60542,
1025,Cs2Li(Cr(CN)6),Fm3̄m,225,SM,,FM,,,2,6085 68068,
1026,Cs2MgFe(CN)6,Fm3̄m,225,Triv.,,NM,,,1,6086,
1027,Cs2LiIr(CN)6,Fm3̄m,225,Triv.,,NM,,,1,9032,
1028,Cs2LiMn(CN)6,Fm3̄m,225,Triv.,,FM,,HQ,2,10180 68067,
1029,Cs2Li(Co(CN)6),Fm3̄m,225,Triv.,,NM,,HQ,4,10181 23204 60538 60539,
1030,MnCs2(Fe(CN)6),Fm3̄m,225,SM,,FM,,HQ,1,151695,
1031,CdCs2(Fe(CN)6),Fm3̄m,225,Triv.,,NM,,HQ,1,151696,
1032,NiCs2(Fe(CN)6),Fm3̄m,225,SM,,FM,,HQ,1,151706,
1033,Cs2Co(Fe(CN)6),Fm3̄m,225,SM,,,,HQ,1,416443,
1034,Rb2NaFeF6,Fm3̄m,225,SM,b,FM,,,3,4030 40966 42146,"4030(k,s) 40966(k,s)"
1035,Cs2KMoF6,Fm3̄m,225,SM,b,FM,,,1,4053,
1036,Cs2K(RhF6),Fm3̄m,225,Triv.,,NM,,,1,4056,
1037,K3MoF6,Fm3̄m,225,SM,b,FM,,HQ,1,4403,
1038,Cs2K(TiF6),Fm3̄m,225,SM,,FM,,,2,6035 67146,
1039,Cs2Tl(FeF6),Fm3̄m,225,SM,,FM,,,1,6036,
1040,Cs2K(CoF6),Fm3̄m,225,Triv.,,NM,,,1,6037,
1041,Cs2K(NiF6),Fm3̄m,225,SM,,FM,,,1,6039,
1042,Rb2K(FeF6),Fm3̄m,225,SM,,FM,,,3,9001 40967 42145,
1043,Cs2NaBiF6,Fm3̄m,225,Triv.,"k∗,b,s",NM,,,1,9382,
1044,Rb2NaBiF6,Fm3̄m,225,Triv.,"k∗,b,s",NM,,,1,9386,
1045,Cs2KCrF6,Fm3̄m,225,SM,,FM,,,1,9705,
1046,Rb2NaCrF6,Fm3̄m,225,SM,"k∗,b,s",FM,,,1,9706,
1047,Rb2K(CrF6),Fm3̄m,225,SM,b,FM,,,1,9707,
1048,Cs2TlMoF6,Fm3̄m,225,SM,b,FM,,,1,15772,
1049,KRb2MoF6,Fm3̄m,225,SM,b,FM,,,1,15773,
1050,K2NaMoF6,Fm3̄m,225,SM,"k∗,b,s",FM,,,1,15777,
1051,Cs2K(AgF6),Fm3̄m,225,SM,"k∗,b,s",FM,,,1,16783,
1052,K2NaCrF6,Fm3̄m,225,SM,"k∗,b,s",FM,,,2,22199 40965,
1053,K2Na(FeF6),Fm3̄m,225,SM,"k∗,b,s",FM,,,2,22200 61277,
1054,Rb2KRhF6,Fm3̄m,225,Triv.,b,NM,,,1,27339,
1055,Rb2NaRhF6,Fm3̄m,225,Triv.,"k∗,b,s",NM,,,1,27341,
1056,K2NaRhF6,Fm3̄m,225,Triv.,"k∗,b,s",NM,,,1,27342,
1057,Cs2TlVF6,Fm3̄m,225,SM,,FM,,,1,27343,
1058,Cs2KVF6,Fm3̄m,225,SM,,FM,,,1,27344,
1059,Rb2KVF6,Fm3̄m,225,SM,b,FM,,,1,27345,
1060,Cs2NaMnF6,Fm3̄m,225,Triv.,b,FM,,,1,37005,
1061,Rb2K(TiF6),Fm3̄m,225,SM,b,FM,,,2,42142 67147,
1062,Rb2Na(TiF6),Fm3̄m,225,SM,"k∗,b,s",FM,,,1,42143,
1063,Cs2K(FeF6),Fm3̄m,225,SM,,FM,,,1,42144,
1064,Rb2K(NiF6),Fm3̄m,225,SM,b,FM,,,1,42149,
1065,Tl3(TiF6),Fm3̄m,225,SM,"k∗,b,s",FM,,,1,42154,
1066,Cs2K(CuF6),Fm3̄m,225,SM,,FM,,HQ,1,59102,
1067,Cs2NaFeF6,Fm3̄m,225,SM,b,FM,,HQ,1,65503,
1068,Cs2KMnF6,Fm3̄m,225,Triv.,,FM,,HQ,1,91037,
1069,K2NaVF6,Fm3̄m,225,SM,"k∗,b,s",FM,,,1,186883,
1070,(NH4)2Na(CrF6),Fm3̄m,225,SM,k∗,FM,,,1,418735,
1071,(NH4)2Na(FeF6),Fm3̄m,225,SM,k∗,FM,,HQ,1,418736,
1072,Rb2CoF6,Fm3̄m,225,SM,,FM,,,1,9701,
1073,Cs2CoF6,Fm3̄m,225,SM,,FM,,,1,9702,
1074,Rb2(MnF6),Fm3̄m,225,SM,,FM,,,3,25579 47207 202536,
1075,Cs2SiF6,Fm3̄m,225,Triv.,,NM,,,2,26871 38548,
1076,Rb2(PdF6),Fm3̄m,225,Triv.,,NM,,,1,28675,
1077,Rb2(CrF6),Fm3̄m,225,SM,,FM,,,1,29006,
1078,Cs2(CrF6),Fm3̄m,225,SM,,FM,,,1,29007,
1079,K2SiF6,Fm3̄m,225,Triv.,,NM,,HQ,4,29407 38546 64763 73722,
1080,Cs2(GeF6),Fm3̄m,225,Triv.,,NM,,,1,35547,
1081,Rb2(SiF6),Fm3̄m,225,Triv.,,NM,,,1,38547,
1082,Cs2(MnF6),Fm3̄m,225,SM,,FM,,,2,47201 76272,
1083,K2(MnF6),Fm3̄m,225,SM,k∗,FM,,,1,47213,
1084,Rb2(GeF6),Fm3̄m,225,Triv.,,NM,,HQ,1,68982,
1085,Cs2(IrCl6),Fm3̄m,225,SM,k∗,FM,,HQ,1,69142,
1086,Cs2(PtF6),Fm3̄m,225,Triv.,,NM,,HQ,1,78955,
1087,Sr2OsH6,Fm3̄m,225,Triv.,k∗,NM,,,1,638409,
1088,Na6MnCl8,Fm3̄m,225,SM,"k,b",FM,,HQ,1,1845,
1089,Li6FeCl8,Fm3̄m,225,Triv.,"k,b",FM,,HQ,1,73217,
1090,Li6VCl8,Fm3̄m,225,SM,"k,b",FM,,,1,100834,
1091,Na6O(SO4)2,Fm3̄m,225,Triv.,k∗,NM,,HQ,1,411442,
1092,KF,Fm3̄m,225,Triv.,,NM,,,7,52241 53824 64686 671925 673325 673985 674974,
1093,CsCl,Fm3̄m,225,Triv.,,NM,,,3,52274 61515 674969,
1094,RbF,Fm3̄m,225,Triv.,,NM,,,3,53828 673989 674982,
1095,Na(MoF6),Fm3̄m,225,SM,,FM,,,2,27484 31033,
1096,Na(PF6),Fm3̄m,225,Triv.,,NM,,HQ,1,90615,
1097,Na(AsF6),Fm3̄m,225,Triv.,,NM,,HQ,2,184564 184565,
1098,SiO2,Fd3̄m,227,Triv.,"b,s",NM,,,6,35536 77458 170476 77459 77460 162620,"35536(k,p) 77458(k,p) 77459(k,p) 77460(k,p) 162620(k,p)"
1099,K2Cd(CN)4,Fd3̄m,227,Triv.,"k,p,b",NM,,,2,23994 168524,
1100,Mg2Na6(CO3)4Br2,Fd3̄m,227,Triv.,"k,p",NM,,,1,27791,
1101,Nb6F15,Im3̄m,229,SM,"b,s",NM,,,2,25769 415950,
