icsd,formula,space_group_number,space_group_symbol,point_group,material_id,curated_flatband,best_flatband,atomic_flatband,high_quality,topology_soc,topology_nosoc,superconductor,nonzero_magnetisation,theory_entry,n_electrons,structure_type,a,b,c,alpha,beta,gamma,n_kagome,n_pyrochlore,n_lieb,n_bipartite,n_split,materials_project,cif_file,cif_symmetry_ops
16,Cu1 N6 O12 Pb1 Tl2,202,Fm-3,<i>m</i>-3,16,1,0,0,1,ESFD (SM),ESFD (SM),0,0,0,123,K2PbCu(NO2)6,10.7344,10.7344,10.7344,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/16,cif/16.cif,96
19,C1 H4 Na4 O9 P2,81,P-4,-4,19,0,0,1,0,Trivial,Trivial,0,0,0,152,,8.489,8.489,6.468,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/19,cif/19.cif,4
24,Cl5 Cs3 Mn1,140,I4/mcm,4/<i>mmm</i>,24,0,0,1,1,ESFD (SM),ESFD (SM),0,0,0,138,Cs3CoCl5,9.21,9.21,14.97,90,90,90,0,0,0,4,0,https://materialsproject.org/materials/icsd/24,cif/24.cif,32
31,Cl10 Cs3 O1 Re2,139,I4/mmm,4/<i>mmm</i>,31,0,0,1,1,ESFD (SM),ESFD (SM),0,0,0,117,Cs3Re2Cl10O,7.393,7.393,17.51,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/31,cif/31.cif,32
58,Li2 O4 S1,14,P21/c,2/<i>m</i>,58,1,0,0,1,Trivial,Trivial,0,0,0,128,Li2SO4,8.239,4.954,8.474,90,107.98,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/58,cif/58.cif,4
103,H12 Cu1 N2 O6 Sn1,2,P-1,-1,103,0,0,1,0,ESFD (SM),ESFD (SM),0,1,0,73,,5.643,6.621,4.885,91.83,93.58,107.69,0,0,0,0,0,https://materialsproject.org/materials/icsd/103,cif/103.cif,2
175,Ba1 Ni1 O3,194,P63/mmc,6/<i>mmm</i>,175,1,0,0,0,Trivial,Trivial,0,0,0,76,BaNiO3,5.629,5.629,4.811,90,90,120,0,0,0,2,0,https://materialsproject.org/materials/icsd/175,cif/175.cif,24
179,K2 N6 Ni1 O12 Sr1,202,Fm-3,<i>m</i>-3,179,1,0,0,1,ESFD (SM),ESFD (SM),0,0,0,140,K2PbCu(NO2)6,10.5063,10.5063,10.5063,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/179,cif/179.cif,96
266,Hg1 K6 S4,186,P63mc,6<i>mm</i>,266,1,0,0,1,Trivial,Trivial,0,1,0,180,K6HgS4,9.987,9.987,7.649,90,90,120,0,0,0,1,0,https://materialsproject.org/materials/icsd/266,cif/266.cif,12
292,H1 Ca2 N1,227,Fd-3m,<i>m</i>-3<i>m</i>,292,1,1,0,0,Trivial,Trivial,0,0,0,40,Ca2HN,10.13,10.13,10.13,90,90,90,2,2,0,0,0,https://materialsproject.org/materials/icsd/292,cif/292.cif,192
372,Cu1 N6 O12 Pb1 Rb2,69,Fmmm,<i>mmm</i>,372,1,0,0,1,ESFD (SM),ESFD (SM),0,0,0,135,K2SrCu2(NO2)6,10.8296,10.8196,10.6113,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/372,cif/372.cif,32
393,Mn1 O2,136,P42/mnm,4/<i>mmm</i>,393,1,1,0,1,ESFD (SM),ESFD (SM),0,0,0,38,Rutile-TiO2,4.3983,4.3983,2.873,90,90,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/393,cif/393.cif,16
406,Ca1 Co2 Ge2,139,I4/mmm,4/<i>mmm</i>,406,1,0,0,0,SEBR (TI),ES (SM),0,0,0,28,ThCr2Si2,4,4,10.33,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/406,cif/406.cif,32
498,Cu1 O3 Se1,62,Pnma,<i>mmm</i>,498,1,0,0,1,ES (SM),ESFD (SM),0,0,0,140,MgSeO3,5.9652,7.3265,5.2828,90,90,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/498,cif/498.cif,8
604,Cl6 K2 Sn1,225,Fm-3m,<i>m</i>-3<i>m</i>,604,1,1,0,1,Trivial,Trivial,0,0,0,64,K2PtCl6,9.99,9.99,9.99,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/604,cif/604.cif,192
605,H8 Cl6 N2 Sn1,225,Fm-3m,<i>m</i>-3<i>m</i>,605,1,1,0,1,Trivial,Trivial,0,0,0,64,K2PtCl6,10.038,10.038,10.038,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/605,cif/605.cif,192
628,O9 P2 Si1 V1,130,P4/ncc,4/<i>mmm</i>,628,0,0,1,0,ESFD (SM),ESFD (SM),0,0,0,292,,8.723,8.723,8.151,90,90,90,0,0,0,4,0,https://materialsproject.org/materials/icsd/628,cif/628.cif,16
645,As1 Na3 S3,198,P213,23,645,1,0,0,1,Trivial,Trivial,0,1,0,104,Na3AsS3,8.566,8.566,8.566,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/645,cif/645.cif,12
804,C6 Cr1 Cs2 Li1 N6,128,P4/mnc,4/<i>mmm</i>,804,0,0,1,0,ESFD (SM),ESFD (SM),0,0,0,158,,7.6,7.6,10.777,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/804,cif/804.cif,16
805,C6 H18 Co1 Cr1 N12,148,R-3,-3,805,0,0,1,0,ESFD (SM),ESFD (SM),0,0,0,117,Co(NH3)6Cr(H2O)6,11.122,11.122,10.864,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/805,cif/805.cif,18
806,C6 H18 Co1 Cr1 N12,148,R-3,-3,805,0,0,1,0,ESFD (SM),ESFD (SM),0,0,0,117,Co(NH3)6Cr(H2O)6,11.148,11.148,10.919,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/806,cif/806.cif,18
830,C1 H4 N1 Na1 O2,14,P21/c,2/<i>m</i>,830,1,0,0,0,Trivial,Trivial,0,0,0,104,,5.968,10.508,6.572,90,102.07,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/830,cif/830.cif,4
836,O3 W1,62,Pnma,<i>mmm</i>,836,1,0,0,0,Trivial,Trivial,0,0,0,192,,7.341,7.57,7.754,90,90,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/836,cif/836.cif,8
849,Cs2 O13 V5,107,I4mm,4<i>mm</i>,849,0,0,1,1,ESFD (SM),ESFD (SM),0,1,0,121,,7.762,7.762,11.746,90,90,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/849,cif/849.cif,16
852,C4 Br2 N4 Pt1 Rb2,14,P21/c,2/<i>m</i>,852,0,0,1,1,Trivial,Trivial,0,0,0,156,Rb2Pt(CN)4Br2,7.281,9.271,8.96,90,106.65,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/852,cif/852.cif,4
859,Co2 O4 Si1,227,Fd-3m,<i>m</i>-3<i>m</i>,859,1,0,0,1,SEBR (TI),ES (SM),0,0,0,92,Spinel-Al2MgO4,8.14,8.14,8.14,90,90,90,1,1,0,3,0,https://materialsproject.org/materials/icsd/859,cif/859.cif,192
869,Cl1 Zr1,166,R-3m,-3<i>m</i>,869,1,0,0,1,SEBR (TI),ESFD (SM),0,0,0,22,ZrCl,3.424,3.424,26.57,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/869,cif/869.cif,36
889,C20 Cl2 In2 Mn4 O20,2,P-1,-1,889,0,0,1,0,Trivial,Trivial,0,0,0,248,Mn(CO)5InCl,10.622,10.393,8.722,87.56,95.59,124.58,0,0,0,0,0,https://materialsproject.org/materials/icsd/889,cif/889.cif,2
918,H1 Ca1 O4 P1,1,P1,1,918,0,0,1,1,Trivial,Trivial,0,0,0,128,CaHPO4(P1),6.91,6.627,6.998,96.34,103.82,88.33,0,0,0,0,0,https://materialsproject.org/materials/icsd/918,cif/918.cif,1
922,Ba1 Co1 O3,194,P63/mmc,6/<i>mmm</i>,922,1,0,0,0,ESFD (SM),ESFD (SM),0,0,0,74,BaNiO3,5.645,5.645,4.752,90,90,120,0,0,0,2,0,https://materialsproject.org/materials/icsd/922,cif/922.cif,24
924,Na2 O8 Si3 Zn1,4,P21,2,924,1,0,0,1,Trivial,Trivial,0,1,0,148,,6.66,8.629,6.411,90,103.7,90,0,0,0,4,0,https://materialsproject.org/materials/icsd/924,cif/924.cif,2
963,Ca2 O4 Si1,14,P21/c,2/<i>m</i>,963,1,0,0,1,Trivial,Trivial,0,0,0,128,Ca2SiO4,5.502,6.745,9.297,90,94.59,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/963,cif/963.cif,4
980,Na1 O3 Ta1,62,Pnma,<i>mmm</i>,980,1,0,0,0,Trivial,Trivial,0,0,0,96,Perovskite-GdFeO3,5.513,7.7508,5.4941,90,90,90,0,0,0,3,0,https://materialsproject.org/materials/icsd/980,cif/980.cif,8
987,As2 O5,19,P212121,222,987,1,0,0,1,Trivial,Trivial,0,0,0,160,As2O5,8.646,8.449,4.626,90,90,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/987,cif/987.cif,4
1000,C6 Cs2 Fe1 Li1 N6,225,Fm-3m,<i>m</i>-3<i>m</i>,1000,0,0,1,1,ESFD (SM),ESFD (SM),0,0,0,81,Cs2LiCo(CN)6,10.571,10.571,10.571,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1000,cif/1000.cif,192
1001,C6 Cs2 Fe1 Li1 N6,225,Fm-3m,<i>m</i>-3<i>m</i>,1000,0,0,1,1,ESFD (SM),ESFD (SM),0,0,0,81,Cs2LiCo(CN)6,10.571,10.571,10.571,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1001,cif/1001.cif,192
1010,Cl4 Nb1,12,C2/m,2/<i>m</i>,1010,0,0,1,1,Trivial,Trivial,0,0,0,82,,8.14,6.823,8.852,90,91.92,90,0,0,0,4,0,https://materialsproject.org/materials/icsd/1010,cif/1010.cif,8
1036,As1 Na3 S3,198,P213,23,645,1,0,0,0,Trivial,Trivial,0,1,0,104,Na3AsS3,8.573,8.573,8.573,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1036,cif/1036.cif,12
1055,Cl2 Cu2 O1,70,Fddd,<i>mmm</i>,1055,1,0,0,0,SEBR (TI),ES (SM),0,0,0,84,,9.699,9.603,7.462,90,90,90,0,0,0,6,0,https://materialsproject.org/materials/icsd/1055,cif/1055.cif,32
1076,Cu1 La2 O4,64,Cmce,<i>mmm</i>,1076,1,0,0,0,ESFD (SM),ESFD (SM),0,0,0,114,La2CuO4,5.406,5.37,13.15,90,90,90,0,0,0,3,0,https://materialsproject.org/materials/icsd/1076,cif/1076.cif,16
1084,C2 N2 S3,62,Pnma,<i>mmm</i>,1084,0,0,1,0,Trivial,Trivial,0,0,0,144,S(SCN)2,10.06,12.715,4.24,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1084,cif/1084.cif,8
1108,Na2 O4 Te1,60,Pbcn,<i>mmm</i>,1108,0,0,1,0,Trivial,Trivial,0,0,0,128,,5.798,12.24,5.214,90,90,90,0,0,0,4,0,https://materialsproject.org/materials/icsd/1108,cif/1108.cif,8
1117,Cl1 Na1 O3,198,P213,23,1117,0,0,1,0,Trivial,Trivial,0,1,0,104,NaClO3,6.575,6.575,6.575,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1117,cif/1117.cif,12
1120,K2 O7 Zn6,102,P42nm,4<i>mm</i>,1120,1,0,0,0,Trivial,Trivial,0,0,0,264,K2Zn6O7,10.912,10.912,3.325,90,90,90,0,0,0,6,0,https://materialsproject.org/materials/icsd/1120,cif/1120.cif,8
1129,Ba1 Br1 F1,129,P4/nmm,4/<i>mmm</i>,1129,1,0,0,0,Trivial,Trivial,0,0,0,48,PbClF,4.508,4.508,7.441,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1129,cif/1129.cif,16
1135,H6 Li1 N1 O6,63,Cmcm,<i>mmm</i>,1135,0,0,1,0,Trivial,Trivial,0,0,0,96,LiNO3(H2O)3,6.8018,12.7132,5.999,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1135,cif/1135.cif,16
1140,H12 Ca1 Cl2 O6,150,P321,32,1140,0,0,1,0,Trivial,Trivial,0,1,0,64,CaCl2(H2O)6,7.876,7.876,3.954,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/1140,cif/1140.cif,6
1141,H12 Br2 Ca1 O6,150,P321,32,1141,0,0,1,0,Trivial,Trivial,0,1,0,64,CaCl2(H2O)6,8.164,8.164,4.016,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/1141,cif/1141.cif,6
1144,N3 Na1,166,R-3m,-3<i>m</i>,1144,1,0,0,0,Trivial,Trivial,0,0,0,16,NaN3(beta),3.646,3.646,15.223,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/1144,cif/1144.cif,36
1177,Ba3 Ni1 O9 Sb2,186,P63mc,6<i>mm</i>,1177,1,0,0,1,Trivial,Trivial,0,0,0,208,Ba3NiSb2O9,5.837,5.837,14.392,90,90,120,0,0,0,3,0,https://materialsproject.org/materials/icsd/1177,cif/1177.cif,12
1194,C1 B1 F6 K1,14,P21/c,2/<i>m</i>,1194,0,0,1,0,Trivial,Trivial,0,0,0,232,,4.843,16.331,6.348,90,101.89,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1194,cif/1194.cif,4
1263,K2 S3,36,Cmc21,<i>mm</i>2,1263,0,0,1,1,Trivial,Trivial,0,1,0,72,K2S3,7.309,9.914,7.473,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1263,cif/1263.cif,8
1264,K2 Se3,36,Cmc21,<i>mm</i>2,1264,0,0,1,1,Trivial,Trivial,0,1,0,72,K2S3,7.692,10.408,7.717,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1264,cif/1264.cif,8
1274,Cu1 K2 N6 O12 Pb1,69,Fmmm,<i>mmm</i>,1274,1,0,0,1,ESFD (SM),ESFD (SM),0,0,0,135,K2SrCu2(NO2)6,10.741,10.734,10.538,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1274,cif/1274.cif,32
1301,Cl1 Na1 O3,198,P213,23,1117,0,0,1,1,Trivial,Trivial,0,1,0,104,NaClO3,6.57584,6.57584,6.57584,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1301,cif/1301.cif,12
1302,Br1 Na1 O3,198,P213,23,1302,0,0,1,1,Trivial,Trivial,0,1,0,104,NaClO3,6.70717,6.70717,6.70717,90,90,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/1302,cif/1302.cif,12
1303,Ca1 Cu3 Ge4 O12,204,Im-3,<i>m</i>-3,1303,0,0,1,0,ESFD (SM),ESFD (SM),0,0,0,123,NaMn7O12,7.202,7.202,7.202,90,90,90,1,0,0,3,0,https://materialsproject.org/materials/icsd/1303,cif/1303.cif,48
1309,H12 F8 O6 Zr2,2,P-1,-1,1309,0,0,1,0,Trivial,Trivial,0,1,0,112,,5.948,6.964,7.572,90.55,105.06,118.72,0,0,0,0,0,https://materialsproject.org/materials/icsd/1309,cif/1309.cif,2
1321,H6 Cl1 Li1 O7,186,P63mc,6<i>mm</i>,1321,0,0,1,1,Trivial,Trivial,0,0,0,112,LiClO4(H2O)3,7.7192,7.7192,5.4531,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/1321,cif/1321.cif,12
1322,Be4 O7 Te1,216,F-43m,-43<i>m</i>,1322,1,0,0,1,Trivial,Trivial,0,0,0,56,,7.577,7.577,7.577,90,90,90,0,1,0,4,0,https://materialsproject.org/materials/icsd/1322,cif/1322.cif,96
1372,H1 Cr1 O2,160,R3m,3<i>m</i>,1372,1,0,0,1,ESFD (SM),ESFD (SM),0,1,0,19,CrOOH(R3m),2.979,2.979,13.37,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/1372,cif/1372.cif,18
1384,F1 Li1 O3 S1,12,C2/m,2/<i>m</i>,1384,0,0,1,1,Trivial,Trivial,0,0,0,64,CrPS4,8.54,7.62,4.98,90,90,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/1384,cif/1384.cif,8
1413,O3 Pb1 Rb2,36,Cmc21,<i>mm</i>2,1413,1,0,0,0,Trivial,Trivial,0,1,0,80,Na2SiO3,10.838,7.494,6.011,90,90,90,0,0,0,3,0,https://materialsproject.org/materials/icsd/1413,cif/1413.cif,8
1439,H4 F1 Li1 N1 O3 P1,14,P21/c,2/<i>m</i>,1439,1,0,0,0,Trivial,Trivial,0,0,0,160,,5.463,5.049,14.362,90,90.82,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1439,cif/1439.cif,4
1449,Ba3 O5 Si1,140,I4/mcm,4/<i>mmm</i>,1449,1,0,0,1,Trivial,Trivial,0,0,0,128,Cs3CoCl5,7.3023,7.3023,11.2178,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1449,cif/1449.cif,32
1457,O7 Sc2 Si2,227,Fd-3m,<i>m</i>-3<i>m</i>,1457,1,0,0,1,Trivial,Trivial,0,0,0,112,Pyrochlore-NaCa(Nb2O6)F,9.287,9.287,9.287,90,90,90,2,2,0,4,0,https://materialsproject.org/materials/icsd/1457,cif/1457.cif,192
1487,H4 N1 O3 V1,57,Pbcm,<i>mmm</i>,1487,1,0,0,0,Trivial,Trivial,0,0,0,128,KVO3,4.909,11.786,5.83,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1487,cif/1487.cif,8
1504,O2 V1,136,P42/mnm,4/<i>mmm</i>,1504,1,0,0,1,ESFD (SM),ESFD (SM),0,0,0,34,Rutile-TiO2,4.5546,4.5546,2.8528,90,90,90,0,0,0,3,0,https://materialsproject.org/materials/icsd/1504,cif/1504.cif,16
1522,O3 Sr1 Zr1,140,I4/mcm,4/<i>mmm</i>,1522,1,1,0,1,Trivial,Trivial,0,0,0,64,Perovskite-SrTiO3,5.8504,5.8504,8.2952,90,90,90,0,0,0,4,0,https://materialsproject.org/materials/icsd/1522,cif/1522.cif,32
1528,F6 K2 Re1,164,P-3m1,-3<i>m</i>,1528,0,0,1,1,ESFD (SM),ESFD (SM),0,0,0,67,K2GeF6,5.879,5.879,4.611,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/1528,cif/1528.cif,12
1602,H11 Na2 O8 P1,31,Pmn21,<i>mm</i>2,1602,0,0,1,0,Trivial,Trivial,0,0,0,132,,7.19,6.447,9.23,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1602,cif/1602.cif,4
1610,O3 Pb1 Ti1,99,P4mm,4<i>mm</i>,1610,1,0,0,0,Trivial,Trivial,0,1,0,26,Perovskite-PbTiO3,3.895,3.895,4.171,90,90,90,0,0,0,5,0,https://materialsproject.org/materials/icsd/1610,cif/1610.cif,8
1611,O3 Pb1 Ti1,99,P4mm,4<i>mm</i>,1610,1,0,0,0,Trivial,Trivial,0,1,0,26,Perovskite-PbTiO3,3.899,3.899,4.167,90,90,90,0,0,0,5,0,https://materialsproject.org/materials/icsd/1611,cif/1611.cif,8
1612,O3 Pb1 Ti1,99,P4mm,4<i>mm</i>,1610,1,0,0,0,Trivial,Trivial,0,1,0,26,Perovskite-PbTiO3,3.905,3.905,4.156,90,90,90,0,0,0,5,0,https://materialsproject.org/materials/icsd/1612,cif/1612.cif,8
1626,Na1 O6 S2 Tl3,164,P-3m1,-3<i>m</i>,1626,1,0,0,1,Trivial,Trivial,0,0,0,58,K2SO3,5.723,5.723,7.216,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/1626,cif/1626.cif,12
1640,H12 Cl2 Hg1 O14,164,P-3m1,-3<i>m</i>,1640,0,0,1,1,Trivial,Trivial,0,0,0,122,Hg(H2O)6(ClO4)2,8.005,8.005,5.344,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/1640,cif/1640.cif,12
1659,F2 K2 O5 P2,15,C2/c,2/<i>m</i>,1659,0,0,1,1,Trivial,Trivial,0,0,0,144,,12.614,7.585,7.195,90,90.91,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1659,cif/1659.cif,8
1668,Cl6 K2 Sn1,225,Fm-3m,<i>m</i>-3<i>m</i>,604,1,1,0,1,Trivial,Trivial,0,0,0,64,K2PtCl6,9.9877,9.9877,9.9877,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1668,cif/1668.cif,192
1691,As1 F7 Xe1,14,P21/c,2/<i>m</i>,1691,0,0,1,0,Trivial,Trivial,0,0,0,248,XeFAsF6,6.308,6.275,16.023,90,99.97,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1691,cif/1691.cif,4
1830,Ba1 Cu1 K2 N6 O12,69,Fmmm,<i>mmm</i>,1830,1,0,0,1,ESFD (SM),ESFD (SM),0,0,0,141,K2SrCu2(NO2)6,11.219,10.728,10.685,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1830,cif/1830.cif,32
1834,H12 Mg1 O12 S2,2,P-1,-1,1834,0,0,1,0,Trivial,Trivial,0,0,0,98,MgS2O6(H2O)6,6.819,6.747,6.506,94.23,96.76,101.72,0,0,0,0,0,https://materialsproject.org/materials/icsd/1834,cif/1834.cif,2
1836,H12 O12 S2 Zn1,2,P-1,-1,1836,0,0,1,0,Trivial,Trivial,0,0,0,108,MgS2O6(H2O)6,6.799,6.752,6.491,94.58,96.2,101.47,0,0,0,0,0,https://materialsproject.org/materials/icsd/1836,cif/1836.cif,2
1845,Cl8 Mn1 Na6,225,Fm-3m,<i>m</i>-3<i>m</i>,1845,0,0,1,1,ESFD (SM),ESFD (SM),0,0,0,69,Mg6MnO8,11.2274,11.2274,11.2274,90,90,90,1,0,0,5,0,https://materialsproject.org/materials/icsd/1845,cif/1845.cif,192
1852,C1 H2 Na2 O4,29,Pca21,<i>mm</i>2,1852,0,0,1,0,Trivial,Trivial,0,0,0,128,Na2CO3H2O,6.472,10.724,5.259,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1852,cif/1852.cif,4
1858,H6 Cl1 Na1 O5,2,P-1,-1,1858,0,0,1,0,Trivial,Trivial,0,0,0,88,NaClO2(H2O)3,6.96,8.842,5.504,92.36,119.09,104.73,0,0,0,0,0,https://materialsproject.org/materials/icsd/1858,cif/1858.cif,2
1879,F6 Mo1,229,Im-3m,<i>m</i>-3<i>m</i>,1879,1,0,0,1,Trivial,Trivial,0,0,0,48,SF6,6.221,6.221,6.221,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1879,cif/1879.cif,96
1883,Na2 O7 W2,64,Cmce,<i>mmm</i>,1883,0,0,1,0,Trivial,Trivial,0,0,0,224,Na2Mo2O7,7.216,11.899,14.716,90,90,90,0,0,0,1,0,https://materialsproject.org/materials/icsd/1883,cif/1883.cif,16
1900,H3 N1 O4,33,Pna21,<i>mm</i>2,1900,0,0,1,0,Trivial,Trivial,0,0,0,128,H3ONO3,5.4647,8.6439,6.2308,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1900,cif/1900.cif,4
1901,H3 N1 O4,33,Pna21,<i>mm</i>2,1900,0,0,1,0,Trivial,ES (SM),0,1,0,128,H3ONO3,5.4759,8.7242,6.3275,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1901,cif/1901.cif,4
1904,F2 K3 Na1 O6 P2,164,P-3m1,-3<i>m</i>,1904,0,0,1,1,Trivial,Trivial,0,0,0,88,K3Na(SO4)2,5.761,5.761,7.374,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/1904,cif/1904.cif,12
1913,H6 Cl1 Li1 O7,186,P63mc,6<i>mm</i>,1321,0,0,1,1,Trivial,Trivial,0,0,0,112,LiClO4(H2O)3,7.719,7.719,5.455,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/1913,cif/1913.cif,12
1914,H6 Cl1 Li1 O7,186,P63mc,6<i>mm</i>,1321,0,0,1,1,Trivial,Trivial,0,0,0,112,LiClO4(H2O)3,7.719,7.719,5.455,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/1914,cif/1914.cif,12
1915,H4 Cu1 Na2 O10 S2,14,P21/c,2/<i>m</i>,1915,0,0,1,0,ESFD (SM),ESFD (SM),0,0,0,178,Roselite,5.807,12.656,5.517,90,108.32,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1915,cif/1915.cif,4
1925,K2 O8 V3,100,P4bm,4<i>mm</i>,1925,0,0,1,1,ESFD (SM),ESFD (SM),0,1,0,162,Ba2TiOSi2O7,8.87,8.87,5.215,90,90,90,0,0,0,3,0,https://materialsproject.org/materials/icsd/1925,cif/1925.cif,8
1937,K2 N6 Ni1 O12 Pb1,202,Fm-3,<i>m</i>-3,1937,0,0,1,1,ESFD (SM),ESFD (SM),0,0,0,134,K2PbCu(NO2)6,10.5775,10.5775,10.5775,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1937,cif/1937.cif,96
1939,H2 B3 Na3 O7,62,Pnma,<i>mmm</i>,1939,0,0,1,0,Trivial,Trivial,0,0,0,224,,8.923,7.152,9.548,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1939,cif/1939.cif,8
1954,H6 Cl1 Na1 O5,2,P-1,-1,1858,0,0,1,0,Trivial,Trivial,0,0,0,88,NaClO2(H2O)3,5.492,6.412,8.832,72.06,87.73,70.88,0,0,0,0,0,https://materialsproject.org/materials/icsd/1954,cif/1954.cif,2
1975,Al4 B2 Co1 O10,14,P21/c,2/<i>m</i>,1975,0,0,1,0,ESFD (SM),ESFD (SM),0,1,0,174,Mg5(SiO4)2F2,7.221,4.371,9.534,90,108.45,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/1975,cif/1975.cif,4
1982,Br4 K2 Pd1,123,P4/mmm,4/<i>mmm</i>,1982,1,0,0,1,Trivial,Trivial,0,0,0,56,K2PtCl4,7.409,7.409,4.309,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/1982,cif/1982.cif,16
2064,Cl3 Cs1 Cu1,186,P63mc,6<i>mm</i>,2064,1,0,0,1,ESFD (SM),ESFD (SM),0,1,0,82,CsCrBr3,7.245,7.245,6.15,90,90,120,0,0,0,4,0,https://materialsproject.org/materials/icsd/2064,cif/2064.cif,12
2065,Ca5 Sb3,62,Pnma,<i>mmm</i>,2065,1,0,0,0,ES (SM),ESFD (SM),0,0,0,100,Yb5Sb3,12.502,9.512,8.287,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/2065,cif/2065.cif,8
2074,C1 H1 K1 O3,14,P21/c,2/<i>m</i>,2074,0,0,1,1,Trivial,Trivial,0,0,0,128,KHCO3,15.1725,5.6283,3.711,90,104.631,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/2074,cif/2074.cif,4
2075,C1 H1 K1 O3,14,P21/c,2/<i>m</i>,2074,0,0,1,1,Trivial,Trivial,0,0,0,128,KHCO3,15.1538,5.6186,3.6868,90,104.356,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/2075,cif/2075.cif,4
2076,C1 H1 K1 O3,14,P21/c,2/<i>m</i>,2074,0,0,1,1,Trivial,Trivial,0,0,0,128,KHCO3,15.115,5.6044,3.6609,90,103.984,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/2076,cif/2076.cif,4
2089,Cl1 O12 P3 Sr5,176,P63/m,6/<i>m</i>,2089,0,0,1,0,Trivial,Trivial,0,0,0,288,"Apatite#-(HE,P63/m)",9.859,9.859,7.206,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/2089,cif/2089.cif,12
