icsd,formula,space_group_number,space_group_symbol,point_group,material_id,curated_flatband,best_flatband,atomic_flatband,high_quality,topology_soc,topology_nosoc,superconductor,nonzero_magnetisation,theory_entry,n_electrons,structure_type,a,b,c,alpha,beta,gamma,n_kagome,n_pyrochlore,n_lieb,n_bipartite,n_split,materials_project,cif_file,cif_symmetry_ops
29081,Co1 O1,225,Fm-3m,<i>m</i>-3<i>m</i>,9865,1,0,0,0,ESFD (SM),ESFD (SM),0,0,0,15,NaCl,4.24,4.24,4.24,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/29081,cif/29081.cif,192
29096,Ba1 Fe1 O3,221,Pm-3m,<i>m</i>-3<i>m</i>,29096,1,0,0,0,ESFD (SM),ESFD (SM),0,0,0,36,Perovskite-CaTiO3,4.02,4.02,4.02,90,90,90,1,0,1,3,0,https://materialsproject.org/materials/icsd/29096,cif/29096.cif,48
29113,C1 Cl2 O3 Pb2,127,P4/mbm,4/<i>mmm</i>,4240,0,0,1,0,Trivial,Trivial,0,0,0,176,Pb2Cl2CO3,8.139,8.139,8.856,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/29113,cif/29113.cif,16
29114,C1 Br2 O3 Pb2,127,P4/mbm,4/<i>mmm</i>,29114,0,0,1,0,Trivial,Trivial,0,0,0,176,Pb2Cl2CO3,8.337,8.337,9.056,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/29114,cif/29114.cif,16
29117,O3 Pb1 Ti1,123,P4/mmm,4/<i>mmm</i>,28624,1,0,0,0,Trivial,Trivial,0,0,0,26,Perovskite-BaTiO3(tet),3.89,3.89,4.13,90,90,90,0,0,1,3,0,https://materialsproject.org/materials/icsd/29117,cif/29117.cif,16
29118,Fe1 La1 O3,221,Pm-3m,<i>m</i>-3<i>m</i>,29118,1,0,0,0,ESFD (SM),ESFD (SM),0,0,0,37,Perovskite-CaTiO3,3.89,3.89,3.89,90,90,90,1,0,1,3,0,https://materialsproject.org/materials/icsd/29118,cif/29118.cif,48
29119,La1 Mn1 O3,221,Pm-3m,<i>m</i>-3<i>m</i>,29119,1,1,0,0,Trivial,ESFD (SM),0,0,0,36,Perovskite-CaTiO3,3.88,3.88,3.88,90,90,90,1,0,1,3,0,https://materialsproject.org/materials/icsd/29119,cif/29119.cif,48
29120,Cr1 La1 O3,221,Pm-3m,<i>m</i>-3<i>m</i>,28930,1,1,0,0,ESFD (SM),ESFD (SM),0,0,0,35,Perovskite-CaTiO3,3.88,3.88,3.88,90,90,90,1,0,1,3,0,https://materialsproject.org/materials/icsd/29120,cif/29120.cif,48
29122,O2 Si1,152,P3121,32,27745,1,0,0,0,Trivial,Trivial,0,1,0,48,"Quartz,low",4.913,4.913,5.405,90,90,120,0,0,0,4,0,https://materialsproject.org/materials/icsd/29122,cif/29122.cif,6
29131,Al1 F3,150,P321,32,29131,1,0,0,0,Trivial,Trivial,0,1,0,72,AlF3,4.93,4.93,6.25,90,90,120,0,0,0,2,0,https://materialsproject.org/materials/icsd/29131,cif/29131.cif,6
29140,O5 V2,31,Pmn21,<i>mm</i>2,15984,1,0,0,0,Trivial,Trivial,0,1,0,80,V2O5,11.48,4.36,3.555,90,90,90,0,0,0,1,0,https://materialsproject.org/materials/icsd/29140,cif/29140.cif,4
29143,Bi1 Cl1 O1,129,P4/nmm,4/<i>mmm</i>,24608,1,0,0,0,Trivial,Trivial,0,0,0,36,PbClF,3.89,3.89,7.37,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/29143,cif/29143.cif,16
29145,Bi1 I1 O1,129,P4/nmm,4/<i>mmm</i>,5036,1,0,0,0,Trivial,Trivial,0,0,0,36,PbClF,4.09,4.09,7.21,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/29145,cif/29145.cif,16
29146,Ba1 O3 Ti1,123,P4/mmm,4/<i>mmm</i>,27965,1,0,0,0,Trivial,Trivial,0,0,0,32,Perovskite-BaTiO3(tet),3.9939,3.9939,4.0343,90,90,90,0,0,1,3,0,https://materialsproject.org/materials/icsd/29146,cif/29146.cif,16
29147,Ba1 O3 Ti1,221,Pm-3m,<i>m</i>-3<i>m</i>,27970,1,0,0,0,Trivial,Trivial,0,0,0,32,Perovskite-CaTiO3,4.0119,4.0119,4.0119,90,90,90,1,0,1,3,0,https://materialsproject.org/materials/icsd/29147,cif/29147.cif,48
29148,Ba1 O3 Ti1,123,P4/mmm,4/<i>mmm</i>,27965,1,0,0,0,Trivial,Trivial,0,0,0,32,Perovskite-BaTiO3(tet),3.9945,3.9945,4.0275,90,90,90,0,0,1,3,0,https://materialsproject.org/materials/icsd/29148,cif/29148.cif,16
29153,O3 Sr1 Zr1,221,Pm-3m,<i>m</i>-3<i>m</i>,27046,1,0,0,0,Trivial,Trivial,0,0,0,32,Perovskite-CaTiO3,4.089,4.089,4.089,90,90,90,1,0,1,4,0,https://materialsproject.org/materials/icsd/29153,cif/29153.cif,48
29154,Hf1 O3 Sr1,221,Pm-3m,<i>m</i>-3<i>m</i>,29154,1,0,0,0,Trivial,Trivial,0,0,0,32,Perovskite-CaTiO3,4.069,4.069,4.069,90,90,90,1,0,1,3,0,https://materialsproject.org/materials/icsd/29154,cif/29154.cif,48
29226,Co1 O1,225,Fm-3m,<i>m</i>-3<i>m</i>,9865,1,0,0,0,ESFD (SM),ESFD (SM),0,0,0,15,NaCl,4.244,4.244,4.244,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/29226,cif/29226.cif,192
29262,Ge1 O4 Zr1,88,I41/a,4/<i>m</i>,29262,1,0,0,1,Trivial,Trivial,0,0,0,64,Scheelite-CaWO4,4.866,4.866,10.55,90,90,90,0,0,0,3,0,https://materialsproject.org/materials/icsd/29262,cif/29262.cif,16
29268,O5 Pb2 S1,12,C2/m,2/<i>m</i>,14246,1,0,0,1,Trivial,Trivial,0,0,0,88,Pb2OSO4,13.7576,5.6578,7.0322,90,115.885,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/29268,cif/29268.cif,8
29280,Ba1 O3 Ti1,123,P4/mmm,4/<i>mmm</i>,27965,1,0,0,0,Trivial,Trivial,0,0,0,32,Perovskite-BaTiO3(tet),3.995,3.995,4.034,90,90,90,0,0,1,3,0,https://materialsproject.org/materials/icsd/29280,cif/29280.cif,16
29308,Fe1 Se1,194,P63/mmc,6/<i>mmm</i>,29308,1,0,0,0,ES (SM),ESFD (SM),0,0,0,28,Nickeline-NiAs,3.62,3.62,5.88,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/29308,cif/29308.cif,24
29321,H3 N1,198,P213,23,29321,0,0,1,0,Trivial,Trivial,0,0,0,32,NH3,5.138,5.138,5.138,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/29321,cif/29321.cif,12
29330,Cl1 F1 Na6 O8 S2,225,Fm-3m,<i>m</i>-3<i>m</i>,26914,1,0,0,0,Trivial,Trivial,0,0,0,80,Na6(SO4)2ClF,10.15,10.15,10.15,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/29330,cif/29330.cif,192
29343,O2 Si1,182,P6322,622,29343,1,1,0,0,Trivial,Trivial,0,1,0,64,,5.01,5.01,8.18,90,90,120,0,0,0,4,0,https://materialsproject.org/materials/icsd/29343,cif/29343.cif,12
29359,O8 Pb3 V2,5,C2,2,29359,1,0,0,1,Trivial,Trivial,0,1,0,70,Pb3(VO4)2,7.46,6.191,9.348,90,116.63,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/29359,cif/29359.cif,4
29364,C1 H4 N2 O1,113,P-421m,-42<i>m</i>,15432,0,0,1,1,Trivial,Trivial,0,0,0,48,Urea,5.584,5.584,4.689,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/29364,cif/29364.cif,8
29365,C1 H4 N2 O1,113,P-421m,-42<i>m</i>,15432,0,0,1,1,Trivial,Trivial,0,0,0,48,Urea,5.57,5.57,4.688,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/29365,cif/29365.cif,8
29366,C1 H4 N2 O1,113,P-421m,-42<i>m</i>,15432,0,0,1,1,Trivial,Trivial,0,0,0,48,Urea,5.565,5.565,4.684,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/29366,cif/29366.cif,8
29407,F6 K2 Si1,225,Fm-3m,<i>m</i>-3<i>m</i>,29407,0,0,1,1,Trivial,Trivial,0,0,0,64,K2PtCl6,8.134,8.134,8.134,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/29407,cif/29407.cif,192
29443,Al6 Cl2 Na8 O24 Si6,218,P-43n,-43<i>m</i>,15336,1,0,0,0,Trivial,Trivial,0,1,0,208,Sodalite-frame,8.882,8.882,8.882,90,90,90,0,0,0,4,0,https://materialsproject.org/materials/icsd/29443,cif/29443.cif,24
29506,Cu1 O3 Se1,61,Pbca,<i>mmm</i>,29506,1,0,0,0,Trivial,Trivial,0,0,0,280,CuSeO3,5.962,7.01,12.24,90,90,90,0,0,0,4,0,https://materialsproject.org/materials/icsd/29506,cif/29506.cif,8
29538,H2 Cu1 O6 Se2,14,P21/c,2/<i>m</i>,29538,1,0,0,1,ESFD (SM),ESFD (SM),0,0,0,122,Cu(HSeO3)2,5.7662,7.3521,6.4474,90,93.28,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/29538,cif/29538.cif,4
29545,B2 Ca1 O8 Si2,62,Pnma,<i>mmm</i>,6254,1,0,0,0,Trivial,Trivial,0,0,0,256,CaB2Si2O8,8.037,8.757,7.7218,90,90,90,0,0,0,3,0,https://materialsproject.org/materials/icsd/29545,cif/29545.cif,8
29546,B2 Ca1 O8 Si2,62,Pnma,<i>mmm</i>,6254,1,0,0,0,Trivial,Trivial,0,0,0,256,CaB2Si2O8,8.046,8.765,7.734,90,90,90,0,0,0,3,0,https://materialsproject.org/materials/icsd/29546,cif/29546.cif,8
29547,B2 Ca1 O8 Si2,62,Pnma,<i>mmm</i>,6254,1,0,0,0,Trivial,Trivial,0,0,0,256,CaB2Si2O8,8.061,8.777,7.745,90,90,90,0,0,0,3,0,https://materialsproject.org/materials/icsd/29547,cif/29547.cif,8
29548,B2 Ca1 O8 Si2,62,Pnma,<i>mmm</i>,6254,1,0,0,0,Trivial,Trivial,0,0,0,256,CaB2Si2O8,8.078,8.786,7.762,90,90,90,0,0,0,3,0,https://materialsproject.org/materials/icsd/29548,cif/29548.cif,8
29549,B2 Ca1 O8 Si2,62,Pnma,<i>mmm</i>,6254,1,0,0,0,Trivial,Trivial,0,0,0,256,CaB2Si2O8,8.092,8.796,7.7768,90,90,90,0,0,0,3,0,https://materialsproject.org/materials/icsd/29549,cif/29549.cif,8
