num,formula,space_group_symbol,space_group_number,topology_at_Ef,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels,is_top_candidate,best_figure
1699,ZrNi5,F4̄3m,216,TI,k∗,FM,,,1,601018,,yes,Fig.48
1700,ScAuNi4,F4̄3m,216,TI,"k∗,p∗",NM,,,1,612227,,yes,Fig.48
1701,YAuNi4,F4̄3m,216,TI,"k∗,p∗",,,,1,612233,,yes,Fig.48
1704,HfNi5,F4̄3m,216,SM,k∗,,,,1,672665,,yes,Fig.48
1719,Mn2CoAs,F4̄3m,216,SM,,FM,,,1,191648,,yes,Fig.49
1720,CoFeTiAl,F4̄3m,216,Triv.,,NM,,,2,191657 673236,,yes,Fig.50
1721,CoFeTiGa,F4̄3m,216,SM,,NM,,,1,191658,,yes,Fig.49
1722,CoFeTiSi,F4̄3m,216,SM,,FM,,,1,191659,,yes,Fig.49
1723,CoFeTiGe,F4̄3m,216,SM,,FM,,,1,191660,,yes,Fig.50
1724,CoFeTiAs,F4̄3m,216,SM,,FM,,,1,191661,,yes,Fig.50
1725,CoFeTiSb,F4̄3m,216,SM,,FM,,,1,191662,,yes,Fig.50
1726,CoFeVGa,F4̄3m,216,SM,,FM,,,1,191664,,yes,Fig.50
1737,Fe2MnGe,F4̄3m,216,SM,,,,,1,671982,,yes,Fig.50
1738,Fe2MnAl,F4̄3m,216,TI,,,,,1,672261,,yes,Fig.49
1757,CoMnSb,F4̄3m,216,SM,,FM,,,3,53001 624126 624133,,yes,Fig.50
1759,NiMnSb,F4̄3m,216,SM,,FM,,,11,54255 76078 182485 643105 643108 643111 643121 54343 76199 76201 643415,,yes,Fig.50
1760,RhMnSb,F4̄3m,216,SM,,FM,,,0,,,yes,Fig.51
1762,CoNbSn,F4̄3m,216,Triv.,,FM,,,2,102552 102553,,yes,Fig.51
1764,MnPtSn,F4̄3m,216,SM,,FM,,,4,104955 104956 643383 643387,,yes,Fig.51
1782,LiCaC,F4̄3m,216,SM,,,,,1,672030,,yes,Fig.51
1804,MnSn,F4̄3m,216,SM,,FM,,,1,191171,,yes,Fig.51
1817,GaMo4CS8,F4̄3m,216,SM,"b,s",NM,,,1,76848,,yes,Fig.51
1818,MgV2O4,F4̄3m,216,SM,"k∗,p∗,b",,,,1,674693,,yes,Fig.51
1819,Cu2Al4O7,F4̄3m,216,SM,"k∗,p∗,b",FM,,,1,100355,,yes,Fig.51
1820,SiO2,I4̄3m,217,Triv.,"b,s",NM,,HQ,1,183701,,yes,Fig.52
1837,PbPd3,Pm3̄m,221,SM,k,NM,SC,,2,42600 648357,,yes,Fig.52
1838,Ni3Ge,Pm3̄m,221,TI,k,NM,,,0,,,yes,Fig.52
1839,AlNi3,Pm3̄m,221,SM,k,FM,,,28,53745 104162 600112 637356 637358 637362 637364 58038 58039 105529 151385 185893 187989 196567 196568 604410 608781 608782 608790 608797 608799 608811 608814 671563 671564 672104 672243 673108,,yes,Fig.52
1840,InNi3,Pm3̄m,221,SM,k,FM,,,2,59438 59439,,yes,Fig.52
1841,Ni3Si,Pm3̄m,221,TI,k,NM,,,0,,,yes,Fig.52
1845,GaNi3,Pm3̄m,221,SM,k,FM,,,0,,,yes,Fig.53
1847,MnZn3,Pm3̄m,221,SM,k,FM,,,1,105020,,yes,Fig.53
1848,Ni3Sn,Pm3̄m,221,TI,k,NM,,,2,105353 671094,,yes,Fig.52
1850,Pd3Sn,Pm3̄m,221,SM,k,NM,,,0,,,yes,Fig.53
1855,Co3W,Pm3̄m,221,SM,k,FM,,,3,187963 187987 671175,,yes,Fig.53
1858,Co3Mo,Pm3̄m,221,SM,k,FM,,,2,187969 671173,,yes,Fig.53
1859,MgNi3,Pm3̄m,221,SM,k,FM,SC∗,,1,193569,,yes,Fig.52
1860,InPd3,Pm3̄m,221,SM,k,NM,,,2,247193 247197,,yes,Fig.53
1861,Cu3Ni,Pm3̄m,221,SM,k,,,,1,670622,,yes,Fig.53
1862,CuNi3,Pm3̄m,221,SM,k,,,,1,670623,,yes,Fig.53
1864,CuPd3,Pm3̄m,221,SM,k,,,,2,670626 675018,,yes,Fig.54
1894,MgRh,Pm3̄m,221,SM,,NM,,,2,104859 656818,,yes,Fig.54
1915,MnSn,Pm3̄m,221,SM,,FM,,,1,191170,,yes,Fig.54
1926,KMnF3,Pm3̄m,221,SM,"k,b,s,l",FM,,,0,,,yes,Fig.54
1927,KFeF3,Pm3̄m,221,Triv.,"k,b,s,l",FM,,,55,15246 15425 44785 189368 15423 37254 43721 44783 75409 75410 75411 189367 201254 201255 15424 37262 44784 107514 23076 27045 56092 56717 65088 65089 65090 76186 80871 80872 80873 80874 91899 94573 184455 184921 186725 186895 187296 187480 187619 191828 192314 201256 248379 262269 290370 290617 671735 672571 673179 673390 673418 673419 673892 674457 675010,,yes,Fig.57
1931,Cs(HgBr3),Pm3̄m,221,SM,"k,b,s,l",NM,,,1,24479,,yes,Fig.54
1939,KVF3,Pm3̄m,221,SM,"k,b,s,l",FM,,,1,28145,,yes,Fig.54
1940,RbVF3,Pm3̄m,221,SM,"k,b,s,l",FM,,,1,28146,,yes,Fig.54
1943,La(CrO3),Pm3̄m,221,SM,"k,b,s,l",FM,,,0,,,yes,Fig.54
1949,La(MnO3),Pm3̄m,221,Triv.,"k,b,s,l",FM,,,0,,,yes,Fig.57
1956,Rb(MnF3),Pm3̄m,221,SM,"k,b,s,l",FM,,,1,43722,,yes,Fig.55
1960,Rh3YB,Pm3̄m,221,SM,"k,b,s,l",NM,,,2,44568 615341,,yes,Fig.55
1968,NaVF3,Pm3̄m,221,SM,"k,b,s,l",FM,,,1,60611,,yes,Fig.55
1969,Sr(RuO3),Pm3̄m,221,SM,"k,b,s,l",FM,,HQ,7,69360 82981 82982 82983 82984 162777 187484,,yes,Fig.55
1973,Fe3ZnC,Pm3̄m,221,SM,"k,b,s,l",FM,,,1,76763,,yes,Fig.55
1974,Co3MgC,Pm3̄m,221,SM,"k,b,s,l",FM,,,1,76790,,yes,Fig.55
1976,Co3ZnC,Pm3̄m,221,SM,"k,b,s,l",FM,,,1,76797,,yes,Fig.55
1983,YRh3C,Pm3̄m,221,SM,"k,b,s,l",NM,,,1,77389,,yes,Fig.55
1985,Sr(VO3),Pm3̄m,221,SM,"k,b,s,l",FM,,HQ,0,,,yes,Fig.56
1991,Sr(TcO3),Pm3̄m,221,SM,"k,b,s,l",NM,,,0,,,yes,Fig.56
2000,Ca(MnO3),Pm3̄m,221,SM,"k,b,s,l",FM,,,5,168902 168903 168905 181782 673449,,yes,Fig.56
2003,Pb(VO3),Pm3̄m,221,SM,"k,b,s,l",FM,,,1,187637,,yes,Fig.56
2004,Sr(MnO3),Pm3̄m,221,SM,"k,b,s,l",AFM,,,2,188415 236949,,yes,Fig.56
2006,Ba(VO3),Pm3̄m,221,SM,"k,b,s,l",FM,,HQ,2,191203 673477,,yes,Fig.56
2010,InNCo3,Pm3̄m,221,SM,"k,b,s,l",FM,,HQ,1,247066,,yes,Fig.56
2013,CdCo3N,Pm3̄m,221,SM,"k,b,s,l",FM,,HQ,1,422858,,yes,Fig.56
2015,CaTcO3,Pm3̄m,221,SM,"k,b,s,l",,,,2,671082 671083,,yes,Fig.57
2016,BaTcO3,Pm3̄m,221,SM,"k,b,s,l",,,,2,671086 671087,,yes,Fig.57
2018,ZnSnO3,Pm3̄m,221,SM,"k,b,s,l",,,,1,673496,,yes,Fig.57
2021,KSbO3,Pm3̄m,221,Triv.,"k,b,s,l",,,,1,674060,,yes,Fig.57
2025,MoF3,Pm3̄m,221,SM,"k,b,s,l",FM,,,1,30612,,yes,Fig.57
2026,ScF3,Pm3̄m,221,Triv.,"k,b,s,l",NM,,,48,77071 194248 194249 194250 194273 261067 261068 261069 261070 261071 261072 261073 261074 261075 261076 261077 261078 261079 261080 261081 261082 261083 261084 261085 261086 261087 261088 261089 261090 261091 261092 261093 261094 261095 671108 673424 673425 673426 673427 673428 673429 673430 673431 673432 673433 673434 673435 673436,,yes,Fig.58
2027,WO3,Pm3̄m,221,Triv.,"k,b,s,l",NM,SC∗,,3,108651 183408 674843,,yes,Fig.58
2029,Na3N,Pm3̄m,221,SM,"k,b,s,l",NM,,,12,165988 249566 412313 421109 421110 421111 421112 421113 421115 421116 421117 421118,,yes,Fig.57
2030,MgO,Pm3̄n,223,Triv.,,NM,,,1,181465,,yes,Fig.58
2035,SiC2N4,Pn3̄m,224,Triv.,b,NM,,,1,93543,,yes,Fig.58
2041,Ba2Mn(ReO6),Fm3̄m,225,Triv.,"k∗,b,s",FM,,,2,4169 109256,,yes,Fig.59
2042,K2Na(AlF6),Fm3̄m,225,Triv.,,NM,,HQ,3,22109 40886 6027,22109(b) 40886(b),yes,Fig.59
2043,KTl2MoF6,Fm3̄m,225,SM,b,FM,,,1,15775,,yes,Fig.58
2044,NaTl2MoF6,Fm3̄m,225,SM,"k∗,b,s",FM,,,1,15776,,yes,Fig.58
2048,K2NaTlF6,Fm3̄m,225,Triv.,"k∗,b,s",NM,,,1,22114,,yes,Fig.59
2049,Cs2NaTlF6,Fm3̄m,225,Triv.,"k∗,b,s",NM,,,1,22118,,yes,Fig.60
2056,Ba2CoWO6,Fm3̄m,225,SM,"k∗,b,s",FM,,,4,27425 97029 195130 672551,,yes,Fig.58
2058,Sr2Co(WO6),Fm3̄m,225,SM,"k∗,b,s",FM,,,1,28598,,yes,Fig.58
2060,Sr2Co(MoO6),Fm3̄m,225,SM,"k∗,b,s",AFM,,,2,28601 153543,,yes,Fig.59
2080,Ba2FeMoO6,Fm3̄m,225,Triv.,"k∗,b,s",FM,,,0,,,yes,Fig.60
2081,Ba2(CoMoO6),Fm3̄m,225,SM,"k∗,b,s",AFM,,HQ,3,97028 184910 672550,,yes,Fig.59
2084,Ba2(FeWO6),Fm3̄m,225,Triv.,"k∗,b,s",AFM,,HQ,2,99061 672159,,yes,Fig.60
2087,Ba2Fe(ReO6),Fm3̄m,225,SM,"k∗,b,s",FM,,,2,109252 155175,,yes,Fig.59
2094,Sr2(GaSbO6),Fm3̄m,225,Triv.,"k∗,b,s",NM,,HQ,4,157016 157017 157018 157019,,yes,Fig.60
